Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2023-11-21 - 2023-11-22,1 days,2023-11-28,61.92,2023-12-01,63.9,3 days,-3.2%,Fall by -8.28%,-3.2%,
Sell,2023-12-28 - 2023-12-29,1 days,2024-01-12,70.0,2024-01-18,74.23,4 days,-6.0%,Fall by -24.56%,-9.2%,
Sell,2024-01-25 - 2024-02-08,10 days,2024-02-14,126.4,2024-02-15,133.68,1 days,-5.8%,Fall by 14.91%,-15.0%,
Sell,2024-03-14 - 2024-03-21,5 days,2024-03-28,124.99,2024-04-08,129.25,7 days,-3.4%,Fall by 13.95%,-18.4%,
Sell,2024-05-14 - 2024-05-15,1 days,2024-05-20,110.46,2024-05-21,114.77,1 days,-3.9%,Fall by 3.05%,-22.3%,
Sell,2024-06-07 - 2024-06-14,5 days,2024-06-21,160.3,2024-06-26,164.72,3 days,-2.8%,Fall by 11.77%,-25.1%,
Buy,2024-11-15 - 2024-11-18,1 days,2024-12-11,143.16,2024-12-13,151.91,2 days,6.1%,Rise by -12.05%,-19.0%,
Buy,2025-03-03 - 2025-03-04,1 days,2025-03-24,124.85,2025-03-28,107.8,4 days,-13.7%,Rise by -14.63%,-32.6%,
Sell,2025-04-28 - 2025-05-02,4 days,2025-05-09,115.8,2025-05-12,124.81,1 days,-7.8%,Fall by -7.55%,-40.4%,
Sell,2025-06-25 - 2025-06-30,3 days,2025-07-08,147.79,2025-07-15,147.11,5 days,0.5%,Fall by 11.25%,-39.9%,
Sell,2025-10-09 - 2025-10-14,3 days,2025-10-23,166.6,2025-10-27,178.62,2 days,-7.2%,Fall by -1.93%,-47.1%,
Sell,2025-10-21 - 2025-10-27,4 days,2025-10-30,165.45,2025-10-31,169.82,1 days,-2.6%,Fall by -2.64%,-49.8%,
