Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2020-07-20 - 2020-07-21,1 days,2020-07-24,41.56,2020-08-04,41.02,7 days,1.3%,Fall by -4.49%,1.3%
Sell,2020-08-12 - 2020-08-25,9 days,2020-08-28,44.1667,2020-09-02,46.0,3 days,-4.2%,Fall by -8.98%,-2.9%
Sell,2020-09-18 - 2020-09-28,6 days,2020-10-01,48.9533,2020-10-07,51.16,4 days,-4.5%,Fall by 1.68%,-7.4%
Sell,2020-11-06 - 2020-11-11,3 days,2020-11-18,57.74,2020-11-20,57.66,2 days,0.1%,Fall by 5.06%,-7.2%
Sell,2020-11-11 - 2020-11-24,9 days,2020-11-30,58.42,2020-12-03,56.7467,3 days,2.9%,Fall by 6.16%,-4.4%
Buy,2021-01-08 - 2021-01-27,13 days,2021-01-29,57.2467,2021-02-12,50.5333,10 days,-11.7%,Rise by -10.82%,-16.1%
Buy,2021-02-10 - 2021-02-12,2 days,2021-02-17,51.0533,2021-02-24,54.0133,5 days,5.8%,Rise by 23.96%,-10.3%
Sell,2021-03-05 - 2021-03-12,5 days,2021-03-17,60.5133,2021-03-22,58.2133,3 days,3.8%,Fall by 9.13%,-6.5%
Buy,2021-05-18 - 2021-05-21,3 days,2021-06-04,58.5133,2021-06-30,62.2867,18 days,6.4%,Rise by 14.29%,-0.0%
Buy,2021-07-30 - 2021-08-06,5 days,2021-08-10,54.1933,2021-10-08,48.6667,43 days,-10.2%,Rise by -10.2%,-10.2%
Sell,2021-09-09 - 2021-09-10,1 days,2021-09-15,51.8667,2021-09-21,49.24,4 days,5.1%,Fall by 6.17%,-5.2%
Sell,2021-12-24 - 2021-12-29,3 days,2022-01-06,54.2467,2022-01-14,55.74,6 days,-2.8%,Fall by -8.58%,-7.9%
Buy,2022-01-20 - 2022-01-24,2 days,2022-02-07,57.62,2022-03-07,61.08,20 days,6.0%,Rise by 6.78%,-1.9%
Sell,2022-01-26 - 2022-01-27,1 days,2022-02-14,56.8267,2022-02-24,59.2733,8 days,-4.3%,Fall by -3.65%,-6.2%
Sell,2022-02-28 - 2022-03-02,2 days,2022-03-10,60.4867,2022-03-16,59.0133,4 days,2.4%,Fall by 1.73%,-3.8%
Sell,2022-03-30 - 2022-04-05,4 days,2022-04-21,64.5267,2022-04-27,61.3933,4 days,4.9%,Fall by 7.88%,1.1%
Buy,2022-05-03 - 2022-05-09,4 days,2022-05-11,59.68,2022-05-24,64.7333,9 days,8.5%,Rise by -10.66%,9.5%
Sell,2022-08-17 - 2022-08-19,2 days,2022-08-30,62.98,2022-09-02,62.0,3 days,1.6%,Fall by 10.72%,11.1%
Sell,2022-09-20 - 2022-09-21,1 days,2022-09-26,62.08,2022-09-30,56.23,4 days,9.4%,Fall by 11.78%,20.5%
Sell,2022-10-27 - 2022-10-28,1 days,2022-11-03,57.14,2022-11-10,59.78,5 days,-4.6%,Fall by 7.82%,15.9%
Sell,2022-11-22 - 2022-11-25,3 days,2022-12-05,59.92,2022-12-08,58.56,3 days,2.3%,Fall by 11.15%,18.2%
Sell,2023-01-24 - 2023-01-25,1 days,2023-01-30,57.79,2023-02-07,57.52,6 days,0.5%,Fall by 1.97%,18.6%
Sell,2023-02-24 - 2023-02-27,1 days,2023-03-20,60.79,2023-03-21,60.46,1 days,0.5%,Fall by 6.81%,19.2%
Sell,2023-04-03 - 2023-04-04,1 days,2023-04-13,60.4,2023-04-14,60.17,1 days,0.4%,Fall by 6.21%,19.6%
Sell,2023-05-15 - 2023-05-19,4 days,2023-05-25,62.71,2023-06-22,61.18,20 days,2.4%,Fall by 6.35%,22.0%
Buy,2023-06-20 - 2023-06-27,5 days,2023-06-29,59.89,2023-08-17,52.91,35 days,-11.7%,Rise by 3.67%,10.3%
Buy,2023-09-08 - 2023-09-21,9 days,2023-09-25,50.62,2023-10-02,45.54,5 days,-10.0%,Rise by -16.44%,0.3%
Buy,2023-10-04 - 2023-10-06,2 days,2023-10-20,40.73,2023-10-27,35.97,5 days,-11.7%,Rise by 18.24%,-11.4%
Buy,2023-10-27 - 2023-10-30,1 days,2023-11-08,42.75,2023-12-13,45.55,25 days,6.5%,Rise by 12.65%,-4.8%
Sell,2023-11-17 - 2023-11-20,1 days,2023-11-27,43.36,2023-12-04,44.6,5 days,-2.9%,Fall by -5.54%,-7.7%
Sell,2023-12-14 - 2023-12-15,1 days,2023-12-28,46.79,2024-01-08,48.45,7 days,-3.5%,Fall by 2.2%,-11.2%
Sell,2024-02-06 - 2024-02-12,4 days,2024-02-23,48.19,2024-02-29,45.03,4 days,6.6%,Fall by 12.06%,-4.7%
Buy,2024-02-28 - 2024-03-01,2 days,2024-03-20,46.39,2024-03-28,48.8,6 days,5.2%,Rise by -10.76%,0.5%
Sell,2024-05-22 - 2024-05-23,1 days,2024-05-29,46.96,2024-06-04,46.75,4 days,0.4%,Fall by -6.52%,1.0%
