Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2019-12-05 - 2019-12-06,1 days,2019-12-19,1.5933,2019-12-30,1.6383,7 days,-2.8%,Fall by -8.79%,-2.8%,
Sell,2020-01-15 - 2020-01-17,2 days,2020-01-30,1.7917,2020-02-03,1.7667,2 days,1.4%,Fall by 14.7%,-1.4%,
Sell,2020-01-16 - 2020-01-21,3 days,2020-01-30,1.7917,2020-02-03,1.7667,2 days,1.4%,Fall by 14.7%,-0.0%,
Buy,2020-03-20 - 2020-03-23,1 days,2020-04-06,1.7,2020-04-14,1.8067,6 days,6.3%,Rise by 23.53%,6.2%,
Sell,2020-04-16 - 2020-04-17,1 days,2020-05-01,1.985,2020-05-05,2.0483,2 days,-3.2%,Fall by 8.48%,3.1%,
Buy,2020-05-18 - 2020-05-22,4 days,2020-05-28,1.8883,2020-06-01,1.9967,2 days,5.7%,Rise by 99.56%,8.8%,
Sell,2020-06-04 - 2020-06-08,2 days,2020-06-12,2.1967,2020-06-15,2.3167,1 days,-5.5%,Fall by -36.95%,3.3%,
Sell,2020-07-08 - 2020-07-13,3 days,2020-07-16,3.0,2020-07-20,3.3917,2 days,-13.1%,Fall by -0.28%,-9.7%,
Sell,2020-09-17 - 2020-09-18,1 days,2020-09-25,4.4433,2020-09-28,4.5583,1 days,-2.6%,Fall by -66.13%,-12.3%,
Sell,2020-11-06 - 2020-11-09,1 days,2020-11-17,7.3983,2020-11-18,7.6917,1 days,-4.0%,Fall by -0.63%,-16.3%,
Sell,2021-01-12 - 2021-01-25,9 days,2021-01-28,10.4333,2021-02-01,10.7167,2 days,-2.7%,Fall by 15.53%,-19.0%,
Sell,2021-06-21 - 2021-06-28,5 days,2021-07-01,9.79,2021-07-06,9.5367,3 days,2.6%,Fall by 11.1%,-16.4%,
Buy,2021-08-24 - 2021-09-02,7 days,2021-09-07,11.7217,2021-09-20,10.13,9 days,-13.6%,Rise by -11.67%,-30.0%,
Buy,2021-08-30 - 2021-09-03,4 days,2021-09-14,11.2,2021-09-29,10.0617,11 days,-10.2%,Rise by 19.32%,-40.2%,
Sell,2021-10-21 - 2021-10-26,3 days,2021-10-29,12.0733,2021-11-01,12.4933,1 days,-3.5%,Fall by 13.61%,-43.6%,
Buy,2021-12-15 - 2021-12-20,3 days,2021-12-22,11.3867,2022-01-10,10.21,13 days,-10.3%,Rise by -10.33%,-54.0%,
Buy,2022-01-10 - 2022-01-24,10 days,2022-01-31,9.9317,2022-03-07,8.515,25 days,-14.3%,Rise by 7.33%,-68.2%,
Buy,2022-01-27 - 2022-02-02,4 days,2022-02-04,10.25,2022-03-04,8.94,20 days,-12.8%,Rise by -12.78%,-81.0%,
Buy,2022-02-23 - 2022-02-28,3 days,2022-03-02,10.2133,2022-03-04,8.94,2 days,-12.5%,Rise by -11.31%,-93.5%,
Buy,2022-03-08 - 2022-03-15,5 days,2022-03-17,8.9817,2022-03-18,9.4633,1 days,5.4%,Rise by 16.61%,-88.1%,
Sell,2022-04-04 - 2022-04-05,1 days,2022-04-21,9.5033,2022-05-03,9.9917,8 days,-5.1%,Fall by 7.35%,-93.3%,
Sell,2022-06-08 - 2022-06-10,2 days,2022-06-16,12.1367,2022-06-21,12.815,3 days,-5.6%,Fall by 5.18%,-98.8%,
Sell,2022-06-28 - 2022-07-07,7 days,2022-07-12,11.5083,2022-07-14,12.4517,2 days,-8.2%,Fall by 10.51%,-107.0%,
Sell,2022-07-15 - 2022-07-22,5 days,2022-08-10,12.0783,2022-08-22,11.7,8 days,3.1%,Fall by 11.44%,-103.9%,
Buy,2022-09-06 - 2022-09-16,8 days,2022-09-20,9.2883,2022-09-30,8.1917,8 days,-11.8%,Rise by -11.18%,-115.7%,
Buy,2022-09-16 - 2022-09-30,10 days,2022-10-04,9.0483,2022-10-10,7.9833,4 days,-11.8%,Rise by -13.65%,-127.5%,
Sell,2022-11-15 - 2022-11-30,11 days,2022-12-12,9.0383,2022-12-16,8.8017,4 days,2.6%,Fall by 7.8%,-124.9%,
Sell,2022-12-08 - 2022-12-13,3 days,2022-12-19,8.6283,2022-12-29,8.3333,8 days,3.4%,Fall by 3.42%,-121.4%,
Sell,2023-01-30 - 2023-02-01,2 days,2023-02-06,10.4217,2023-02-13,10.2717,5 days,1.4%,Fall by 11.19%,-120.0%,
Buy,2023-02-23 - 2023-02-28,3 days,2023-03-02,9.605,2023-03-10,8.5517,6 days,-11.0%,Rise by -10.97%,-131.0%,
Sell,2023-03-31 - 2023-04-03,1 days,2023-04-12,9.2667,2023-04-14,9.5167,2 days,-2.7%,Fall by -6.51%,-133.7%,
Sell,2023-05-11 - 2023-05-15,2 days,2023-05-24,10.405,2023-05-30,9.905,4 days,4.8%,Fall by -0.48%,-128.9%,
Sell,2023-09-05 - 2023-09-12,5 days,2023-09-20,10.3933,2023-09-27,10.1183,5 days,2.6%,Fall by 3.33%,-126.2%,
Buy,2023-09-28 - 2023-10-05,5 days,2023-10-09,9.995,2023-10-17,10.5833,6 days,5.9%,Rise by 7.77%,-120.3%,
Buy,2023-11-30 - 2023-12-01,1 days,2023-12-14,8.9533,2024-01-29,7.7667,32 days,-13.3%,Rise by -13.25%,-133.6%,
Buy,2024-01-31 - 2024-02-05,3 days,2024-02-07,7.8317,2024-02-27,8.5133,14 days,8.7%,Rise by 8.7%,-124.9%,
Sell,2024-03-20 - 2024-03-21,1 days,2024-03-28,8.4617,2024-04-09,8.9083,8 days,-5.3%,Fall by 1.12%,-130.2%,
Buy,2024-05-23 - 2024-05-28,3 days,2024-06-11,9.76,2024-07-11,10.43,22 days,6.9%,Rise by 7.84%,-123.3%,
Sell,2024-06-21 - 2024-06-24,1 days,2024-06-27,9.7917,2024-07-09,10.0667,8 days,-2.8%,Fall by 8.48%,-126.1%,
Sell,2024-09-19 - 2024-09-24,3 days,2024-10-09,12.4767,2024-10-16,11.6433,5 days,6.7%,Fall by 10.79%,-119.4%,
Buy,2024-11-14 - 2024-11-22,6 days,2024-11-27,11.1133,2024-12-09,12.11,8 days,9.0%,Rise by 53.8%,-110.5%,
Sell,2024-12-10 - 2024-12-12,2 days,2024-12-30,11.4217,2025-01-03,11.2233,4 days,1.7%,Fall by -27.1%,-108.7%,
Sell,2025-02-21 - 2025-02-27,4 days,2025-03-04,14.8383,2025-03-06,15.3933,2 days,-3.7%,Fall by 9.33%,-112.5%,
Sell,2025-03-19 - 2025-03-20,1 days,2025-03-31,16.8883,2025-04-08,13.7133,6 days,18.8%,Fall by 2.3%,-93.7%,
Sell,2025-05-20 - 2025-05-21,1 days,2025-05-28,17.075,2025-06-05,17.525,6 days,-2.6%,Fall by 10.47%,-96.3%,
Buy,2025-06-30 - 2025-07-07,5 days,2025-07-11,15.305,2025-07-18,16.125,5 days,5.4%,Rise by -1.01%,-90.9%,
Sell,2025-07-22 - 2025-07-23,1 days,2025-07-28,16.185,2025-08-04,14.53,5 days,10.2%,Fall by 11.28%,-80.7%,
Buy,2025-09-08 - 2025-09-12,4 days,2025-09-25,13.79,2025-09-25,13.79,0 days,0.0%,Rise by -6.16%,-80.7%,
Buy,2025-10-14 - 2025-10-22,6 days,2025-10-24,13.37,2025-10-24,13.37,0 days,0.0%,Rise by -3.22%,-80.7%,
