Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2020-01-16 - 2020-01-17,1 days,2020-01-22,7.42,2020-02-07,7.23,12 days,2.6%,Fall by 11.05%,2.6%
Sell,2020-02-13 - 2020-02-19,4 days,2020-02-24,7.39,2020-03-03,6.59,6 days,10.8%,Fall by 15.56%,13.4%
Buy,2020-03-03 - 2020-03-05,2 days,2020-03-11,6.24,2020-03-19,5.35,6 days,-14.3%,Rise by -12.34%,-0.9%
Buy,2020-03-12 - 2020-03-23,7 days,2020-03-25,5.26,2020-03-30,5.64,3 days,7.2%,Rise by 24.14%,6.3%
Sell,2020-06-08 - 2020-06-09,1 days,2020-06-12,6.14,2020-06-16,6.35,2 days,-3.4%,Fall by 8.79%,2.9%
Sell,2020-07-06 - 2020-07-07,1 days,2020-07-10,5.62,2020-07-17,5.77,5 days,-2.7%,Fall by -10.32%,0.3%
Sell,2020-08-06 - 2020-08-11,3 days,2020-08-14,6.13,2020-08-18,6.32,2 days,-3.1%,Fall by -1.14%,-2.8%
Sell,2020-08-25 - 2020-09-03,7 days,2020-09-08,6.34,2020-09-10,6.3,2 days,0.6%,Fall by -15.93%,-2.2%
Sell,2020-10-12 - 2020-10-13,1 days,2020-10-19,7.56,2020-10-30,7.38,9 days,2.4%,Fall by -1.06%,0.2%
Sell,2020-11-12 - 2020-11-16,2 days,2020-11-19,7.74,2020-11-20,7.72,1 days,0.3%,Fall by 10.08%,0.4%
Sell,2020-12-29 - 2020-12-30,1 days,2021-01-12,9.99,2021-01-14,9.69,2 days,3.0%,Fall by 16.42%,3.4%
Buy,2021-02-15 - 2021-02-24,7 days,2021-03-01,6.86,2021-04-13,7.37,31 days,7.4%,Rise by 12.97%,10.9%
Buy,2021-02-26 - 2021-03-05,5 days,2021-03-15,7.28,2021-04-16,7.68,24 days,5.5%,Rise by 6.46%,16.4%
Buy,2021-03-29 - 2021-04-06,6 days,2021-04-08,7.04,2021-04-14,7.61,4 days,8.1%,Rise by 10.51%,24.5%
Sell,2021-04-14 - 2021-04-16,2 days,2021-04-21,7.49,2021-05-04,7.78,9 days,-3.9%,Fall by -0.67%,20.6%
