Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2019-12-20 - 2019-12-23,1 days,2019-12-31,6.18,2020-01-07,6.41,5 days,-3.7%,Fall by -2.02%,-3.7%
Sell,2020-01-17 - 2020-01-22,3 days,2020-01-27,6.57,2020-02-05,6.42,7 days,2.3%,Fall by 4.03%,-1.4%
Buy,2020-02-05 - 2020-02-14,7 days,2020-02-18,6.41,2020-02-25,6.89,5 days,7.5%,Rise by 18.72%,6.0%
Sell,2020-04-07 - 2020-04-20,9 days,2020-05-01,7.025,2020-05-13,7.35,8 days,-4.6%,Fall by -0.64%,1.4%
Sell,2020-06-03 - 2020-06-04,1 days,2020-06-10,7.5,2020-06-15,7.38,3 days,1.6%,Fall by 5.73%,3.0%
Sell,2020-06-18 - 2020-06-26,6 days,2020-07-09,7.69,2020-07-13,7.27,2 days,5.5%,Fall by -8.71%,8.5%
Buy,2020-07-02 - 2020-07-10,6 days,2020-07-14,7.55,2020-08-21,8.01,28 days,6.1%,Rise by 22.12%,14.6%
Sell,2020-09-10 - 2020-09-17,5 days,2020-09-22,8.66,2020-09-25,8.55,3 days,1.3%,Fall by 3.81%,15.8%
Buy,2020-10-27 - 2020-10-29,2 days,2020-11-02,8.33,2020-11-09,8.95,5 days,7.4%,Rise by 4.56%,23.3%
Sell,2020-11-11 - 2020-11-12,1 days,2020-11-17,8.6,2020-11-18,8.57,1 days,0.3%,Fall by 10.7%,23.6%
Buy,2020-12-08 - 2020-12-15,5 days,2020-12-17,7.8,2021-01-20,8.255,24 days,5.8%,Rise by 11.67%,29.5%
Sell,2021-02-03 - 2021-02-04,1 days,2021-02-12,8.38,2021-02-15,8.32,1 days,0.7%,Fall by 10.62%,30.2%
Buy,2021-03-30 - 2021-04-07,6 days,2021-04-13,6.51,2021-08-19,7.16,92 days,10.0%,Rise by 2.15%,40.2%
Buy,2021-05-14 - 2021-05-19,3 days,2021-06-01,6.37,2021-08-19,7.16,57 days,12.4%,Rise by 0.78%,52.6%
Sell,2021-06-09 - 2021-06-10,1 days,2021-06-15,6.46,2021-06-23,6.09,6 days,5.7%,Fall by 4.8%,58.3%
Buy,2021-07-26 - 2021-07-30,4 days,2021-08-06,6.18,2021-08-19,7.16,9 days,15.9%,Rise by 16.5%,74.2%
Sell,2021-08-13 - 2021-08-19,4 days,2021-08-24,6.76,2021-08-27,6.94,3 days,-2.7%,Fall by 3.7%,71.5%
Sell,2021-09-03 - 2021-09-06,1 days,2021-09-09,7.05,2021-09-14,6.82,3 days,3.3%,Fall by 10.07%,74.8%
Buy,2021-10-15 - 2021-10-26,7 days,2021-10-28,6.35,2021-12-07,6.81,28 days,7.2%,Rise by 13.7%,82.0%
Buy,2021-10-26 - 2021-11-16,15 days,2021-11-30,6.69,2022-07-20,7.7,166 days,15.1%,Rise by 8.37%,97.1%
Sell,2021-12-03 - 2021-12-08,3 days,2021-12-15,7.08,2021-12-22,7.01,5 days,1.0%,Fall by 5.37%,98.1%
Sell,2021-12-13 - 2021-12-29,12 days,2022-01-07,7.15,2022-01-11,7.02,2 days,1.8%,Fall by 6.29%,99.9%
Sell,2021-12-17 - 2021-12-21,2 days,2022-01-07,7.15,2022-01-11,7.02,2 days,1.8%,Fall by 6.29%,101.7%
Sell,2022-02-11 - 2022-02-21,6 days,2022-02-24,7.1,2022-02-28,7.305,2 days,-2.9%,Fall by -1.34%,98.8%
