Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Buy,2020-02-26 - 2020-02-28,2 days,2020-03-10,40.08,2020-03-12,33.2,2 days,-17.2%,Rise by 8.13%,-17.2%,
Buy,2020-03-12 - 2020-03-16,2 days,2020-03-24,38.6,2020-03-26,40.58,2 days,5.1%,Rise by 12.28%,-12.0%,
Sell,2020-04-14 - 2020-04-20,4 days,2020-04-30,42.38,2020-05-05,41.46,3 days,2.2%,Fall by -3.04%,-9.9%,
Sell,2020-05-29 - 2020-06-05,5 days,2020-06-11,43.67,2020-06-12,45.07,1 days,-3.2%,Fall by 4.12%,-13.1%,
Sell,2020-07-22 - 2020-07-23,1 days,2020-07-28,46.28,2020-08-04,47.67,5 days,-3.0%,Fall by 9.53%,-16.1%,
Sell,2020-08-06 - 2020-08-11,3 days,2020-08-14,42.5,2020-08-21,42.25,5 days,0.6%,Fall by 10.94%,-15.5%,
Buy,2020-08-19 - 2020-08-25,4 days,2020-08-27,42.29,2020-09-24,37.85,20 days,-10.5%,Rise by -10.5%,-26.0%,
Sell,2020-10-12 - 2020-10-13,1 days,2020-10-27,36.87,2020-10-30,35.9,3 days,2.6%,Fall by -19.23%,-23.4%,
Sell,2020-12-04 - 2020-12-09,3 days,2020-12-24,44.54,2021-01-05,43.98,8 days,1.3%,Fall by -0.09%,-22.1%,
Sell,2021-01-12 - 2021-01-13,1 days,2021-01-20,45.34,2021-01-25,45.03,3 days,0.7%,Fall by 1.72%,-21.4%,
Buy,2021-02-26 - 2021-03-04,4 days,2021-03-08,47.51,2021-03-22,50.3,10 days,5.9%,Rise by 10.65%,-15.5%,
Sell,2021-03-16 - 2021-03-23,5 days,2021-03-31,51.71,2021-04-15,51.64,11 days,0.1%,Fall by 1.93%,-15.4%,
Sell,2021-03-29 - 2021-04-16,14 days,2021-04-21,51.93,2021-04-26,51.64,3 days,0.6%,Fall by -0.27%,-14.8%,
Buy,2021-04-29 - 2021-05-04,3 days,2021-05-06,52.44,2021-07-23,55.23,56 days,5.3%,Rise by 4.94%,-9.5%,
Buy,2021-05-12 - 2021-05-20,6 days,2021-05-24,53.39,2021-08-19,57.27,63 days,7.3%,Rise by 3.07%,-2.3%,
Sell,2021-06-10 - 2021-06-11,1 days,2021-06-16,53.47,2021-06-21,53.18,3 days,0.5%,Fall by -3.14%,-1.7%,
Sell,2021-07-26 - 2021-08-03,6 days,2021-08-06,55.59,2021-08-09,55.47,1 days,0.2%,Fall by 2.97%,-1.5%,
Sell,2021-08-24 - 2021-08-25,1 days,2021-08-30,59.13,2021-09-01,59.04,2 days,0.2%,Fall by 8.78%,-1.3%,
Buy,2021-09-14 - 2021-09-16,2 days,2021-09-22,55.52,2021-12-10,59.25,57 days,6.7%,Rise by 4.05%,5.4%,
Buy,2021-09-30 - 2021-10-06,4 days,2021-10-19,55.74,2021-12-10,59.25,38 days,6.3%,Rise by 3.64%,11.7%,
Buy,2022-01-28 - 2022-02-24,19 days,2022-02-28,55.77,2022-04-27,49.31,42 days,-11.6%,Rise by -11.58%,0.1%,
Sell,2022-03-21 - 2022-03-22,1 days,2022-04-01,55.66,2022-04-08,54.28,5 days,2.5%,Fall by 11.41%,2.6%,
Buy,2022-04-18 - 2022-04-29,9 days,2022-05-03,49.92,2022-05-19,41.72,12 days,-16.4%,Rise by -16.43%,-13.9%,
Buy,2022-05-11 - 2022-05-19,6 days,2022-05-23,43.35,2022-08-10,46.02,57 days,6.2%,Rise by 13.89%,-7.7%,
Buy,2022-06-30 - 2022-07-05,3 days,2022-07-15,43.07,2022-07-28,45.62,9 days,5.9%,Rise by 14.63%,-1.8%,
Sell,2022-07-21 - 2022-07-22,1 days,2022-08-01,45.28,2022-08-02,44.92,1 days,0.8%,Fall by 10.2%,-1.0%,
Sell,2022-08-16 - 2022-08-18,2 days,2022-08-23,47.41,2022-09-07,45.02,11 days,5.0%,Fall by 10.19%,4.1%,
Buy,2022-09-22 - 2022-09-30,6 days,2022-10-04,41.82,2022-10-25,44.36,15 days,6.1%,Rise by 19.49%,10.1%,
Sell,2022-11-01 - 2022-11-02,1 days,2022-11-16,44.39,2022-11-17,46.59,1 days,-5.0%,Fall by -4.66%,5.2%,
Sell,2022-11-22 - 2022-11-25,3 days,2022-12-05,49.33,2022-12-08,48.99,3 days,0.7%,Fall by 5.82%,5.9%,
Buy,2022-12-19 - 2022-12-22,3 days,2022-12-29,47.5,2023-02-16,50.99,35 days,7.3%,Rise by 3.83%,13.2%,
Sell,2023-02-02 - 2023-02-16,10 days,2023-02-22,49.31,2023-02-27,48.73,3 days,1.2%,Fall by 7.32%,14.4%,
Sell,2023-03-31 - 2023-04-03,1 days,2023-04-10,51.33,2023-04-13,50.8,3 days,1.0%,Fall by 10.46%,15.4%,
Buy,2023-04-20 - 2023-04-27,5 days,2023-05-01,47.34,2023-05-26,49.86,19 days,5.3%,Rise by 9.99%,20.7%,
Sell,2023-06-14 - 2023-06-16,2 days,2023-06-22,51.12,2023-06-26,50.21,2 days,1.8%,Fall by 1.45%,22.5%,
Sell,2023-07-25 - 2023-07-27,2 days,2023-08-16,52.96,2023-08-17,54.73,1 days,-3.3%,Fall by 0.47%,19.2%,
Sell,2023-08-31 - 2023-09-01,1 days,2023-09-07,56.79,2023-09-14,56.37,5 days,0.7%,Fall by 7.18%,19.9%,
Buy,2023-09-21 - 2023-09-26,3 days,2023-09-28,53.88,2023-11-16,48.04,35 days,-10.8%,Rise by -10.84%,9.1%,
Sell,2024-01-23 - 2024-01-26,3 days,2024-02-01,50.18,2024-02-06,49.98,3 days,0.4%,Fall by 4.22%,9.5%,
Buy,2024-02-05 - 2024-02-13,6 days,2024-02-16,48.44,2024-09-19,51.44,154 days,6.2%,Rise by 3.67%,15.7%,
Sell,2024-05-15 - 2024-05-16,1 days,2024-05-21,46.94,2024-05-30,46.12,7 days,1.7%,Fall by 3.03%,17.4%,
Buy,2024-05-28 - 2024-06-05,6 days,2024-06-07,45.84,2024-08-16,49.46,50 days,7.9%,Rise by 3.66%,25.3%,
Sell,2024-07-01 - 2024-07-12,9 days,2024-07-19,47.32,2024-07-25,47.24,4 days,0.2%,Fall by -2.49%,25.5%,
Buy,2024-08-07 - 2024-08-12,3 days,2024-08-14,45.44,2024-08-15,48.53,1 days,6.8%,Rise by 24.91%,32.3%,
Sell,2024-08-21 - 2024-08-26,3 days,2024-09-03,50.06,2024-09-09,48.7,4 days,2.7%,Fall by -14.92%,35.0%,
Sell,2024-09-25 - 2024-09-30,3 days,2024-10-03,52.43,2024-10-11,54.25,6 days,-3.5%,Fall by -9.73%,31.5%,
Sell,2024-10-18 - 2024-10-21,1 days,2024-10-24,55.96,2024-10-29,55.68,3 days,0.5%,Fall by -2.81%,32.0%,
Sell,2024-11-11 - 2024-11-27,12 days,2024-12-09,58.95,2024-12-11,58.59,2 days,0.6%,Fall by -1.22%,32.6%,
Sell,2025-01-24 - 2025-02-07,10 days,2025-02-12,62.53,2025-02-14,64.87,2 days,-3.7%,Fall by 4.57%,28.9%,
Buy,2025-04-09 - 2025-04-23,10 days,2025-04-25,56.71,2025-05-15,64.26,14 days,13.3%,Rise by 13.31%,42.2%,
Sell,2025-05-06 - 2025-05-13,5 days,2025-05-23,63.11,2025-06-06,66.06,10 days,-4.7%,Fall by -6.45%,37.5%,
Sell,2025-06-25 - 2025-06-30,3 days,2025-07-08,68.59,2025-07-17,68.3,7 days,0.4%,Fall by 2.16%,38.0%,
Sell,2025-08-08 - 2025-08-11,1 days,2025-08-15,66.2,2025-08-26,68.39,7 days,-3.3%,Fall by -0.5%,34.6%,
