Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2019-12-23 - 2019-12-27,4 days,2020-01-06,286.98,2020-01-07,285.74,1 days,0.4%,Fall by 1.59%,0.4%
Buy,2020-02-27 - 2020-03-12,10 days,2020-03-19,201.31,2020-03-26,225.07,5 days,11.8%,Rise by 22.42%,12.2%
Sell,2020-04-17 - 2020-04-29,8 days,2020-05-04,237.42,2020-05-08,243.62,4 days,-2.6%,Fall by -5.46%,9.6%
Sell,2020-06-04 - 2020-06-08,2 days,2020-06-11,252.03,2020-06-15,258.35,2 days,-2.5%,Fall by -4.46%,7.1%
Sell,2020-08-10 - 2020-08-11,1 days,2020-08-14,279.8,2020-08-17,278.95,1 days,0.3%,Fall by 4.37%,7.4%
Sell,2020-10-09 - 2020-10-12,1 days,2020-10-15,285.04,2020-10-20,282.95,3 days,0.7%,Fall by -5.18%,8.2%
Sell,2020-10-12 - 2020-11-09,20 days,2020-11-20,292.53,2020-11-24,300.43,2 days,-2.7%,Fall by -2.49%,5.5%
Sell,2020-12-08 - 2020-12-09,1 days,2020-12-16,302.15,2020-12-22,300.07,4 days,0.7%,Fall by 0.77%,6.1%
Sell,2021-01-12 - 2021-01-14,2 days,2021-01-25,309.65,2021-01-26,309.39,1 days,0.1%,Fall by 0.06%,6.2%
Sell,2021-02-10 - 2021-02-17,5 days,2021-02-26,309.45,2021-03-08,318.25,6 days,-2.8%,Fall by -8.58%,3.4%
Sell,2021-03-16 - 2021-03-18,2 days,2021-03-23,324.06,2021-03-29,331.66,4 days,-2.3%,Fall by -3.68%,1.0%
Sell,2021-04-12 - 2021-04-16,4 days,2021-04-27,339.83,2021-04-30,338.94,3 days,0.3%,Fall by 2.02%,1.3%
Sell,2021-05-07 - 2021-05-10,1 days,2021-05-13,340.45,2021-06-04,347.9,16 days,-2.2%,Fall by 2.2%,-0.9%
Sell,2021-07-13 - 2021-07-14,1 days,2021-07-20,345.08,2021-08-10,352.73,15 days,-2.2%,Fall by 1.97%,-3.1%
Sell,2021-07-27 - 2021-07-29,2 days,2021-08-04,347.99,2021-08-12,355.23,6 days,-2.1%,Fall by 2.79%,-5.2%
