Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2020-01-07 - 2020-01-08,1 days,2020-01-13,44.85,2020-01-21,46.21,6 days,-3.0%,Fall by 10.52%,-3.0%
Sell,2020-01-23 - 2020-01-24,1 days,2020-01-31,45.09,2020-02-03,44.73,1 days,0.8%,Fall by 11.0%,-2.2%
Buy,2020-02-05 - 2020-02-11,4 days,2020-02-14,43.61,2020-02-24,39.01,6 days,-10.5%,Rise by -5.55%,-12.8%
Buy,2020-02-13 - 2020-02-18,3 days,2020-02-28,39.46,2020-03-23,35.45,16 days,-10.2%,Rise by -10.16%,-22.9%
Buy,2020-03-09 - 2020-03-12,3 days,2020-03-17,37.95,2020-03-25,41.31,6 days,8.9%,Rise by 17.34%,-14.1%
Sell,2020-03-13 - 2020-03-20,5 days,2020-03-27,39.25,2020-03-30,40.78,1 days,-3.9%,Fall by -6.93%,-18.0%
Sell,2020-03-27 - 2020-04-07,7 days,2020-04-21,42.79,2020-04-22,44.05,1 days,-2.9%,Fall by 1.92%,-20.9%
Sell,2020-04-17 - 2020-04-29,8 days,2020-05-04,42.6,2020-05-07,43.67,3 days,-2.5%,Fall by -4.65%,-23.4%
Sell,2020-06-01 - 2020-06-03,2 days,2020-06-08,46.93,2020-06-18,46.59,8 days,0.7%,Fall by 5.01%,-22.7%
Sell,2020-07-17 - 2020-07-20,1 days,2020-07-23,47.38,2020-07-31,48.98,6 days,-3.4%,Fall by -2.93%,-26.1%
Sell,2020-08-20 - 2020-08-21,1 days,2020-08-28,51.83,2020-09-02,51.44,3 days,0.8%,Fall by 10.13%,-25.3%
Buy,2020-09-09 - 2020-09-18,7 days,2020-09-22,49.91,2020-12-02,54.22,51 days,8.6%,Rise by 10.2%,-16.7%
Sell,2020-10-07 - 2020-10-08,1 days,2020-10-16,51.13,2020-11-03,46.51,12 days,9.0%,Fall by -1.47%,-7.7%
Buy,2020-10-26 - 2020-10-29,3 days,2020-11-03,46.51,2020-11-05,49.89,2 days,7.3%,Rise by 18.25%,-0.4%
Sell,2020-11-30 - 2020-12-03,3 days,2020-12-08,53.39,2020-12-09,55.0,1 days,-3.0%,Fall by 2.83%,-3.4%
