Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2019-12-27 - 2019-12-31,2 days,2020-01-07,24.01,2020-02-07,23.46,23 days,2.3%,Fall by 2.96%,2.3%
Buy,2020-01-30 - 2020-02-05,4 days,2020-02-18,23.6,2020-02-21,25.0,3 days,5.9%,Rise by -13.35%,8.2%
Buy,2020-03-16 - 2020-03-17,1 days,2020-03-24,21.35,2020-04-03,22.5,8 days,5.4%,Rise by 13.35%,13.6%
Sell,2020-04-20 - 2020-04-21,1 days,2020-04-30,22.2,2020-05-05,22.18,3 days,0.1%,Fall by 2.34%,13.7%
Sell,2020-06-03 - 2020-06-04,1 days,2020-06-10,22.1,2020-06-15,21.95,3 days,0.7%,Fall by 2.94%,14.4%
Sell,2020-06-19 - 2020-06-22,1 days,2020-06-25,21.49,2020-07-06,22.15,7 days,-3.1%,Fall by -0.37%,11.3%
Buy,2020-08-04 - 2020-08-13,7 days,2020-08-17,21.8,2020-09-01,23.37,11 days,7.2%,Rise by 23.39%,18.5%
Sell,2020-08-28 - 2020-08-31,1 days,2020-09-07,23.95,2020-09-25,23.7,14 days,1.0%,Fall by 1.25%,19.6%
Sell,2020-10-15 - 2020-10-16,1 days,2020-10-21,25.84,2020-10-27,25.68,4 days,0.6%,Fall by 3.72%,20.2%
Sell,2020-12-18 - 2020-12-21,1 days,2021-01-11,29.3,2021-01-13,29.0,2 days,1.0%,Fall by 3.07%,21.2%
Sell,2021-02-05 - 2021-02-09,2 days,2021-02-16,29.17,2021-02-23,28.55,5 days,2.1%,Fall by 4.01%,23.3%
Buy,2021-02-24 - 2021-03-05,7 days,2021-03-10,28.5,2021-04-19,30.7,28 days,7.7%,Rise by 9.05%,31.0%
Sell,2021-03-17 - 2021-03-18,1 days,2021-03-25,28.5,2021-03-26,29.5,1 days,-3.5%,Fall by -1.54%,27.5%
Sell,2021-05-24 - 2021-05-27,3 days,2021-06-28,32.39,2021-06-30,32.3,2 days,0.3%,Fall by 4.29%,27.8%
Buy,2021-07-19 - 2021-07-20,1 days,2021-07-29,31.6,2021-08-23,33.5,17 days,6.0%,Rise by 13.96%,33.8%
Sell,2021-09-01 - 2021-09-02,1 days,2021-09-07,35.0,2021-09-13,34.5,4 days,1.4%,Fall by 3.14%,35.3%
Sell,2021-11-01 - 2021-11-02,1 days,2021-11-10,36.0,2021-11-16,36.95,4 days,-2.6%,Fall by 1.78%,32.6%
Sell,2021-12-13 - 2021-12-16,3 days,2021-12-21,37.75,2021-12-22,39.17,1 days,-3.8%,Fall by -0.69%,28.9%
Sell,2021-12-29 - 2022-01-05,5 days,2022-01-10,39.85,2022-01-25,38.01,11 days,4.6%,Fall by 4.59%,33.5%
