Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Buy,2020-02-27 - 2020-02-28,1 days,2020-03-13,52.91,2020-03-16,47.45,1 days,-10.3%,Rise by 5.88%,-10.3%,
Sell,2020-06-03 - 2020-06-08,3 days,2020-06-12,61.3,2020-06-26,60.49,10 days,1.3%,Fall by -1.22%,-9.0%,
Sell,2020-07-22 - 2020-07-29,5 days,2020-08-07,63.63,2020-08-12,65.49,3 days,-2.9%,Fall by 1.19%,-11.9%,
Sell,2020-07-29 - 2020-08-12,10 days,2020-08-21,64.42,2020-08-26,65.69,3 days,-2.0%,Fall by 2.41%,-13.9%,
Sell,2020-08-26 - 2020-09-02,5 days,2020-09-08,63.73,2020-09-09,64.92,1 days,-1.9%,Fall by 1.35%,-15.8%,
Sell,2020-11-17 - 2020-11-18,1 days,2020-12-11,72.18,2020-12-22,71.56,7 days,0.9%,Fall by -0.29%,-14.9%,
Sell,2021-01-08 - 2021-01-14,4 days,2021-01-25,75.06,2021-01-28,73.92,3 days,1.5%,Fall by 1.4%,-13.4%,
Sell,2021-03-17 - 2021-03-18,1 days,2021-03-24,75.06,2021-03-26,76.6,2 days,-2.1%,Fall by -3.48%,-15.4%,
Buy,2021-06-18 - 2021-07-08,14 days,2021-07-12,79.9,2022-03-01,71.62,166 days,-10.4%,Rise by 1.9%,-25.8%,
Buy,2021-09-30 - 2021-10-06,4 days,2021-10-13,78.54,2022-03-04,69.03,102 days,-12.1%,Rise by 4.19%,-37.9%,
Sell,2021-11-05 - 2021-11-08,1 days,2021-11-11,80.94,2021-11-29,77.52,12 days,4.2%,Fall by 5.61%,-33.7%,
Buy,2021-11-23 - 2021-11-30,5 days,2021-12-02,77.35,2022-03-04,69.03,66 days,-10.8%,Rise by 2.99%,-44.4%,
Sell,2022-01-04 - 2022-01-05,1 days,2022-01-10,78.04,2022-01-12,79.66,2 days,-2.1%,Fall by 4.56%,-46.5%,
Buy,2022-01-21 - 2022-01-28,5 days,2022-02-01,76.54,2022-03-07,66.84,24 days,-12.7%,Rise by -12.67%,-59.2%,
Sell,2022-03-22 - 2022-03-29,5 days,2022-04-01,74.29,2022-04-08,72.89,5 days,1.9%,Fall by 12.18%,-57.3%,
Buy,2022-04-12 - 2022-04-19,5 days,2022-04-28,69.45,2022-06-14,61.96,33 days,-10.8%,Rise by 1.81%,-68.1%,
Buy,2022-04-26 - 2022-05-02,4 days,2022-05-10,65.73,2022-05-26,69.59,12 days,5.9%,Rise by 7.58%,-62.2%,
Buy,2022-05-11 - 2022-05-12,1 days,2022-05-26,69.59,2022-06-13,62.55,12 days,-10.1%,Rise by -10.96%,-72.3%,
Sell,2022-05-27 - 2022-05-31,2 days,2022-06-08,69.21,2022-06-15,63.12,5 days,8.8%,Fall by 11.43%,-63.5%,
Buy,2022-06-13 - 2022-06-17,4 days,2022-06-24,63.77,2022-09-23,56.76,65 days,-11.0%,Rise by 4.69%,-74.5%,
Buy,2022-06-17 - 2022-07-05,12 days,2022-07-07,62.28,2022-09-26,55.92,57 days,-10.2%,Rise by 7.19%,-84.7%,
Sell,2022-07-29 - 2022-08-01,1 days,2022-08-18,65.59,2022-08-25,64.4,5 days,1.8%,Fall by 8.03%,-82.9%,
Buy,2022-09-27 - 2022-10-13,12 days,2022-10-24,58.0,2022-11-11,65.46,14 days,12.9%,Rise by 16.88%,-70.1%,
Sell,2022-11-14 - 2022-11-15,1 days,2022-11-29,65.95,2022-11-30,67.12,1 days,-1.8%,Fall by 1.05%,-71.8%,
Sell,2022-11-25 - 2022-12-01,4 days,2022-12-06,66.53,2022-12-13,67.79,5 days,-1.9%,Fall by -3.77%,-73.7%,
Sell,2023-01-13 - 2023-01-18,3 days,2023-01-30,71.14,2023-02-08,70.85,7 days,0.4%,Fall by 2.95%,-73.3%,
Sell,2023-01-27 - 2023-02-01,3 days,2023-02-06,70.69,2023-02-27,69.86,15 days,1.2%,Fall by 2.33%,-72.1%,
Buy,2023-03-13 - 2023-03-15,2 days,2023-03-27,69.47,2023-04-13,73.52,13 days,5.8%,Rise by 6.38%,-66.3%,
Sell,2023-04-03 - 2023-04-04,1 days,2023-04-26,72.74,2023-05-08,73.9,8 days,-1.6%,Fall by 2.85%,-67.9%,
Sell,2023-06-15 - 2023-06-16,1 days,2023-06-23,70.96,2023-06-30,72.5,5 days,-2.2%,Fall by 1.69%,-70.1%,
Buy,2023-06-27 - 2023-07-06,7 days,2023-07-10,71.1,2024-02-20,76.38,161 days,7.4%,Rise by 4.73%,-62.7%,
Sell,2023-07-14 - 2023-07-19,3 days,2023-07-24,73.8,2023-08-04,72.16,9 days,2.2%,Fall by 5.47%,-60.4%,
Buy,2023-08-17 - 2023-08-18,1 days,2023-08-28,70.97,2023-12-13,74.52,77 days,5.0%,Rise by -1.86%,-55.4%,
Buy,2023-09-25 - 2023-10-04,7 days,2023-10-09,68.42,2023-12-11,73.32,45 days,7.2%,Rise by 10.3%,-48.3%,
Sell,2023-12-13 - 2023-12-14,1 days,2024-01-02,74.51,2024-01-04,74.12,2 days,0.5%,Fall by 0.32%,-47.7%,
Sell,2024-01-30 - 2024-01-31,1 days,2024-02-05,74.75,2024-02-15,75.95,8 days,-1.6%,Fall by -1.79%,-49.3%,
Sell,2024-02-26 - 2024-02-27,1 days,2024-03-15,78.89,2024-03-18,78.87,1 days,0.0%,Fall by 3.55%,-49.3%,
Sell,2024-05-15 - 2024-05-20,3 days,2024-06-10,81.21,2024-06-12,79.84,2 days,1.7%,Fall by 7.25%,-47.6%,
Sell,2024-08-21 - 2024-08-23,2 days,2024-09-03,81.67,2024-09-09,80.6,4 days,1.3%,Fall by 5.56%,-46.3%,
Buy,2024-10-17 - 2024-10-23,4 days,2024-10-28,80.52,2025-03-17,84.65,100 days,5.1%,Rise by -0.53%,-41.2%,
Buy,2024-11-15 - 2024-11-20,3 days,2024-11-22,77.56,2025-02-13,81.81,59 days,5.5%,Rise by 6.4%,-35.7%,
Buy,2024-12-19 - 2024-12-20,1 days,2025-01-03,75.68,2025-01-30,79.99,19 days,5.7%,Rise by 9.04%,-30.0%,
Buy,2024-12-20 - 2025-01-13,16 days,2025-01-15,76.08,2025-05-20,88.49,89 days,16.3%,Rise by 8.46%,-13.7%,
Sell,2025-01-23 - 2025-01-24,1 days,2025-02-03,78.31,2025-02-05,79.99,2 days,-2.1%,Fall by 6.83%,-15.9%,
Sell,2025-02-13 - 2025-02-18,3 days,2025-02-28,81.58,2025-03-05,84.43,3 days,-3.5%,Fall by 10.26%,-19.3%,
Sell,2025-04-28 - 2025-04-29,1 days,2025-05-07,85.85,2025-05-16,87.24,7 days,-1.6%,Fall by -0.56%,-21.0%,
Sell,2025-06-10 - 2025-06-12,2 days,2025-06-17,86.96,2025-06-26,88.54,7 days,-1.8%,Fall by -1.22%,-22.8%,
Sell,2025-07-10 - 2025-07-23,9 days,2025-07-28,89.29,2025-08-04,88.45,5 days,0.9%,Fall by -1.44%,-21.8%,
Sell,2025-08-15 - 2025-08-19,2 days,2025-08-26,91.9,2025-09-03,90.72,6 days,1.3%,Fall by -0.02%,-20.6%,
Sell,2025-10-03 - 2025-10-06,1 days,2025-10-09,93.97,2025-10-13,92.98,2 days,1.1%,Fall by -0.55%,-19.5%,
