Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2020-01-14 - 2020-01-17,3 days,2020-01-30,3.2,2020-02-04,3.14,3 days,1.9%,Fall by 10.63%,1.9%
Sell,2020-02-18 - 2020-02-21,3 days,2020-02-26,3.13,2020-03-03,3.07,4 days,1.9%,Fall by 16.29%,3.8%
Buy,2020-03-02 - 2020-03-10,6 days,2020-03-18,2.58,2020-03-23,2.01,3 days,-22.1%,Rise by 14.34%,-18.3%
Sell,2020-04-28 - 2020-05-06,6 days,2020-05-14,2.815,2020-05-19,2.9,3 days,-3.0%,Fall by -1.6%,-21.3%
Sell,2020-06-08 - 2020-06-09,1 days,2020-06-19,3.02,2020-06-24,3.01,3 days,0.3%,Fall by 5.3%,-21.0%
Buy,2020-07-30 - 2020-08-14,11 days,2020-08-18,2.8,2020-10-08,3.13,37 days,11.8%,Rise by 10.36%,-9.2%
Sell,2020-10-09 - 2020-10-16,5 days,2020-10-28,3.2,2020-11-05,3.12,6 days,2.5%,Fall by -12.5%,-6.7%
Sell,2020-12-11 - 2020-12-14,1 days,2020-12-21,3.5,2020-12-29,3.63,6 days,-3.7%,Fall by -2.86%,-10.4%
Buy,2021-02-18 - 2021-02-23,3 days,2021-02-25,3.48,2021-03-03,3.75,4 days,7.8%,Rise by 2.59%,-2.7%
Buy,2021-03-23 - 2021-03-29,4 days,2021-03-31,3.49,2021-11-12,3.12,162 days,-10.6%,Rise by 2.29%,-13.3%
Buy,2021-04-12 - 2021-04-16,4 days,2021-04-20,3.45,2021-11-16,3.1,150 days,-10.1%,Rise by 3.48%,-23.4%
Sell,2021-05-06 - 2021-05-10,2 days,2021-05-17,3.43,2021-05-21,3.335,4 days,2.8%,Fall by 2.62%,-20.6%
Sell,2021-06-08 - 2021-06-16,6 days,2021-06-22,3.37,2021-06-28,3.35,4 days,0.6%,Fall by 0.0%,-20.0%
Buy,2021-09-28 - 2021-10-22,18 days,2021-10-29,3.26,2021-11-22,2.92,16 days,-10.4%,Rise by -10.43%,-30.5%
Buy,2021-11-18 - 2021-11-22,2 days,2021-11-26,2.96,2022-05-31,2.65,132 days,-10.5%,Rise by -1.01%,-40.9%
