Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2020-01-17 - 2020-01-22,3 days,2020-01-27,71.695,2020-02-03,74.297,5 days,-3.6%,Fall by 15.23%,-3.6%
Buy,2020-02-27 - 2020-03-09,7 days,2020-03-13,60.9865,2020-03-16,54.2165,1 days,-11.1%,Rise by 20.18%,-14.7%
Buy,2020-03-12 - 2020-03-16,2 days,2020-03-19,55.7645,2020-04-06,59.346,12 days,6.4%,Rise by 31.43%,-8.3%
Buy,2020-03-18 - 2020-03-23,3 days,2020-04-06,59.346,2020-04-14,63.4615,6 days,6.9%,Rise by 23.5%,-1.4%
Sell,2020-04-14 - 2020-04-17,3 days,2020-05-01,66.0305,2020-05-07,68.628,4 days,-3.9%,Fall by -6.3%,-5.3%
Sell,2020-06-03 - 2020-06-10,5 days,2020-06-15,70.9925,2020-06-23,73.2205,6 days,-3.1%,Fall by -3.18%,-8.4%
Sell,2020-07-13 - 2020-07-21,6 days,2020-08-03,73.7225,2020-08-05,73.6805,2 days,0.1%,Fall by 4.02%,-8.4%
Buy,2020-12-18 - 2021-01-04,11 days,2021-01-07,89.3625,2021-02-03,103.5035,19 days,15.8%,Rise by 19.08%,7.4%
Sell,2021-04-09 - 2021-04-15,4 days,2021-04-21,114.6645,2021-04-28,118.9955,5 days,-3.8%,Fall by 2.36%,3.7%
Sell,2021-04-19 - 2021-04-26,5 days,2021-04-30,120.506,2021-05-05,117.837,3 days,2.2%,Fall by -3.99%,5.9%
Sell,2021-06-08 - 2021-06-15,5 days,2021-06-25,126.995,2021-07-01,126.3685,4 days,0.5%,Fall by -4.94%,6.4%
Sell,2021-07-07 - 2021-07-14,5 days,2021-07-19,129.254,2021-07-21,132.6005,2 days,-2.6%,Fall by -3.1%,3.8%
Sell,2021-07-26 - 2021-07-27,1 days,2021-07-30,135.221,2021-08-16,138.916,11 days,-2.7%,Fall by 1.45%,1.0%
Sell,2021-08-31 - 2021-09-01,1 days,2021-09-17,141.4635,2021-09-21,139.6465,2 days,1.3%,Fall by -0.11%,2.3%
Buy,2021-09-30 - 2021-10-04,2 days,2021-10-26,139.672,2021-10-29,148.2705,3 days,6.2%,Rise by 7.9%,8.5%
Sell,2021-10-19 - 2021-10-20,1 days,2021-10-25,138.773,2021-10-27,146.4275,2 days,-5.5%,Fall by -2.05%,3.0%
Sell,2021-10-20 - 2021-10-27,5 days,2021-11-02,145.863,2021-11-12,149.6455,8 days,-2.6%,Fall by 2.91%,0.4%
Sell,2021-11-08 - 2021-11-19,9 days,2021-11-24,146.7175,2021-11-29,146.114,3 days,0.4%,Fall by 2.94%,0.8%
