Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2020-01-16 - 2020-01-20,2 days,2020-01-28,611.6,2020-02-20,608.55,17 days,0.5%,Fall by 16.51%,0.5%
Buy,2020-01-28 - 2020-02-03,4 days,2020-02-05,622.325,2020-03-09,553.65,23 days,-11.0%,Rise by -11.04%,-10.5%
Buy,2020-03-03 - 2020-03-09,4 days,2020-03-16,499.75,2020-03-18,438.45,2 days,-12.3%,Rise by -16.99%,-22.8%
Sell,2020-06-02 - 2020-06-03,1 days,2020-06-10,495.925,2020-06-15,474.925,3 days,4.2%,Fall by -6.18%,-18.6%
Sell,2020-06-30 - 2020-07-02,2 days,2020-07-13,540.125,2020-07-15,526.575,2 days,2.5%,Fall by 7.24%,-16.1%
Sell,2020-07-09 - 2020-07-21,8 days,2020-07-24,559.55,2020-08-04,520.825,7 days,6.9%,Fall by 7.93%,-9.1%
Sell,2020-08-25 - 2020-08-26,1 days,2020-09-02,567.075,2020-09-03,565.45,1 days,0.3%,Fall by 9.15%,-8.9%
Buy,2020-09-22 - 2020-09-24,2 days,2020-09-28,527.1,2020-10-01,553.475,3 days,5.0%,Rise by 36.68%,-3.8%
Sell,2020-10-12 - 2020-10-21,7 days,2020-10-26,605.45,2020-10-28,604.8,2 days,0.1%,Fall by -13.32%,-3.7%
Sell,2020-11-24 - 2020-11-25,1 days,2020-12-07,686.125,2020-12-09,703.6,2 days,-2.5%,Fall by 0.06%,-6.3%
Sell,2021-01-12 - 2021-01-13,1 days,2021-01-21,737.4,2021-01-25,731.425,2 days,0.8%,Fall by 7.31%,-5.5%
Sell,2021-02-05 - 2021-02-08,1 days,2021-02-11,786.175,2021-02-15,808.3,2 days,-2.8%,Fall by 13.06%,-8.3%
Sell,2021-02-08 - 2021-02-16,6 days,2021-02-19,769.55,2021-02-24,803.225,3 days,-4.4%,Fall by 11.18%,-12.7%
Buy,2021-02-23 - 2021-02-24,1 days,2021-03-09,781.25,2021-04-12,683.525,24 days,-12.5%,Rise by -12.51%,-25.2%
Buy,2021-03-18 - 2021-03-24,4 days,2021-03-26,745.65,2021-08-30,784.125,111 days,5.2%,Rise by -0.97%,-20.0%
Buy,2021-05-14 - 2021-05-17,1 days,2021-05-28,751.725,2021-08-31,790.7,67 days,5.2%,Rise by 2.4%,-14.8%
Sell,2021-08-16 - 2021-08-18,2 days,2021-09-09,784.3,2021-09-16,779.975,5 days,0.6%,Fall by 5.02%,-14.3%
Sell,2021-10-14 - 2021-10-18,2 days,2021-10-26,826.375,2021-11-01,802.65,4 days,2.9%,Fall by 9.85%,-11.4%
Buy,2021-11-11 - 2021-11-18,5 days,2021-11-24,759.025,2022-03-07,662.4,73 days,-12.7%,Rise by 3.15%,-24.1%
Sell,2022-01-05 - 2022-01-12,5 days,2022-01-19,759.225,2022-01-28,731.625,7 days,3.6%,Fall by 3.73%,-20.5%
Sell,2022-02-11 - 2022-02-16,3 days,2022-02-25,728.05,2022-03-03,685.5,4 days,5.8%,Fall by 7.82%,-14.7%
Sell,2022-03-22 - 2022-03-23,1 days,2022-03-28,716.4,2022-03-30,738.475,2 days,-3.1%,Fall by 6.32%,-17.7%
Sell,2022-03-23 - 2022-04-04,8 days,2022-04-07,758.375,2022-04-20,677.15,9 days,10.7%,Fall by 10.6%,-7.0%
Buy,2022-04-20 - 2022-04-25,3 days,2022-05-10,670.525,2022-07-28,708.425,57 days,5.7%,Rise by 4.51%,-1.4%
Buy,2022-05-16 - 2022-05-19,3 days,2022-05-23,652.0,2022-05-27,696.025,4 days,6.8%,Rise by 7.83%,5.4%
Buy,2022-09-29 - 2022-09-30,1 days,2022-10-14,719.5,2022-11-01,756.625,12 days,5.2%,Rise by 13.47%,10.5%
Sell,2022-12-14 - 2022-12-15,1 days,2022-12-23,798.825,2022-12-29,820.65,4 days,-2.7%,Fall by 1.84%,7.8%
Buy,2023-01-10 - 2023-01-11,1 days,2023-01-18,818.65,2023-05-04,863.9,76 days,5.5%,Rise by 2.22%,13.3%
Buy,2023-02-24 - 2023-02-27,1 days,2023-03-03,807.95,2023-05-04,863.9,44 days,6.9%,Rise by 4.74%,20.3%
Buy,2023-03-15 - 2023-03-16,1 days,2023-04-12,842.45,2023-10-03,754.025,124 days,-10.5%,Rise by 2.55%,9.8%
Sell,2023-04-06 - 2023-04-10,2 days,2023-04-19,832.85,2023-05-04,863.9,11 days,-3.7%,Fall by 5.02%,6.0%
Sell,2023-04-17 - 2023-05-04,13 days,2023-05-17,819.225,2023-05-23,818.6,4 days,0.1%,Fall by 3.44%,6.1%
Buy,2023-05-09 - 2023-05-17,6 days,2023-05-22,820.525,2023-10-26,731.7,113 days,-10.8%,Rise by 5.31%,-4.7%
