Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Buy,2020-02-28 - 2020-03-12,9 days,2020-03-24,71.46,2020-04-09,82.36,12 days,15.3%,Rise by 15.25%,15.3%,
Sell,2020-06-02 - 2020-06-03,1 days,2020-06-09,83.9,2020-06-12,82.44,3 days,1.7%,Fall by 3.6%,17.0%,
Sell,2020-07-20 - 2020-07-27,5 days,2020-08-04,85.04,2020-08-12,84.46,6 days,0.7%,Fall by 2.46%,17.7%,
Sell,2020-10-12 - 2020-11-05,18 days,2020-11-11,85.73,2020-11-13,85.44,2 days,0.3%,Fall by -0.75%,18.0%,
Sell,2020-12-08 - 2020-12-15,5 days,2020-12-22,86.48,2020-12-24,87.05,2 days,-0.7%,Fall by -0.52%,17.4%,
Sell,2020-12-28 - 2020-12-29,1 days,2021-01-12,87.01,2021-02-08,87.78,19 days,-0.9%,Fall by 0.09%,16.5%,
Sell,2021-06-28 - 2021-06-30,2 days,2021-07-14,87.85,2021-07-20,87.52,4 days,0.4%,Fall by 0.99%,16.8%,
Sell,2021-08-31 - 2021-09-15,11 days,2021-09-20,87.69,2021-09-29,87.59,7 days,0.1%,Fall by 1.37%,17.0%,
Buy,2021-11-23 - 2021-12-01,6 days,2021-12-03,86.0,2022-05-09,76.77,111 days,-10.7%,Rise by 1.45%,6.2%,
Buy,2022-01-07 - 2022-01-21,10 days,2022-01-25,85.1,2022-05-18,76.0,81 days,-10.7%,Rise by -2.66%,-4.5%,
Buy,2022-04-11 - 2022-04-22,9 days,2022-04-26,79.46,2022-09-26,71.28,109 days,-10.3%,Rise by 0.92%,-14.8%,
Buy,2022-05-11 - 2022-05-12,1 days,2022-05-16,76.7,2025-06-30,80.65,815 days,5.1%,Rise by 2.92%,-9.6%,
Buy,2022-05-18 - 2022-06-13,18 days,2022-06-15,75.01,2022-06-15,75.01,0 days,0.0%,Rise by 5.24%,-9.6%,
Sell,2022-08-05 - 2022-08-08,1 days,2022-08-17,77.62,2022-08-24,76.36,5 days,1.6%,Fall by 8.36%,-8.0%,
Buy,2022-09-27 - 2022-10-13,12 days,2022-10-24,72.54,2025-09-19,81.26,759 days,12.0%,Rise by 4.92%,4.0%,
Sell,2022-11-25 - 2022-11-30,3 days,2022-12-05,74.84,2022-12-12,75.33,5 days,-0.7%,Fall by 2.95%,3.4%,
Sell,2022-12-02 - 2022-12-13,7 days,2022-12-16,74.6,2022-12-23,74.39,5 days,0.3%,Fall by 1.6%,3.7%,
Sell,2023-01-13 - 2023-01-18,3 days,2023-01-30,75.74,2023-01-31,76.33,1 days,-0.8%,Fall by 3.08%,2.9%,
Buy,2023-02-10 - 2023-02-16,4 days,2023-02-22,73.89,2023-12-26,77.62,219 days,5.0%,Rise by 2.25%,7.9%,
Buy,2023-03-13 - 2023-03-15,2 days,2023-03-21,73.97,2023-12-27,77.94,201 days,5.4%,Rise by 1.55%,13.3%,
Buy,2023-05-17 - 2023-05-24,5 days,2023-05-26,74.02,2023-12-27,77.94,153 days,5.3%,Rise by 1.49%,18.6%,
Sell,2023-06-15 - 2023-06-30,11 days,2023-07-17,75.24,2023-08-04,74.65,14 days,0.8%,Fall by 1.37%,19.4%,
Buy,2023-08-03 - 2023-08-21,12 days,2023-08-23,74.71,2023-08-23,74.71,0 days,0.0%,Rise by 4.32%,19.4%,
Buy,2023-10-20 - 2023-10-23,1 days,2023-11-02,73.69,2023-12-21,77.56,35 days,5.3%,Rise by 5.77%,24.6%,
Sell,2023-11-22 - 2023-11-29,5 days,2023-12-11,75.81,2023-12-13,77.14,2 days,-1.8%,Fall by -1.07%,22.9%,
Sell,2023-12-26 - 2023-12-27,1 days,2024-01-02,77.13,2024-01-04,76.62,2 days,0.7%,Fall by 0.73%,23.5%,
Sell,2024-07-12 - 2024-07-16,2 days,2024-08-02,77.7,2024-08-06,77.51,2 days,0.2%,Fall by -2.01%,23.8%,
Sell,2024-08-19 - 2024-08-26,5 days,2024-09-11,79.3,2024-09-16,79.83,3 days,-0.7%,Fall by 0.05%,23.1%,
Buy,2024-12-19 - 2024-12-20,1 days,2025-01-14,78.61,2025-01-14,78.61,0 days,0.0%,Rise by 1.93%,23.1%,
Sell,2025-04-29 - 2025-05-13,10 days,2025-05-20,79.34,2025-06-03,79.33,10 days,0.0%,Fall by -0.64%,23.1%,
Sell,2025-06-24 - 2025-06-30,4 days,2025-07-08,79.99,2025-07-22,80.5,10 days,-0.6%,Fall by 0.01%,22.5%,
Sell,2025-08-15 - 2025-08-22,5 days,2025-09-02,80.39,2025-09-05,80.87,3 days,-0.6%,Fall by 0.55%,21.9%,
Sell,2025-09-22 - 2025-09-23,1 days,2025-09-26,81.08,2025-10-02,80.93,4 days,0.2%,Fall by 0.35%,22.1%,
