Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2024-02-12 - 2024-02-15,3 days,2024-02-21,29.08,2024-02-26,31.12,3 days,-7.0%,Fall by -25.21%,-7.0%
Sell,2024-03-04 - 2024-03-05,1 days,2024-03-15,39.39,2024-03-21,37.15,4 days,5.7%,Fall by 11.75%,-1.3%
Sell,2024-05-20 - 2024-05-21,1 days,2024-05-29,38.32,2024-06-03,39.44,3 days,-2.9%,Fall by 11.89%,-4.3%
Sell,2024-07-17 - 2024-07-22,3 days,2024-07-25,36.83,2024-07-26,38.79,1 days,-5.3%,Fall by 11.76%,-9.6%
Sell,2024-07-22 - 2024-07-29,5 days,2024-08-01,36.07,2024-08-02,35.61,1 days,1.3%,Fall by 11.7%,-8.3%
Sell,2024-09-24 - 2024-09-27,3 days,2024-10-02,34.24,2024-10-04,35.52,2 days,-3.7%,Fall by -54.41%,-12.0%
Sell,2024-10-16 - 2024-10-18,2 days,2024-10-23,37.81,2024-10-24,38.87,1 days,-2.8%,Fall by -39.83%,-14.8%
Sell,2024-11-12 - 2024-11-13,1 days,2024-11-26,51.7,2024-11-27,55.03,1 days,-6.4%,Fall by -2.26%,-21.3%
Sell,2024-11-29 - 2024-12-05,4 days,2024-12-10,54.9,2024-12-11,57.72,1 days,-5.1%,Fall by 12.64%,-26.4%
Buy,2024-12-23 - 2024-12-30,5 days,2025-01-02,55.37,2025-01-06,58.17,2 days,5.1%,Rise by -13.38%,-21.4%
Sell,2025-01-22 - 2025-01-24,2 days,2025-02-03,57.58,2025-02-04,56.13,1 days,2.5%,Fall by 13.11%,-18.8%
Buy,2025-02-11 - 2025-02-12,1 days,2025-02-14,55.33,2025-02-26,47.96,8 days,-13.3%,Rise by -10.66%,-32.2%
Buy,2025-03-04 - 2025-03-10,4 days,2025-03-14,48.14,2025-04-22,52.08,27 days,8.2%,Rise by 31.35%,-24.0%
Sell,2025-04-29 - 2025-05-02,3 days,2025-05-15,58.67,2025-05-20,60.91,3 days,-3.8%,Fall by 1.36%,-27.8%
Sell,2025-05-21 - 2025-05-22,1 days,2025-05-29,59.99,2025-06-02,59.36,2 days,1.1%,Fall by -7.05%,-26.7%
Sell,2025-07-11 - 2025-07-14,1 days,2025-08-04,65.2,2025-08-11,67.64,5 days,-3.7%,Fall by 5.77%,-30.5%
Buy,2025-08-21 - 2025-08-25,2 days,2025-08-27,63.65,2025-10-02,68.77,26 days,8.0%,Rise by 4.87%,-22.4%
Buy,2025-08-27 - 2025-08-29,2 days,2025-09-03,63.77,2025-10-02,68.77,21 days,7.8%,Rise by 11.79%,-14.6%
