Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Buy,2020-02-27 - 2020-02-28,1 days,2020-03-10,40.1933,2020-03-12,35.8017,2 days,-10.9%,Rise by -11.67%,-10.9%,
Sell,2020-04-20 - 2020-04-28,6 days,2020-05-01,41.9983,2020-05-05,43.155,2 days,-2.8%,Fall by -0.2%,-13.7%,
Sell,2020-05-11 - 2020-05-12,1 days,2020-05-20,43.655,2020-05-22,43.3967,2 days,0.6%,Fall by 3.6%,-13.1%,
Sell,2020-06-02 - 2020-06-05,3 days,2020-06-11,42.0817,2020-06-15,43.2617,2 days,-2.8%,Fall by -14.52%,-15.9%,
Sell,2020-07-22 - 2020-07-23,1 days,2020-07-31,48.8417,2020-08-27,50.3683,19 days,-3.1%,Fall by 1.1%,-19.0%,
Sell,2020-08-27 - 2020-09-02,4 days,2020-09-08,48.305,2020-09-09,49.55,1 days,-2.6%,Fall by 1.76%,-21.6%,
Sell,2020-10-12 - 2020-10-19,5 days,2020-10-29,49.9233,2020-11-04,52.0067,4 days,-4.2%,Fall by -2.81%,-25.8%,
Sell,2020-11-06 - 2020-11-09,1 days,2020-11-24,51.5967,2020-12-04,53.0633,8 days,-2.8%,Fall by -5.42%,-28.6%,
Sell,2020-12-18 - 2020-12-23,3 days,2021-01-12,55.6267,2021-01-28,55.5467,12 days,0.1%,Fall by 4.78%,-28.5%,
Sell,2021-02-12 - 2021-02-16,2 days,2021-02-19,56.2983,2021-02-24,55.9817,3 days,0.6%,Fall by 0.99%,-27.9%,
Sell,2021-04-13 - 2021-04-16,3 days,2021-04-27,60.085,2021-05-03,58.985,4 days,1.8%,Fall by 7.17%,-26.1%,
Sell,2021-07-06 - 2021-07-07,1 days,2021-07-13,61.2233,2021-07-16,60.9467,3 days,0.5%,Fall by -0.71%,-25.6%,
Sell,2021-09-01 - 2021-09-08,5 days,2021-09-13,65.09,2021-09-29,63.38,12 days,2.6%,Fall by 5.27%,-23.0%,
Buy,2021-09-30 - 2021-10-04,2 days,2021-10-07,63.03,2021-12-27,66.32,57 days,5.2%,Rise by 4.44%,-17.8%,
Sell,2021-10-22 - 2021-10-27,3 days,2021-11-05,64.74,2021-11-19,64.73,10 days,0.0%,Fall by 4.88%,-17.8%,
Sell,2021-12-27 - 2021-12-28,1 days,2022-01-03,65.41,2022-01-11,63.12,6 days,3.5%,Fall by 11.51%,-14.3%,
Buy,2022-01-20 - 2022-01-27,5 days,2022-01-31,59.0,2022-04-07,62.2,48 days,5.4%,Rise by 1.24%,-8.8%,
Buy,2022-02-22 - 2022-03-14,14 days,2022-03-16,58.67,2022-05-09,51.07,38 days,-13.0%,Rise by 6.02%,-21.8%,
Sell,2022-03-30 - 2022-03-31,1 days,2022-04-05,60.93,2022-04-13,60.34,6 days,1.0%,Fall by 10.13%,-20.8%,
Buy,2022-05-11 - 2022-05-12,1 days,2022-05-26,53.4,2022-06-16,47.65,15 days,-10.8%,Rise by -10.77%,-31.6%,
