Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2020-01-09 - 2020-01-13,2 days,2020-01-16,39.56,2020-01-22,40.97,4 days,-3.6%,Fall by 2.93%,-3.6%
Sell,2020-01-13 - 2020-01-22,7 days,2020-01-31,37.69,2020-02-03,39.2,1 days,-4.0%,Fall by -1.88%,-7.6%
Sell,2020-04-16 - 2020-04-17,1 days,2020-04-30,43.1,2020-05-04,42.25,2 days,2.0%,Fall by -40.42%,-5.6%
Sell,2020-05-18 - 2020-05-19,1 days,2020-05-22,49.9,2020-05-26,52.6,2 days,-5.4%,Fall by -21.28%,-11.0%
Sell,2020-08-24 - 2020-08-26,2 days,2020-08-31,78.64,2020-09-01,82.49,1 days,-4.9%,Fall by 7.53%,-15.9%
Buy,2020-09-18 - 2020-09-21,1 days,2020-09-28,76.1,2020-10-12,84.32,10 days,10.8%,Rise by 21.54%,-5.1%
Buy,2020-12-10 - 2020-12-14,2 days,2020-12-16,81.77,2020-12-29,86.14,9 days,5.3%,Rise by 16.79%,0.2%
Sell,2020-12-31 - 2021-01-05,3 days,2021-01-12,88.54,2021-01-19,91.15,5 days,-2.9%,Fall by 10.7%,-2.7%
Sell,2021-01-22 - 2021-01-25,1 days,2021-01-28,91.41,2021-02-01,91.27,2 days,0.2%,Fall by 13.5%,-2.6%
Buy,2021-03-08 - 2021-03-15,5 days,2021-03-19,84.99,2021-04-20,74.55,22 days,-12.3%,Rise by -12.28%,-14.8%
Buy,2021-06-14 - 2021-07-08,18 days,2021-07-28,70.28,2021-08-19,62.19,16 days,-11.5%,Rise by -11.51%,-26.3%
Sell,2021-06-29 - 2021-06-30,1 days,2021-07-06,72.39,2021-07-13,76.52,5 days,-5.7%,Fall by 10.53%,-32.1%
Sell,2021-08-26 - 2021-08-27,1 days,2021-09-03,79.855,2021-09-07,83.24,2 days,-4.2%,Fall by 10.31%,-36.3%
Sell,2021-10-18 - 2021-10-20,2 days,2021-10-28,80.92,2021-11-02,80.7,3 days,0.3%,Fall by 10.18%,-36.0%
