Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Buy,2020-01-07 - 2020-01-23,12 days,2020-01-28,30.66,2020-02-25,26.9,20 days,-12.3%,Rise by -12.26%,-12.3%
Buy,2020-03-09 - 2020-03-13,4 days,2020-03-17,15.98,2020-03-18,12.76,1 days,-20.2%,Rise by -20.78%,-32.4%
Buy,2020-05-07 - 2020-05-14,5 days,2020-05-18,13.39,2020-05-26,15.31,6 days,14.3%,Rise by 63.85%,-18.1%
Sell,2020-06-04 - 2020-06-05,1 days,2020-06-10,18.92,2020-06-12,18.26,2 days,3.5%,Fall by 15.33%,-14.6%
Buy,2020-07-09 - 2020-07-10,1 days,2020-07-29,15.87,2020-08-10,17.45,8 days,10.0%,Rise by 15.31%,-4.6%
Sell,2020-08-10 - 2020-08-11,1 days,2020-08-14,17.37,2020-08-19,16.81,3 days,3.2%,Fall by 4.66%,-1.4%
Buy,2020-09-23 - 2020-09-24,1 days,2020-10-05,17.46,2020-10-22,18.53,13 days,6.1%,Rise by 6.99%,4.7%
Sell,2020-10-12 - 2020-10-20,6 days,2020-10-27,17.28,2020-10-29,16.93,2 days,2.0%,Fall by -24.94%,6.7%
Sell,2020-10-23 - 2020-11-09,11 days,2020-11-12,19.23,2020-11-13,20.15,1 days,-4.8%,Fall by -12.27%,2.0%
Sell,2020-11-27 - 2020-12-04,5 days,2020-12-11,22.96,2020-12-16,22.71,3 days,1.1%,Fall by 5.97%,3.1%
Buy,2020-12-22 - 2021-01-05,10 days,2021-01-07,22.35,2021-02-19,24.82,31 days,11.1%,Rise by 20.89%,14.1%
Buy,2021-01-27 - 2021-01-29,2 days,2021-02-02,21.83,2021-02-05,23.05,3 days,5.6%,Rise by 23.77%,19.7%
Sell,2021-02-18 - 2021-02-24,4 days,2021-03-05,25.71,2021-03-08,26.64,1 days,-3.6%,Fall by 0.31%,16.1%
Sell,2021-03-15 - 2021-03-18,3 days,2021-03-23,25.95,2021-03-26,26.67,3 days,-2.8%,Fall by 3.51%,13.3%
Sell,2021-05-28 - 2021-06-01,2 days,2021-06-04,26.39,2021-06-11,26.33,5 days,0.2%,Fall by 10.31%,13.5%
Buy,2021-06-29 - 2021-07-08,7 days,2021-07-20,22.66,2021-09-24,24.29,48 days,7.2%,Rise by 9.84%,20.7%
Sell,2021-08-27 - 2021-08-30,1 days,2021-09-07,22.89,2021-09-14,22.34,5 days,2.4%,Fall by 3.06%,23.1%
Sell,2021-09-24 - 2021-09-27,1 days,2021-09-30,23.63,2021-10-01,24.89,1 days,-5.3%,Fall by 6.09%,17.8%
Sell,2021-09-27 - 2021-10-04,5 days,2021-10-13,23.41,2021-10-21,22.92,6 days,2.1%,Fall by 12.3%,19.9%
Buy,2021-10-20 - 2021-10-27,5 days,2021-11-01,22.85,2021-11-05,24.63,4 days,7.8%,Rise by -10.15%,27.7%
Buy,2021-10-29 - 2021-11-23,17 days,2021-11-29,20.55,2022-03-07,16.91,70 days,-17.7%,Rise by 9.73%,10.0%
Sell,2022-01-11 - 2022-01-13,2 days,2022-01-19,21.49,2022-01-25,20.82,4 days,3.1%,Fall by 11.45%,13.1%
Buy,2022-01-24 - 2022-01-28,4 days,2022-02-07,21.6,2022-02-09,23.1,2 days,6.9%,Rise by -11.9%,20.0%
Sell,2022-02-10 - 2022-02-16,4 days,2022-02-22,22.11,2022-02-25,21.96,3 days,0.7%,Fall by 16.19%,20.7%
Sell,2022-03-28 - 2022-03-29,1 days,2022-04-04,21.72,2022-04-08,20.14,4 days,7.3%,Fall by 12.02%,28.0%
Sell,2022-03-29 - 2022-04-21,17 days,2022-04-26,21.32,2022-04-28,21.96,2 days,-3.0%,Fall by 13.6%,25.0%
Buy,2022-05-11 - 2022-05-12,1 days,2022-05-23,19.55,2022-05-27,20.6,4 days,5.4%,Rise by -13.25%,30.3%
Sell,2022-05-31 - 2022-06-01,1 days,2022-06-09,18.91,2022-06-15,17.05,4 days,9.8%,Fall by 10.47%,40.2%
Buy,2022-06-14 - 2022-06-17,3 days,2022-07-01,16.83,2022-07-19,17.91,12 days,6.4%,Rise by 6.95%,46.6%
Sell,2022-08-05 - 2022-08-08,1 days,2022-08-18,18.72,2022-08-23,17.74,3 days,5.2%,Fall by 11.81%,51.8%
Sell,2022-10-25 - 2022-10-27,2 days,2022-11-03,17.3,2022-11-07,17.89,2 days,-3.4%,Fall by 4.05%,48.4%
Sell,2022-11-01 - 2022-11-11,8 days,2022-11-17,18.12,2022-11-25,18.61,6 days,-2.7%,Fall by 8.39%,45.7%
Buy,2022-12-20 - 2022-12-28,6 days,2022-12-30,17.08,2023-01-06,18.43,5 days,7.9%,Rise by 23.19%,53.6%
Sell,2023-01-17 - 2023-01-18,1 days,2023-01-30,19.99,2023-02-02,21.04,3 days,-5.3%,Fall by 3.45%,48.4%
Sell,2023-01-26 - 2023-02-02,5 days,2023-02-10,19.65,2023-02-14,20.26,2 days,-3.1%,Fall by 10.69%,45.3%
Sell,2023-04-04 - 2023-04-11,5 days,2023-04-14,17.93,2023-04-19,18.64,3 days,-4.0%,Fall by 2.29%,41.3%
Sell,2023-06-15 - 2023-06-16,1 days,2023-06-23,20.21,2023-06-26,20.18,1 days,0.1%,Fall by 11.38%,41.5%
Sell,2023-07-11 - 2023-07-13,2 days,2023-07-21,21.79,2023-07-26,21.31,3 days,2.2%,Fall by 11.2%,43.7%
Buy,2023-08-04 - 2023-08-11,5 days,2023-08-21,19.28,2023-09-22,17.17,24 days,-10.9%,Rise by -10.94%,32.7%
Buy,2023-08-17 - 2023-08-24,5 days,2023-08-28,19.11,2023-09-22,17.17,19 days,-10.2%,Rise by -10.15%,22.6%
Buy,2023-09-22 - 2023-10-03,7 days,2023-10-05,16.69,2023-10-25,14.87,14 days,-10.9%,Rise by -10.9%,11.7%
Buy,2023-10-20 - 2023-10-27,5 days,2023-11-01,14.84,2023-11-03,15.94,2 days,7.4%,Rise by 30.32%,19.1%
Sell,2023-11-21 - 2023-11-22,1 days,2023-11-28,16.67,2023-12-01,17.32,3 days,-3.9%,Fall by -5.34%,15.2%
Sell,2023-12-14 - 2023-12-20,4 days,2023-12-27,19.18,2024-01-04,18.38,6 days,4.2%,Fall by 8.45%,19.3%
Sell,2024-02-08 - 2024-02-12,2 days,2024-03-12,19.59,2024-03-20,20.22,6 days,-3.2%,Fall by 1.12%,16.1%
Sell,2024-03-28 - 2024-04-01,2 days,2024-04-12,19.54,2024-04-17,20.13,3 days,-3.0%,Fall by 0.36%,13.1%
Sell,2024-04-23 - 2024-05-06,9 days,2024-05-17,20.99,2024-05-24,20.27,5 days,3.4%,Fall by 7.38%,16.5%
Buy,2024-05-28 - 2024-05-29,1 days,2024-06-12,20.03,2024-08-02,17.4,37 days,-13.1%,Rise by -0.7%,3.4%
Buy,2024-07-09 - 2024-07-11,2 days,2024-07-26,19.09,2024-08-05,16.76,6 days,-12.2%,Rise by 31.01%,-8.8%
Sell,2024-08-27 - 2024-09-05,7 days,2024-09-11,18.93,2024-09-17,19.66,4 days,-3.9%,Fall by -28.74%,-12.7%
Sell,2024-09-26 - 2024-09-27,1 days,2024-10-02,20.22,2024-10-08,20.83,4 days,-3.0%,Fall by -20.52%,-15.7%
Sell,2024-10-18 - 2024-10-24,4 days,2024-11-18,23.99,2024-11-20,23.94,2 days,0.2%,Fall by -1.58%,-15.5%
Buy,2024-12-19 - 2025-01-03,11 days,2025-01-07,25.77,2025-03-04,23.12,40 days,-10.3%,Rise by -10.28%,-25.7%
Sell,2025-05-09 - 2025-05-14,3 days,2025-05-21,21.88,2025-05-27,22.78,4 days,-4.1%,Fall by 1.42%,-29.9%
Sell,2025-07-03 - 2025-07-08,3 days,2025-07-14,25.28,2025-07-17,25.1,3 days,0.7%,Fall by 8.54%,-29.1%
Sell,2025-08-28 - 2025-09-03,4 days,2025-09-08,26.13,2025-09-10,25.94,2 days,0.7%,Fall by 7.35%,-28.4%
Buy,2025-09-26 - 2025-09-30,2 days,2025-10-03,24.97,2025-10-03,24.97,0 days,0.0%,Rise by -1.36%,-28.4%
Sell,2025-10-22 - 2025-10-27,3 days,2025-10-30,24.24,2025-10-30,24.24,0 days,-0.0%,Fall by -1.61%,-28.4%
