Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Buy,2020-02-28 - 2020-03-12,9 days,2020-03-17,94.14,2020-03-23,84.57,4 days,-10.2%,Rise by 7.97%,-10.2%
Sell,2020-06-02 - 2020-06-03,1 days,2020-06-09,104.08,2020-06-12,102.28,3 days,1.7%,Fall by 3.8%,-8.4%
Sell,2020-07-20 - 2020-07-31,9 days,2020-08-10,105.81,2020-08-12,105.12,2 days,0.7%,Fall by 2.58%,-7.8%
Sell,2020-11-06 - 2020-11-09,1 days,2020-11-12,106.1,2020-11-16,107.03,2 days,-0.9%,Fall by -1.52%,-8.7%
Sell,2020-12-08 - 2020-12-09,1 days,2020-12-21,107.71,2020-12-24,108.55,3 days,-0.8%,Fall by -0.64%,-9.4%
Sell,2020-12-31 - 2021-01-04,2 days,2021-01-12,108.59,2021-02-05,109.26,18 days,-0.6%,Fall by 0.17%,-10.1%
Sell,2021-06-28 - 2021-06-30,2 days,2021-07-14,109.77,2021-07-20,109.29,4 days,0.4%,Fall by 1.02%,-9.6%
Sell,2021-08-31 - 2021-09-16,12 days,2021-09-27,109.75,2021-09-29,109.49,2 days,0.2%,Fall by 1.49%,-9.4%
Buy,2021-11-23 - 2021-11-26,3 days,2021-12-02,107.29,2022-05-06,96.37,111 days,-10.2%,Rise by 1.44%,-19.6%
Buy,2022-01-07 - 2022-01-21,10 days,2022-01-25,106.19,2022-05-09,95.3,74 days,-10.3%,Rise by -2.9%,-29.8%
Buy,2022-04-11 - 2022-04-22,9 days,2022-04-26,98.87,2022-09-23,88.81,108 days,-10.2%,Rise by 0.41%,-40.0%
Buy,2022-05-11 - 2022-05-18,5 days,2022-05-20,94.7,2022-05-20,94.7,0 days,0.0%,Rise by 3.03%,-40.0%
Buy,2022-06-30 - 2022-07-05,3 days,2022-07-15,92.92,2022-08-12,97.57,20 days,5.0%,Rise by 5.0%,-35.0%
Sell,2022-08-05 - 2022-08-08,1 days,2022-08-17,96.0,2022-08-24,94.31,5 days,1.8%,Fall by 8.91%,-33.2%
Buy,2022-09-27 - 2022-10-13,12 days,2022-10-24,89.01,2022-10-24,89.01,0 days,0.0%,Rise by 4.68%,-33.2%
Sell,2022-11-25 - 2022-11-30,3 days,2022-12-05,91.7,2022-12-13,93.18,6 days,-1.6%,Fall by 3.3%,-34.8%
Sell,2023-01-13 - 2023-01-18,3 days,2023-01-30,92.9,2023-01-31,93.63,1 days,-0.8%,Fall by 3.19%,-35.6%
Buy,2023-02-13 - 2023-02-16,3 days,2023-02-22,90.6,2023-12-27,95.4,220 days,5.3%,Rise by 2.45%,-30.3%
Buy,2023-03-13 - 2023-03-15,2 days,2023-03-21,90.69,2023-12-27,95.4,201 days,5.2%,Rise by 1.62%,-25.1%
Buy,2023-05-18 - 2023-05-24,4 days,2023-05-26,90.78,2023-12-27,95.4,153 days,5.1%,Rise by 1.52%,-20.0%
Sell,2023-06-15 - 2023-06-30,11 days,2023-07-17,92.32,2023-08-04,91.57,14 days,0.8%,Fall by 1.39%,-19.2%
Buy,2023-08-03 - 2023-08-18,11 days,2023-08-22,90.92,2023-08-22,90.92,0 days,0.0%,Rise by 4.93%,-19.2%
Buy,2023-10-20 - 2023-10-23,1 days,2023-11-02,90.22,2023-12-14,94.83,30 days,5.1%,Rise by 5.74%,-14.1%
Sell,2023-11-22 - 2023-11-29,5 days,2023-12-11,92.74,2023-12-13,94.37,2 days,-1.8%,Fall by -1.1%,-15.9%
Sell,2024-07-16 - 2024-07-19,3 days,2024-08-02,94.79,2024-08-06,94.56,2 days,0.2%,Fall by -1.78%,-15.6%
Sell,2024-08-19 - 2024-08-21,2 days,2024-08-28,96.74,2024-09-04,96.34,5 days,0.4%,Fall by 0.27%,-15.2%
Sell,2024-09-17 - 2024-09-19,2 days,2024-09-24,97.61,2024-09-25,97.5,1 days,0.1%,Fall by 1.92%,-15.1%
Buy,2024-10-09 - 2024-10-23,10 days,2024-11-04,95.98,2024-11-04,95.98,0 days,0.0%,Rise by 1.44%,-15.1%
Sell,2025-04-29 - 2025-05-13,10 days,2025-05-22,95.16,2025-05-29,95.8,5 days,-0.7%,Fall by -1.11%,-15.8%
Sell,2025-06-30 - 2025-08-22,39 days,2025-09-02,96.84,2025-09-05,97.51,3 days,-0.7%,Fall by 0.52%,-16.5%
Sell,2025-09-22 - 2025-09-23,1 days,2025-09-26,97.85,2025-10-02,97.59,4 days,0.3%,Fall by 0.47%,-16.2%
