Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2019-12-06 - 2019-12-16,6 days,2019-12-24,137.58,2020-01-02,141.09,7 days,-2.6%,Fall by 4.03%,-2.6%,
Sell,2019-12-30 - 2020-01-02,3 days,2020-01-07,135.88,2020-01-28,134.43,15 days,1.1%,Fall by 2.83%,-1.5%,
Buy,2020-01-24 - 2020-01-27,1 days,2020-02-10,137.74,2020-02-27,121.37,13 days,-11.9%,Rise by -11.88%,-13.4%,
Sell,2020-02-10 - 2020-02-12,2 days,2020-02-18,135.64,2020-02-26,126.64,6 days,6.6%,Fall by 15.98%,-6.7%,
Buy,2020-02-27 - 2020-03-09,7 days,2020-03-13,103.91,2020-03-16,88.36,1 days,-15.0%,Rise by -13.36%,-21.7%,
Buy,2020-03-12 - 2020-03-16,2 days,2020-03-20,83.5,2020-03-24,88.43,2 days,5.9%,Rise by 23.07%,-15.8%,
Buy,2020-06-24 - 2020-06-26,2 days,2020-06-30,94.06,2020-07-15,99.73,11 days,6.0%,Rise by 10.38%,-9.8%,
Buy,2020-06-30 - 2020-07-07,5 days,2020-07-10,96.27,2020-08-11,103.82,22 days,7.8%,Rise by 7.84%,-1.9%,
Sell,2020-08-11 - 2020-08-12,1 days,2020-08-17,99.71,2020-08-19,98.55,2 days,1.2%,Fall by 7.07%,-0.8%,
Sell,2020-10-12 - 2020-10-13,1 days,2020-10-20,100.37,2020-10-22,102.88,2 days,-2.5%,Fall by -27.39%,-3.3%,
Sell,2020-11-25 - 2020-12-04,7 days,2020-12-11,119.56,2020-12-21,123.55,6 days,-3.3%,Fall by -6.94%,-6.6%,
Sell,2021-01-13 - 2021-01-14,1 days,2021-01-20,135.97,2021-01-26,131.58,4 days,3.2%,Fall by -9.92%,-3.4%,
Sell,2021-02-18 - 2021-02-25,5 days,2021-03-05,150.91,2021-03-10,155.13,3 days,-2.8%,Fall by 0.96%,-6.2%,
Sell,2021-02-25 - 2021-03-08,7 days,2021-03-16,153.51,2021-03-18,157.65,2 days,-2.7%,Fall by 4.0%,-8.9%,
Sell,2021-03-12 - 2021-03-18,4 days,2021-03-23,149.46,2021-03-26,155.09,3 days,-3.8%,Fall by 1.4%,-12.6%,
Buy,2021-04-05 - 2021-04-15,8 days,2021-04-22,147.37,2021-05-06,160.69,10 days,9.0%,Rise by 11.74%,-3.6%,
Sell,2021-05-18 - 2021-05-25,5 days,2021-06-04,166.44,2021-06-07,165.66,1 days,0.5%,Fall by 11.7%,-3.1%,
Sell,2021-08-12 - 2021-08-26,10 days,2021-09-01,159.72,2021-09-09,159.19,6 days,0.3%,Fall by 4.23%,-2.8%,
Buy,2021-09-16 - 2021-09-20,2 days,2021-09-22,155.91,2021-09-27,166.98,3 days,7.1%,Rise by 10.18%,4.3%,
Sell,2021-09-27 - 2021-09-28,1 days,2021-10-06,169.02,2021-10-15,166.61,7 days,1.4%,Fall by 6.59%,5.7%,
Sell,2021-10-22 - 2021-10-25,1 days,2021-10-28,170.36,2021-10-29,169.89,1 days,0.3%,Fall by 7.32%,6.0%,
Buy,2021-11-18 - 2021-12-01,9 days,2021-12-06,160.16,2022-02-28,141.8,60 days,-11.5%,Rise by 5.17%,-5.5%,
Buy,2021-12-03 - 2021-12-20,11 days,2021-12-22,156.7,2022-03-01,136.45,49 days,-12.9%,Rise by 7.49%,-18.4%,
Sell,2022-02-09 - 2022-02-10,1 days,2022-03-01,136.45,2022-03-09,133.44,6 days,2.2%,Fall by 11.02%,-16.2%,
Buy,2022-04-07 - 2022-04-14,5 days,2022-04-19,131.12,2022-05-20,117.34,23 days,-10.5%,Rise by -10.51%,-26.7%,
Buy,2022-04-28 - 2022-05-02,2 days,2022-05-13,119.09,2022-05-24,126.36,7 days,6.1%,Rise by 3.81%,-20.6%,
Sell,2022-05-27 - 2022-05-31,2 days,2022-06-03,130.16,2022-06-17,113.03,10 days,13.2%,Fall by 11.51%,-7.4%,
Buy,2022-06-16 - 2022-06-23,5 days,2022-07-06,111.89,2022-08-10,118.39,25 days,5.8%,Rise by 10.49%,-1.6%,
Buy,2022-09-26 - 2022-09-29,3 days,2022-10-03,107.73,2022-10-17,115.86,10 days,7.5%,Rise by 28.27%,5.9%,
Buy,2022-10-11 - 2022-10-12,1 days,2022-10-21,122.23,2022-11-04,130.68,10 days,6.9%,Rise by 13.05%,12.9%,
Sell,2022-10-25 - 2022-11-02,6 days,2022-11-09,129.74,2022-11-10,135.08,1 days,-4.1%,Fall by 0.35%,8.7%,
Sell,2022-11-08 - 2022-11-11,3 days,2022-11-16,133.12,2022-11-21,133.05,3 days,0.1%,Fall by 2.88%,8.8%,
Sell,2022-11-25 - 2022-12-01,4 days,2022-12-08,132.88,2022-12-09,132.16,1 days,0.5%,Fall by -4.27%,9.3%,
Sell,2023-01-12 - 2023-01-13,1 days,2023-01-19,134.75,2023-01-24,138.45,3 days,-2.7%,Fall by -2.83%,6.6%,
Buy,2023-03-09 - 2023-03-10,1 days,2023-03-20,127.14,2023-04-14,138.73,19 days,9.1%,Rise by 11.22%,15.7%,
Sell,2023-04-18 - 2023-05-01,9 days,2023-05-04,134.12,2023-05-17,138.45,9 days,-3.2%,Fall by -3.33%,12.5%,
Sell,2023-06-20 - 2023-06-21,1 days,2023-06-28,138.59,2023-06-29,143.43,1 days,-3.5%,Fall by -3.7%,9.0%,
Sell,2023-07-19 - 2023-07-24,3 days,2023-08-02,155.4,2023-08-09,153.79,5 days,1.0%,Fall by 7.52%,10.0%,
Sell,2023-10-12 - 2023-10-13,1 days,2023-10-18,145.91,2023-10-30,137.42,8 days,5.8%,Fall by -14.52%,15.8%,
Buy,2023-10-25 - 2023-10-27,2 days,2023-10-31,139.06,2023-11-10,146.43,8 days,5.3%,Rise by 23.88%,21.1%,
Sell,2023-12-29 - 2024-01-05,5 days,2024-01-10,171.02,2024-01-12,169.05,2 days,1.2%,Fall by -5.3%,22.3%,
Sell,2024-03-06 - 2024-03-07,1 days,2024-03-15,190.3,2024-03-20,196.33,3 days,-3.2%,Fall by 5.37%,19.1%,
Sell,2024-03-20 - 2024-03-22,2 days,2024-04-03,198.3,2024-04-18,181.25,11 days,8.6%,Fall by 3.41%,27.7%,
