Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2019-12-18 - 2019-12-20,2 days,2019-12-26,45.73,2020-01-02,43.58,5 days,4.7%,Fall by 12.84%,4.7%
Sell,2020-01-23 - 2020-01-24,1 days,2020-01-31,47.48,2020-02-04,50.0,2 days,-5.3%,Fall by 10.45%,-0.6%
Sell,2020-01-29 - 2020-02-04,4 days,2020-02-13,47.03,2020-02-19,46.24,4 days,1.7%,Fall by 21.39%,1.1%
Buy,2020-02-26 - 2020-02-27,1 days,2020-03-04,40.27,2020-03-06,36.02,2 days,-10.6%,Rise by -47.18%,-9.5%
Buy,2020-03-16 - 2020-03-18,2 days,2020-03-20,21.27,2020-03-23,22.61,1 days,6.3%,Rise by 61.35%,-3.2%
Sell,2020-04-27 - 2020-04-28,1 days,2020-05-01,29.605,2020-05-05,26.68,2 days,9.9%,Fall by 5.69%,6.7%
Buy,2020-06-26 - 2020-06-29,1 days,2020-07-06,33.22,2020-07-13,28.81,5 days,-13.3%,Rise by -10.02%,-6.6%
Buy,2020-08-17 - 2020-08-20,3 days,2020-09-08,30.1,2020-09-14,31.97,4 days,6.2%,Rise by -11.06%,-0.4%
Buy,2020-10-07 - 2020-10-28,15 days,2020-11-09,37.69,2020-12-02,43.4,17 days,15.1%,Rise by 34.47%,14.8%
Sell,2020-11-17 - 2020-11-18,1 days,2020-11-23,39.35,2020-11-27,39.04,4 days,0.8%,Fall by -20.15%,15.6%
Sell,2020-12-04 - 2020-12-09,3 days,2020-12-28,49.77,2020-12-29,49.25,1 days,1.0%,Fall by 12.36%,16.6%
Sell,2020-12-17 - 2020-12-30,9 days,2021-01-05,48.85,2021-01-06,47.46,1 days,2.8%,Fall by 10.71%,19.5%
Buy,2021-01-06 - 2021-01-08,2 days,2021-01-12,50.68,2021-01-27,43.62,11 days,-13.9%,Rise by -12.27%,5.5%
Sell,2021-02-17 - 2021-02-19,2 days,2021-02-26,55.7,2021-03-01,57.34,1 days,-2.9%,Fall by -7.45%,2.6%
Sell,2021-02-24 - 2021-03-03,5 days,2021-03-10,61.31,2021-03-12,66.37,2 days,-8.3%,Fall by 2.38%,-5.7%
Sell,2021-03-16 - 2021-03-18,2 days,2021-03-23,61.56,2021-03-24,60.97,1 days,1.0%,Fall by 2.78%,-4.7%
Buy,2021-04-12 - 2021-04-13,1 days,2021-04-30,55.66,2021-05-06,49.8,4 days,-10.5%,Rise by 5.57%,-15.2%
