Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2020-01-21 - 2020-01-22,1 days,2020-02-04,5.15,2020-02-05,5.35,1 days,-3.9%,Fall by 10.29%,-3.9%,
Sell,2020-02-11 - 2020-02-13,2 days,2020-02-21,5.545,2020-03-03,4.81,7 days,13.3%,Fall by 22.27%,9.4%,
Buy,2020-02-28 - 2020-03-10,7 days,2020-03-18,4.2,2020-04-08,4.54,15 days,8.1%,Rise by 8.1%,17.5%,
Sell,2020-04-29 - 2020-04-30,1 days,2020-05-14,4.71,2020-05-18,4.7,2 days,0.2%,Fall by 4.46%,17.7%,
Buy,2020-06-03 - 2020-06-12,7 days,2020-06-16,4.9,2020-07-08,5.26,16 days,7.3%,Rise by 7.35%,25.0%,
Sell,2020-06-08 - 2020-06-09,1 days,2020-06-23,4.95,2020-06-30,4.81,5 days,2.8%,Fall by 9.09%,27.9%,
Buy,2020-09-18 - 2020-09-23,3 days,2020-09-28,4.955,2020-10-07,5.26,7 days,6.2%,Rise by 19.07%,34.0%,
Sell,2020-10-08 - 2020-10-15,5 days,2020-10-22,5.34,2020-10-23,5.54,1 days,-3.7%,Fall by 3.56%,30.3%,
Sell,2020-12-29 - 2021-01-07,7 days,2021-01-12,8.19,2021-01-13,7.895,1 days,3.6%,Fall by 11.97%,33.9%,
Buy,2021-02-12 - 2021-02-15,1 days,2021-03-01,5.65,2021-04-14,6.05,32 days,7.1%,Rise by 7.08%,40.9%,
Sell,2021-03-16 - 2021-03-17,1 days,2021-03-22,5.245,2021-03-23,5.4,1 days,-3.0%,Fall by 1.81%,38.0%,
Buy,2021-03-24 - 2021-04-01,6 days,2021-04-07,5.37,2021-04-13,5.79,4 days,7.8%,Rise by 0.56%,45.8%,
Sell,2021-04-14 - 2021-04-16,2 days,2021-04-21,5.62,2021-04-27,5.49,4 days,2.3%,Fall by 8.36%,48.1%,
Buy,2021-08-17 - 2021-08-18,1 days,2021-09-03,5.215,2021-11-17,4.66,53 days,-10.6%,Rise by 0.29%,37.5%,
Buy,2021-10-08 - 2021-10-15,5 days,2021-10-20,4.87,2022-01-28,4.34,72 days,-10.9%,Rise by 1.03%,26.6%,
Buy,2021-11-17 - 2021-11-22,3 days,2021-11-30,4.75,2022-02-16,4.99,56 days,5.1%,Rise by 3.58%,31.7%,
Sell,2021-12-21 - 2021-12-29,6 days,2022-01-07,4.685,2022-01-18,4.67,7 days,0.3%,Fall by 7.36%,32.0%,
Buy,2022-01-11 - 2022-01-12,1 days,2022-01-21,4.64,2022-02-09,4.9,13 days,5.6%,Rise by 14.22%,37.6%,
Sell,2022-02-18 - 2022-02-22,2 days,2022-02-25,4.88,2022-03-01,5.25,2 days,-7.6%,Fall by 9.84%,30.0%,
Sell,2022-02-22 - 2022-03-02,6 days,2022-03-07,5.16,2022-03-09,5.13,2 days,0.6%,Fall by 10.27%,30.6%,
Buy,2022-04-14 - 2022-04-19,3 days,2022-04-28,4.81,2022-08-03,5.215,69 days,8.4%,Rise by -0.21%,39.0%,
Buy,2022-05-10 - 2022-05-13,3 days,2022-05-18,4.65,2022-07-12,4.89,39 days,5.2%,Rise by 3.23%,44.2%,
Buy,2022-05-30 - 2022-06-21,16 days,2022-06-23,4.42,2022-08-03,5.215,29 days,18.0%,Rise by 21.04%,62.1%,
Sell,2022-06-07 - 2022-06-08,1 days,2022-06-13,4.51,2022-06-15,4.5,2 days,0.2%,Fall by -5.1%,62.4%,
Sell,2022-08-10 - 2022-08-11,1 days,2022-08-19,5.26,2022-08-23,5.25,2 days,0.2%,Fall by 7.41%,62.6%,
Buy,2022-10-03 - 2022-10-10,5 days,2022-10-12,4.72,2022-12-02,4.98,37 days,5.5%,Rise by 3.39%,68.1%,
Sell,2022-12-05 - 2022-12-07,2 days,2022-12-12,4.88,2022-12-13,5.05,1 days,-3.5%,Fall by -7.79%,64.6%,
Sell,2022-12-20 - 2023-01-04,11 days,2023-01-17,5.23,2023-01-26,5.365,7 days,-2.6%,Fall by -0.57%,62.0%,
Sell,2023-02-02 - 2023-02-03,1 days,2023-02-13,5.33,2023-02-16,5.49,3 days,-3.0%,Fall by 5.72%,59.0%,
Buy,2023-08-28 - 2023-09-01,4 days,2023-09-05,5.34,2024-01-08,5.63,89 days,5.4%,Rise by -3.93%,64.4%,
Buy,2023-09-12 - 2023-09-13,1 days,2023-09-26,5.25,2023-12-27,5.55,66 days,5.7%,Rise by -2.29%,70.1%,
Buy,2023-10-02 - 2023-10-10,6 days,2023-10-12,5.2,2023-12-27,5.55,54 days,6.7%,Rise by -1.35%,76.9%,
Buy,2023-10-25 - 2023-10-30,3 days,2023-11-14,5.03,2023-11-28,5.29,10 days,5.2%,Rise by 13.52%,82.0%,
Sell,2023-12-19 - 2023-12-21,2 days,2024-01-03,5.44,2024-01-04,5.59,1 days,-2.8%,Fall by -2.11%,79.3%,
Sell,2023-12-28 - 2024-01-09,8 days,2024-01-12,5.61,2024-01-15,5.6,1 days,0.2%,Fall by 0.98%,79.5%,
Sell,2024-01-09 - 2024-01-25,12 days,2024-01-30,5.65,2024-02-02,5.52,3 days,2.3%,Fall by 1.68%,81.8%,
