Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2020-01-15 - 2020-02-06,16 days,2020-02-13,31.37,2020-02-26,30.55,9 days,2.6%,Fall by 14.85%,2.6%
Sell,2020-04-01 - 2020-04-06,3 days,2020-04-14,29.895,2020-04-16,30.835,2 days,-3.1%,Fall by -3.66%,-0.5%
Sell,2020-04-20 - 2020-04-23,3 days,2020-05-05,31.565,2020-05-07,31.155,2 days,1.3%,Fall by -3.06%,0.8%
Buy,2020-05-08 - 2020-05-27,13 days,2020-05-29,32.97,2021-02-12,37.91,185 days,15.0%,Rise by 3.03%,15.8%
Sell,2020-06-02 - 2020-06-11,7 days,2020-06-25,33.625,2020-06-26,33.02,1 days,1.8%,Fall by 5.29%,17.6%
Sell,2020-07-21 - 2020-07-22,1 days,2020-07-30,33.585,2020-08-03,32.71,2 days,2.6%,Fall by 3.48%,20.2%
Sell,2020-09-23 - 2020-09-29,4 days,2020-10-07,34.34,2020-10-08,35.62,1 days,-3.7%,Fall by 6.97%,16.4%
Buy,2020-10-29 - 2020-10-30,1 days,2020-11-19,33.665,2020-12-16,35.92,19 days,6.7%,Rise by 9.61%,23.1%
Sell,2020-12-09 - 2020-12-16,5 days,2020-12-22,35.31,2020-12-28,35.125,4 days,0.5%,Fall by 2.53%,23.7%
Buy,2021-03-25 - 2021-03-26,1 days,2021-04-08,34.625,2021-04-20,36.64,8 days,5.8%,Rise by 17.98%,29.5%
Sell,2021-04-21 - 2021-04-22,1 days,2021-05-05,37.035,2021-05-10,38.14,3 days,-3.0%,Fall by -34.05%,26.5%
Sell,2021-07-07 - 2021-07-09,2 days,2021-07-20,43.755,2021-07-23,45.375,3 days,-3.7%,Fall by -13.46%,22.8%
Sell,2021-08-17 - 2021-08-20,3 days,2021-08-25,51.815,2021-08-26,51.785,1 days,0.1%,Fall by 7.96%,22.8%
Sell,2021-10-26 - 2021-10-29,3 days,2021-11-05,56.71,2021-11-11,56.705,4 days,0.0%,Fall by 5.98%,22.9%
Buy,2021-12-02 - 2021-12-03,1 days,2021-12-15,58.23,2021-12-20,51.765,3 days,-11.1%,Rise by -11.95%,11.7%
Sell,2021-12-13 - 2021-12-16,3 days,2021-12-29,55.58,2022-01-07,50.745,7 days,8.7%,Fall by 13.35%,20.4%
Buy,2022-02-23 - 2022-02-24,1 days,2022-03-09,52.53,2022-03-18,55.735,7 days,6.1%,Rise by 15.94%,26.5%
Sell,2022-04-06 - 2022-04-07,1 days,2022-04-19,57.205,2022-04-22,55.35,3 days,3.2%,Fall by 9.76%,29.8%
Buy,2022-05-11 - 2022-05-16,3 days,2022-05-20,53.875,2022-06-07,57.935,12 days,7.5%,Rise by 7.62%,37.3%
Sell,2022-06-07 - 2022-06-08,1 days,2022-06-13,53.79,2022-06-17,52.79,4 days,1.9%,Fall by 7.13%,39.2%
Sell,2022-07-27 - 2022-08-01,3 days,2022-08-04,52.235,2022-08-10,53.755,4 days,-2.9%,Fall by 8.8%,36.3%
Sell,2022-10-06 - 2022-10-18,8 days,2022-10-21,52.11,2022-10-25,54.085,2 days,-3.8%,Fall by -27.21%,32.5%
Sell,2022-12-02 - 2022-12-05,1 days,2022-12-16,66.59,2022-12-20,66.095,2 days,0.7%,Fall by 0.45%,33.2%
Sell,2023-01-23 - 2023-01-24,1 days,2023-01-27,69.045,2023-02-03,68.395,5 days,0.9%,Fall by -0.58%,34.2%
Sell,2023-02-23 - 2023-02-27,2 days,2023-03-08,70.73,2023-03-17,69.72,7 days,1.4%,Fall by -13.41%,35.6%
Buy,2023-03-13 - 2023-03-16,3 days,2023-03-20,71.795,2023-03-24,76.375,4 days,6.4%,Rise by 20.24%,42.0%
Sell,2023-04-03 - 2023-04-04,1 days,2023-04-11,79.185,2023-04-12,81.76,1 days,-3.3%,Fall by -1.3%,38.7%
Sell,2023-04-17 - 2023-04-21,4 days,2023-04-26,82.495,2023-05-05,81.62,7 days,1.1%,Fall by 4.76%,39.8%
Buy,2023-06-01 - 2023-06-02,1 days,2023-06-13,78.815,2023-07-21,82.83,28 days,5.1%,Rise by 5.09%,44.9%
Buy,2023-06-28 - 2023-07-11,9 days,2023-07-13,78.44,2023-08-08,94.585,18 days,20.6%,Rise by 20.58%,65.5%
Sell,2023-09-08 - 2023-09-11,1 days,2023-09-18,93.305,2023-09-22,91.3,4 days,2.1%,Fall by -0.21%,67.6%
Buy,2023-09-25 - 2023-10-03,6 days,2023-10-06,92.12,2023-10-11,98.84,3 days,7.3%,Rise by 14.47%,74.9%
Sell,2023-10-12 - 2023-10-13,1 days,2023-10-19,97.66,2023-10-23,97.12,2 days,0.6%,Fall by 1.48%,75.5%
Sell,2023-11-22 - 2023-11-24,2 days,2023-12-01,100.4,2023-12-08,96.64,5 days,3.7%,Fall by -4.79%,79.2%
Sell,2023-12-28 - 2024-01-04,5 days,2024-01-12,107.16,2024-01-19,106.96,5 days,0.2%,Fall by -11.77%,79.4%
Buy,2024-01-04 - 2024-01-10,4 days,2024-01-12,107.16,2024-01-31,114.74,13 days,7.1%,Rise by 26.84%,86.5%
Sell,2024-02-20 - 2024-02-22,2 days,2024-02-28,121.54,2024-03-04,127.95,3 days,-5.3%,Fall by -0.96%,81.2%
Sell,2024-02-22 - 2024-03-04,7 days,2024-03-11,131.24,2024-03-12,135.11,1 days,-2.9%,Fall by 6.5%,78.2%
Buy,2024-04-01 - 2024-04-04,3 days,2024-04-08,127.46,2024-05-15,134.66,27 days,5.6%,Rise by 12.69%,83.9%
Sell,2024-05-15 - 2024-05-21,4 days,2024-05-28,134.08,2024-05-30,132.8,2 days,1.0%,Fall by 11.08%,84.8%
Sell,2024-06-10 - 2024-06-12,2 days,2024-06-18,140.8,2024-06-25,146.91,5 days,-4.3%,Fall by 10.51%,80.5%
Buy,2024-07-05 - 2024-07-11,4 days,2024-07-19,131.54,2024-08-30,139.16,30 days,5.8%,Rise by 4.58%,86.3%
Buy,2024-07-29 - 2024-08-05,5 days,2024-08-08,128.17,2024-08-15,137.57,5 days,7.3%,Rise by 8.57%,93.6%
Sell,2024-08-15 - 2024-08-22,5 days,2024-08-27,135.18,2024-08-28,134.48,1 days,0.5%,Fall by 10.67%,94.2%
Sell,2024-08-22 - 2024-08-30,6 days,2024-09-05,130.89,2024-09-11,135.23,4 days,-3.3%,Fall by 11.01%,90.8%
Buy,2024-09-10 - 2024-09-23,9 days,2024-09-25,126.95,2024-10-24,113.92,21 days,-10.3%,Rise by -10.26%,80.6%
Sell,2024-12-09 - 2024-12-11,2 days,2024-12-20,85.0,2024-12-23,88.71,1 days,-4.4%,Fall by 7.42%,76.2%
Buy,2024-12-23 - 2025-01-02,8 days,2025-01-08,85.64,2025-03-12,74.79,45 days,-12.7%,Rise by 6.2%,63.5%
Buy,2025-01-08 - 2025-01-14,4 days,2025-01-24,87.97,2025-02-13,78.83,14 days,-10.4%,Rise by -10.39%,53.1%
Sell,2025-01-28 - 2025-02-06,7 days,2025-02-11,83.74,2025-02-18,82.33,5 days,1.7%,Fall by 10.69%,54.8%
Buy,2025-03-28 - 2025-04-04,5 days,2025-04-08,61.6,2025-04-09,65.09,1 days,5.7%,Rise by 12.39%,60.5%
Sell,2025-05-12 - 2025-05-20,6 days,2025-05-23,67.35,2025-05-27,70.44,2 days,-4.6%,Fall by 0.0%,55.9%
Sell,2025-06-12 - 2025-06-13,1 days,2025-06-18,74.01,2025-06-24,70.73,4 days,4.4%,Fall by 11.78%,60.3%
Buy,2025-07-31 - 2025-08-06,4 days,2025-08-08,51.08,2025-08-18,53.75,6 days,5.2%,Rise by 21.08%,65.6%
Buy,2025-09-10 - 2025-09-30,14 days,2025-10-02,58.74,2025-10-28,52.05,18 days,-11.4%,Rise by -15.8%,54.2%
