Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2020-04-22 - 2020-04-30,6 days,2020-05-05,0.8519,2020-05-06,0.8499,1 days,0.2%,Fall by -1.08%,0.2%,
Sell,2020-05-25 - 2020-05-26,1 days,2020-06-18,0.875,2020-06-22,0.8715,2 days,0.4%,Fall by 1.59%,0.6%,
Sell,2020-06-16 - 2020-06-23,5 days,2020-06-30,0.8775,2020-07-01,0.8751,1 days,0.3%,Fall by 1.87%,0.9%,
Sell,2020-07-13 - 2020-07-22,7 days,2020-07-29,0.8907,2020-08-07,0.8901,7 days,0.1%,Fall by 3.32%,1.0%,
Sell,2020-09-02 - 2020-09-16,10 days,2020-09-22,0.8864,2020-09-25,0.874,3 days,1.4%,Fall by 2.62%,2.4%,
Buy,2020-10-09 - 2020-10-21,8 days,2020-10-23,0.8759,2022-09-22,0.7856,499 days,-10.3%,Rise by 4.36%,-7.9%,
Sell,2020-11-30 - 2020-12-01,1 days,2020-12-07,0.8996,2020-12-22,0.9119,11 days,-1.4%,Fall by -0.8%,-9.3%,
Sell,2020-12-24 - 2020-12-25,1 days,2021-01-08,0.9213,2021-01-21,0.9072,9 days,1.5%,Fall by 0.85%,-7.8%,
Sell,2021-01-08 - 2021-02-22,31 days,2021-03-01,0.9229,2021-03-03,0.921,2 days,0.2%,Fall by 5.07%,-7.6%,
Buy,2021-05-11 - 2021-05-13,2 days,2021-05-18,0.8703,2022-09-26,0.7796,354 days,-10.4%,Rise by 1.48%,-18.0%,
Buy,2021-06-16 - 2021-06-18,2 days,2021-06-24,0.8667,2022-09-26,0.7796,327 days,-10.0%,Rise by 1.9%,-28.0%,
Sell,2021-06-29 - 2021-07-08,7 days,2021-07-21,0.8773,2021-07-22,0.8745,1 days,0.3%,Fall by 0.8%,-27.7%,
Sell,2021-09-07 - 2021-09-09,2 days,2021-09-15,0.9001,2021-09-20,0.8974,3 days,0.3%,Fall by 4.03%,-27.4%,
