Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Buy,2019-12-31 - 2020-01-30,22 days,2020-02-03,53.09,2020-03-06,47.37,24 days,-10.8%,Rise by -10.77%,-10.8%
Sell,2020-01-16 - 2020-01-17,1 days,2020-02-24,52.65,2020-02-26,52.05,2 days,1.1%,Fall by 15.06%,-9.6%
Buy,2020-03-09 - 2020-03-12,3 days,2020-03-17,46.86,2020-03-26,50.48,7 days,7.7%,Rise by 16.56%,-1.9%
Sell,2020-04-14 - 2020-04-17,3 days,2020-04-22,52.27,2020-04-29,53.88,5 days,-3.1%,Fall by 1.19%,-5.0%
Buy,2020-05-05 - 2020-05-14,7 days,2020-05-18,53.15,2020-07-09,57.53,38 days,8.2%,Rise by 3.67%,3.3%
Sell,2020-07-10 - 2020-07-13,1 days,2020-07-17,54.9,2020-08-14,54.2,20 days,1.3%,Fall by 1.66%,4.5%
Sell,2020-08-05 - 2020-08-18,9 days,2020-08-21,55.19,2020-08-26,57.49,3 days,-4.2%,Fall by -6.6%,0.4%
Sell,2020-08-28 - 2020-09-02,3 days,2020-09-08,55.32,2020-09-09,56.95,1 days,-2.9%,Fall by -6.34%,-2.6%
Buy,2020-10-06 - 2020-10-22,12 days,2020-10-27,57.08,2020-12-18,65.06,38 days,14.0%,Rise by 14.4%,11.4%
Sell,2020-12-18 - 2020-12-23,3 days,2020-12-30,64.4,2021-01-07,63.07,6 days,2.1%,Fall by 6.27%,13.5%
Sell,2021-02-08 - 2021-02-23,11 days,2021-03-12,67.16,2021-03-24,66.83,8 days,0.5%,Fall by -10.93%,13.9%
Sell,2021-04-12 - 2021-04-19,5 days,2021-04-22,74.87,2021-04-26,74.5,2 days,0.5%,Fall by -1.82%,14.4%
Sell,2021-07-07 - 2021-07-12,3 days,2021-07-19,86.98,2021-07-21,89.69,2 days,-3.1%,Fall by -1.81%,11.3%
Sell,2021-07-22 - 2021-07-23,1 days,2021-08-02,87.6,2021-08-04,90.05,2 days,-2.8%,Fall by -1.08%,8.5%
Sell,2021-10-20 - 2021-10-25,3 days,2021-11-01,94.38,2021-11-11,94.04,8 days,0.4%,Fall by 6.51%,8.9%
Sell,2021-11-18 - 2021-11-19,1 days,2021-11-24,93.58,2021-11-29,92.94,3 days,0.7%,Fall by 10.9%,9.6%
Buy,2021-12-31 - 2022-01-06,4 days,2022-01-10,89.28,2022-01-26,79.59,12 days,-10.9%,Rise by -10.64%,-1.3%
Buy,2022-01-21 - 2022-01-27,4 days,2022-01-31,81.16,2022-02-23,72.47,17 days,-10.7%,Rise by -10.71%,-12.0%
Buy,2022-02-23 - 2022-02-24,1 days,2022-03-09,76.1,2022-03-15,80.6,4 days,5.9%,Rise by 10.76%,-6.1%
Sell,2022-03-30 - 2022-04-05,4 days,2022-04-08,80.94,2022-04-14,79.45,4 days,1.8%,Fall by 10.06%,-4.2%
Buy,2022-04-26 - 2022-05-02,4 days,2022-05-10,72.53,2022-06-13,64.05,24 days,-11.7%,Rise by 0.84%,-15.9%
Buy,2022-05-11 - 2022-05-19,6 days,2022-05-23,70.04,2022-07-21,74.54,43 days,6.4%,Rise by 2.78%,-9.5%
Sell,2022-08-16 - 2022-08-18,2 days,2022-08-23,76.41,2022-08-31,74.15,6 days,3.0%,Fall by 10.86%,-6.5%
Buy,2022-09-23 - 2022-09-29,4 days,2022-10-04,65.69,2022-10-20,69.25,12 days,5.4%,Rise by 18.85%,-1.1%
Sell,2022-10-31 - 2022-11-01,1 days,2022-11-17,79.2,2022-11-22,82.12,3 days,-3.7%,Fall by 0.53%,-4.8%
