Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2020-11-25 - 2020-11-27,2 days,2020-12-02,22.51,2020-12-03,24.03,1 days,-6.8%,Fall by -3.82%,-6.8%,
Sell,2021-01-26 - 2021-01-27,1 days,2021-02-01,33.96,2021-02-03,31.76,2 days,6.5%,Fall by 25.88%,-0.3%,
Buy,2021-02-18 - 2021-02-23,3 days,2021-03-08,22.52,2021-03-09,24.26,1 days,7.7%,Rise by 12.88%,7.5%,
Buy,2021-04-08 - 2021-04-12,2 days,2021-04-30,23.04,2021-05-06,20.09,4 days,-12.8%,Rise by -10.29%,-5.4%,
Sell,2021-05-28 - 2021-06-02,3 days,2021-06-10,24.14,2021-06-14,25.0,2 days,-3.6%,Fall by 10.69%,-8.9%,
Sell,2021-06-14 - 2021-06-15,1 days,2021-06-22,25.4,2021-06-23,26.27,1 days,-3.4%,Fall by 11.61%,-12.3%,
Sell,2021-06-25 - 2021-06-28,1 days,2021-07-01,24.72,2021-07-06,24.68,3 days,0.2%,Fall by 10.28%,-12.2%,
Sell,2021-08-05 - 2021-08-10,3 days,2021-08-16,24.5,2021-08-18,25.28,2 days,-3.2%,Fall by 5.43%,-15.4%,
Sell,2021-08-16 - 2021-08-18,2 days,2021-09-09,26.13,2021-09-15,27.08,4 days,-3.6%,Fall by 11.33%,-19.0%,
Buy,2021-09-30 - 2021-10-04,2 days,2021-10-11,23.53,2021-10-21,24.78,8 days,5.3%,Rise by 13.68%,-13.7%,
Sell,2021-10-25 - 2021-10-26,1 days,2021-11-10,22.52,2021-11-15,23.41,3 days,-4.0%,Fall by 13.94%,-17.6%,
Buy,2021-11-22 - 2021-11-23,1 days,2021-12-07,19.46,2022-01-05,16.96,21 days,-12.8%,Rise by -12.85%,-30.5%,
Buy,2022-01-21 - 2022-01-24,1 days,2022-01-31,13.71,2022-02-17,11.77,13 days,-14.2%,Rise by -14.15%,-44.6%,
Buy,2022-02-22 - 2022-02-24,2 days,2022-03-09,11.65,2022-03-17,12.32,6 days,5.8%,Rise by 25.58%,-38.9%,
Sell,2022-03-30 - 2022-04-05,4 days,2022-04-08,12.7,2022-04-12,12.46,2 days,1.9%,Fall by 16.85%,-37.0%,
Buy,2022-04-12 - 2022-04-18,4 days,2022-04-20,12.79,2022-04-26,11.12,4 days,-13.1%,Rise by -25.88%,-50.1%,
Buy,2022-05-09 - 2022-05-11,2 days,2022-05-13,8.34,2022-05-27,8.85,10 days,6.1%,Rise by 11.51%,-43.9%,
Sell,2022-05-31 - 2022-06-02,2 days,2022-06-07,9.13,2022-06-14,7.82,5 days,14.3%,Fall by 2.52%,-29.6%,
Sell,2022-06-02 - 2022-06-08,4 days,2022-06-13,7.64,2022-06-15,8.12,2 days,-6.3%,Fall by -16.49%,-35.9%,
