Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2019-12-02 - 2019-12-16,10 days,2019-12-19,108.88,2019-12-20,108.75,1 days,0.1%,Fall by -4.6%,0.1%,
Sell,2020-01-21 - 2020-01-24,3 days,2020-02-07,118.88,2020-02-14,122.99,5 days,-3.5%,Fall by 14.51%,-3.3%,
Buy,2020-02-27 - 2020-03-09,7 days,2020-03-13,110.15,2020-03-16,92.72,1 days,-15.8%,Rise by -13.08%,-19.2%,
Sell,2020-04-24 - 2020-04-27,1 days,2020-05-01,120.61,2020-05-04,123.66,1 days,-2.5%,Fall by -45.75%,-21.7%,
Sell,2020-06-18 - 2020-06-19,1 days,2020-06-25,172.5,2020-06-26,170.87,1 days,0.9%,Fall by -1.91%,-20.7%,
Sell,2020-07-02 - 2020-07-06,2 days,2020-07-13,171.51,2020-07-20,178.82,5 days,-4.3%,Fall by -2.5%,-25.0%,
Sell,2020-08-06 - 2020-08-27,15 days,2020-09-04,191.84,2020-09-08,185.95,2 days,3.1%,Fall by 6.27%,-21.9%,
Sell,2020-10-13 - 2020-10-21,6 days,2020-10-26,197.22,2020-10-29,195.04,3 days,1.1%,Fall by -15.01%,-20.8%,
Buy,2020-10-30 - 2020-11-03,2 days,2020-11-05,204.56,2020-11-10,183.36,3 days,-10.4%,Rise by 19.03%,-31.2%,
Sell,2020-11-27 - 2020-12-01,2 days,2020-12-11,214.06,2020-12-14,220.79,1 days,-3.1%,Fall by -5.97%,-34.3%,
Sell,2020-12-22 - 2020-12-23,1 days,2020-12-30,231.51,2021-01-08,242.46,7 days,-4.7%,Fall by 0.68%,-39.1%,
Sell,2021-02-10 - 2021-02-11,1 days,2021-02-18,290.81,2021-02-19,286.92,1 days,1.3%,Fall by 22.26%,-37.7%,
Sell,2021-04-12 - 2021-04-14,2 days,2021-04-19,267.91,2021-04-22,262.27,3 days,2.1%,Fall by 10.45%,-35.6%,
Buy,2021-05-05 - 2021-05-06,1 days,2021-05-12,239.91,2021-05-24,257.17,8 days,7.2%,Rise by 28.6%,-28.4%,
Sell,2021-06-14 - 2021-06-18,4 days,2021-07-01,289.0,2021-07-07,297.13,4 days,-2.8%,Fall by 6.23%,-31.2%,
Sell,2021-07-13 - 2021-07-26,9 days,2021-07-29,283.17,2021-08-04,275.5,4 days,2.7%,Fall by 5.06%,-28.5%,
Buy,2021-08-02 - 2021-08-03,1 days,2021-08-13,274.91,2021-08-31,288.66,12 days,5.0%,Rise by 6.67%,-23.5%,
Sell,2021-09-07 - 2021-09-08,1 days,2021-09-13,280.49,2021-09-21,269.49,6 days,3.9%,Fall by 9.08%,-19.6%,
Buy,2021-09-30 - 2021-10-04,2 days,2021-10-19,271.7,2021-10-21,243.21,2 days,-10.5%,Rise by -16.0%,-30.1%,
Sell,2021-10-19 - 2021-10-20,1 days,2021-10-27,234.94,2021-11-08,229.42,8 days,2.3%,Fall by 11.34%,-27.7%,
Buy,2021-11-02 - 2021-11-08,4 days,2021-11-10,204.64,2021-11-16,215.67,4 days,5.4%,Rise by -12.37%,-22.4%,
Buy,2021-11-22 - 2021-12-01,7 days,2021-12-07,191.02,2022-01-21,163.54,33 days,-14.4%,Rise by 2.05%,-36.7%,
Sell,2022-01-03 - 2022-01-04,1 days,2022-01-10,182.95,2022-01-11,191.52,1 days,-4.7%,Fall by 13.58%,-41.4%,
Buy,2022-01-21 - 2022-01-24,1 days,2022-02-09,122.94,2022-02-16,110.54,5 days,-10.1%,Rise by -13.36%,-51.5%,
Buy,2022-02-24 - 2022-03-08,8 days,2022-03-15,100.46,2022-03-17,112.16,2 days,11.6%,Rise by 21.3%,-39.9%,
Sell,2022-03-30 - 2022-04-05,4 days,2022-04-08,111.21,2022-04-19,103.66,7 days,6.8%,Fall by 25.72%,-33.1%,
Buy,2022-04-22 - 2022-04-26,2 days,2022-04-28,92.09,2022-05-06,81.68,6 days,-11.3%,Rise by -15.68%,-44.4%,
Sell,2022-05-31 - 2022-06-02,2 days,2022-06-10,79.3,2022-06-15,75.83,3 days,4.4%,Fall by 11.93%,-40.0%,
Buy,2022-06-14 - 2022-06-17,3 days,2022-06-23,73.81,2022-06-24,77.68,1 days,5.2%,Rise by 38.3%,-34.8%,
Sell,2022-08-02 - 2022-08-03,1 days,2022-08-18,99.86,2022-08-24,93.76,4 days,6.1%,Fall by 12.22%,-28.7%,
Buy,2022-08-30 - 2022-09-01,2 days,2022-09-07,94.97,2022-09-26,84.26,13 days,-11.3%,Rise by -11.28%,-39.9%,
Buy,2022-10-12 - 2022-10-13,1 days,2022-10-17,84.66,2022-10-25,89.24,6 days,5.4%,Rise by -11.2%,-34.5%,
Buy,2022-12-06 - 2022-12-19,9 days,2022-12-23,69.03,2023-01-04,77.69,8 days,12.5%,Rise by 25.97%,-22.0%,
Sell,2023-01-17 - 2023-01-18,1 days,2023-02-06,82.33,2023-02-10,80.8,4 days,1.9%,Fall by 10.66%,-20.1%,
Buy,2023-03-02 - 2023-03-13,7 days,2023-03-16,74.35,2023-05-09,65.905,38 days,-11.4%,Rise by 4.01%,-31.5%,
