Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Buy,2020-02-27 - 2020-03-12,10 days,2020-03-17,39.29,2020-03-23,35.26,4 days,-10.3%,Rise by 15.25%,-10.3%
Sell,2020-04-24 - 2020-04-28,2 days,2020-05-01,42.84,2020-05-04,44.25,1 days,-3.3%,Fall by 0.7%,-13.5%
Buy,2020-07-27 - 2020-07-31,4 days,2020-08-12,43.37,2020-09-15,46.04,24 days,6.2%,Rise by 8.0%,-7.4%
Sell,2020-08-21 - 2020-08-26,3 days,2020-09-04,43.78,2020-09-09,44.9,3 days,-2.6%,Fall by 8.66%,-10.0%
Buy,2020-09-30 - 2020-10-07,5 days,2020-10-09,44.03,2021-06-09,47.45,173 days,7.8%,Rise by 0.5%,-2.2%
Buy,2020-10-22 - 2020-10-30,6 days,2020-11-03,41.88,2021-01-15,44.56,53 days,6.4%,Rise by 4.99%,4.2%
Sell,2020-12-09 - 2020-12-10,1 days,2020-12-15,43.01,2020-12-22,42.83,5 days,0.4%,Fall by 1.77%,4.6%
Sell,2020-12-18 - 2020-12-30,8 days,2021-01-06,43.01,2021-01-08,42.64,2 days,0.9%,Fall by 6.72%,5.5%
Buy,2021-02-23 - 2021-03-05,8 days,2021-03-09,41.12,2021-06-07,45.93,64 days,11.7%,Rise by 5.03%,17.2%
Sell,2021-03-17 - 2021-03-22,3 days,2021-04-07,40.63,2021-04-09,41.93,2 days,-3.2%,Fall by -0.2%,14.0%
Sell,2021-05-17 - 2021-05-18,1 days,2021-06-02,43.25,2021-06-04,44.4,2 days,-2.7%,Fall by -7.33%,11.3%
Sell,2021-06-11 - 2021-06-16,3 days,2021-06-23,46.13,2021-06-28,47.47,3 days,-2.9%,Fall by -0.63%,8.4%
Sell,2021-08-17 - 2021-08-18,1 days,2021-08-25,49.5,2021-09-14,46.75,14 days,5.6%,Fall by 9.47%,14.0%
Buy,2021-09-13 - 2021-09-20,5 days,2021-09-23,46.42,2021-10-08,49.89,11 days,7.5%,Rise by 9.91%,21.5%
Buy,2021-09-20 - 2021-09-28,6 days,2021-09-30,45.47,2021-10-08,49.89,6 days,9.7%,Rise by 12.21%,31.2%
Sell,2021-12-10 - 2021-12-16,4 days,2021-12-30,51.66,2022-01-05,50.49,4 days,2.3%,Fall by 10.51%,33.4%
Buy,2022-01-21 - 2022-01-26,3 days,2022-02-08,47.06,2022-03-24,50.1,32 days,6.5%,Rise by 13.56%,39.9%
Buy,2022-01-26 - 2022-02-14,13 days,2022-02-16,47.57,2022-05-11,40.56,60 days,-14.7%,Rise by 12.34%,25.2%
Sell,2022-03-01 - 2022-03-09,6 days,2022-03-31,49.41,2022-04-04,51.61,2 days,-4.5%,Fall by 11.46%,20.7%
Sell,2022-04-08 - 2022-04-11,1 days,2022-04-14,51.63,2022-04-22,47.88,6 days,7.3%,Fall by 12.59%,28.0%
Buy,2022-05-03 - 2022-05-05,2 days,2022-05-10,44.62,2022-05-12,39.54,2 days,-11.4%,Rise by -11.3%,16.6%
Sell,2022-07-01 - 2022-07-15,10 days,2022-07-21,41.96,2022-08-02,41.28,8 days,1.6%,Fall by 2.19%,18.2%
Buy,2022-08-08 - 2022-08-11,3 days,2022-08-17,41.64,2023-02-16,37.21,131 days,-10.6%,Rise by 2.35%,7.6%
