Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Buy,2020-03-11 - 2020-03-12,1 days,2020-03-24,81.75,2020-03-26,86.41,2 days,5.7%,Rise by 7.95%,5.7%
Buy,2020-05-15 - 2020-05-22,5 days,2020-05-26,88.03,2020-06-02,93.64,5 days,6.4%,Rise by 8.89%,12.1%
Sell,2020-05-28 - 2020-06-03,4 days,2020-06-09,94.64,2020-06-12,91.35,3 days,3.5%,Fall by 2.37%,15.5%
Buy,2020-06-16 - 2020-07-02,12 days,2020-07-06,93.41,2020-11-23,105.6,100 days,13.0%,Rise by 9.09%,28.6%
Buy,2020-06-24 - 2020-07-09,11 days,2020-07-13,93.44,2020-11-18,104.08,92 days,11.4%,Rise by 9.05%,40.0%
Sell,2020-08-25 - 2020-08-26,1 days,2020-09-01,99.03,2020-09-09,97.5,6 days,1.5%,Fall by 5.59%,41.5%
Buy,2020-09-21 - 2020-10-02,9 days,2020-10-16,97.34,2020-11-24,107.71,27 days,10.7%,Rise by 11.21%,52.2%
Buy,2020-10-28 - 2020-10-29,1 days,2020-11-13,100.4,2020-11-23,105.6,6 days,5.2%,Rise by 8.13%,57.4%
Sell,2020-11-24 - 2020-11-27,3 days,2020-12-03,105.84,2020-12-08,105.81,3 days,0.0%,Fall by 2.23%,57.4%
Sell,2021-01-08 - 2021-01-12,2 days,2021-01-25,106.29,2021-01-26,105.99,1 days,0.3%,Fall by -8.99%,57.7%
Sell,2021-03-10 - 2021-03-11,1 days,2021-03-16,115.99,2021-03-23,115.84,5 days,0.1%,Fall by 0.12%,57.8%
Sell,2021-05-18 - 2021-05-25,5 days,2021-06-09,124.92,2021-06-16,127.68,5 days,-2.2%,Fall by -0.32%,55.6%
Sell,2021-06-16 - 2021-06-17,1 days,2021-06-23,125.64,2021-07-14,128.74,15 days,-2.5%,Fall by 0.25%,53.1%
Sell,2021-07-15 - 2021-07-16,1 days,2021-07-23,125.32,2021-08-06,129.14,10 days,-3.0%,Fall by -0.01%,50.1%
Sell,2021-08-11 - 2021-08-13,2 days,2021-08-27,132.28,2021-09-02,129.65,4 days,2.0%,Fall by 5.25%,52.1%
Buy,2021-09-14 - 2021-09-20,4 days,2021-09-22,126.41,2021-10-22,133.23,22 days,5.4%,Rise by 5.4%,57.5%
