Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2020-02-14 - 2020-02-19,3 days,2020-02-24,322.42,2020-03-02,309.09,5 days,4.1%,Fall by 14.91%,4.1%,
Buy,2020-02-27 - 2020-03-12,10 days,2020-03-19,240.51,2020-04-06,264.86,12 days,10.1%,Rise by 21.91%,14.3%,
Sell,2020-04-14 - 2020-04-17,3 days,2020-05-01,282.79,2020-05-08,292.44,5 days,-3.4%,Fall by -6.1%,10.8%,
Sell,2020-06-03 - 2020-06-08,3 days,2020-06-11,300.61,2020-06-15,307.05,2 days,-2.1%,Fall by -7.33%,8.7%,
Buy,2020-06-26 - 2020-06-29,1 days,2020-07-10,317.59,2020-08-06,334.33,19 days,5.3%,Rise by 12.63%,14.0%,
Sell,2020-08-26 - 2020-09-02,5 days,2020-09-08,333.21,2020-09-15,340.17,5 days,-2.1%,Fall by 2.0%,11.9%,
Sell,2020-12-08 - 2020-12-09,1 days,2021-01-12,378.77,2021-01-14,378.46,2 days,0.1%,Fall by 2.3%,12.0%,
Sell,2021-02-08 - 2021-02-10,2 days,2021-02-18,390.72,2021-02-19,390.03,1 days,0.2%,Fall by -3.76%,12.1%,
Sell,2021-04-12 - 2021-04-16,4 days,2021-04-27,417.52,2021-04-28,417.4,1 days,0.0%,Fall by 0.62%,12.2%,
Sell,2021-06-14 - 2021-06-15,1 days,2021-06-18,414.92,2021-06-24,425.1,4 days,-2.5%,Fall by -2.42%,9.7%,
Sell,2021-08-13 - 2021-08-16,1 days,2021-08-19,439.86,2021-08-25,448.91,4 days,-2.1%,Fall by 2.55%,7.7%,
Sell,2021-08-31 - 2021-09-02,2 days,2021-09-08,450.91,2021-09-15,447.88,5 days,0.7%,Fall by 4.94%,8.3%,
Buy,2021-09-21 - 2021-09-30,7 days,2021-10-05,433.1,2021-11-03,464.72,21 days,7.3%,Rise by 8.46%,15.6%,
Sell,2021-11-04 - 2021-11-05,1 days,2021-11-10,463.62,2021-12-02,457.4,16 days,1.3%,Fall by 2.83%,17.0%,
Sell,2021-12-29 - 2021-12-30,1 days,2022-01-06,467.94,2022-01-25,434.47,13 days,7.2%,Fall by 7.84%,24.1%,
Buy,2022-01-21 - 2022-01-24,1 days,2022-01-31,449.91,2022-05-09,398.17,70 days,-11.5%,Rise by 2.59%,12.6%,
Buy,2022-02-23 - 2022-02-24,1 days,2022-03-15,426.17,2022-03-22,449.59,5 days,5.5%,Rise by -2.06%,18.1%,
Sell,2022-03-28 - 2022-03-29,1 days,2022-04-01,452.92,2022-04-07,448.77,4 days,0.9%,Fall by 12.09%,19.0%,
Buy,2022-04-26 - 2022-05-02,4 days,2022-05-04,429.06,2022-06-13,375.0,28 days,-12.6%,Rise by -2.72%,6.4%,
Buy,2022-05-11 - 2022-05-12,1 days,2022-05-23,396.92,2022-06-02,417.39,8 days,5.2%,Rise by 8.26%,11.6%,
Sell,2022-05-31 - 2022-06-02,2 days,2022-06-08,411.22,2022-06-15,379.2,5 days,7.8%,Fall by 10.52%,19.4%,
Buy,2022-06-14 - 2022-06-17,3 days,2022-07-01,381.24,2022-07-27,401.04,18 days,5.2%,Rise by 12.71%,24.6%,
Sell,2022-07-29 - 2022-08-01,1 days,2022-08-05,413.47,2022-08-08,412.99,1 days,0.1%,Fall by 11.01%,24.7%,
Buy,2022-09-22 - 2022-09-30,6 days,2022-10-04,377.97,2022-11-23,402.42,36 days,6.5%,Rise by 7.86%,31.2%,
Sell,2022-10-26 - 2022-10-28,2 days,2022-11-03,371.01,2022-11-07,379.95,2 days,-2.4%,Fall by -1.52%,28.8%,
Sell,2022-11-14 - 2022-11-15,1 days,2022-11-28,395.91,2022-11-30,407.68,2 days,-3.0%,Fall by 4.86%,25.8%,
Sell,2022-11-25 - 2022-12-01,4 days,2022-12-06,393.83,2022-12-07,393.16,1 days,0.2%,Fall by 4.36%,26.0%,
Buy,2022-12-19 - 2022-12-22,3 days,2022-12-29,383.44,2023-01-26,404.75,20 days,5.6%,Rise by 8.69%,31.5%,
Sell,2023-01-13 - 2023-01-17,2 days,2023-01-25,400.35,2023-02-01,410.8,5 days,-2.6%,Fall by 3.74%,28.9%,
Buy,2023-02-23 - 2023-03-01,4 days,2023-03-03,404.19,2023-06-02,427.92,65 days,5.9%,Rise by 2.9%,34.8%,
Sell,2023-04-03 - 2023-04-04,1 days,2023-04-20,411.88,2023-05-16,410.25,18 days,0.4%,Fall by -5.93%,35.2%,
Sell,2023-06-14 - 2023-06-15,1 days,2023-06-21,434.94,2023-07-03,443.79,8 days,-2.0%,Fall by -0.31%,33.1%,
Sell,2023-07-19 - 2023-07-27,6 days,2023-08-02,450.13,2023-08-14,448.11,8 days,0.4%,Fall by 6.34%,33.6%,
Buy,2023-09-22 - 2023-10-03,7 days,2023-10-09,432.29,2023-12-12,464.1,46 days,7.4%,Rise by 10.27%,40.9%,
Sell,2023-11-20 - 2023-11-22,2 days,2023-12-05,456.6,2023-12-13,470.5,6 days,-3.0%,Fall by -2.34%,37.9%,
Sell,2023-12-13 - 2023-12-14,1 days,2024-01-02,472.65,2024-01-19,482.43,13 days,-2.1%,Fall by -4.76%,35.8%,
Sell,2024-01-29 - 2024-01-30,1 days,2024-02-06,493.98,2024-02-22,507.5,12 days,-2.7%,Fall by -0.24%,33.1%,
Sell,2024-02-09 - 2024-02-12,1 days,2024-02-21,497.21,2024-02-22,507.5,1 days,-2.1%,Fall by 0.41%,31.0%,
Sell,2024-03-04 - 2024-03-08,4 days,2024-03-14,514.95,2024-03-18,512.86,2 days,0.4%,Fall by 3.84%,31.4%,
Sell,2024-05-15 - 2024-05-23,6 days,2024-05-30,522.61,2024-06-05,534.67,4 days,-2.3%,Fall by 1.0%,29.1%,
Sell,2024-07-08 - 2024-07-16,6 days,2024-07-19,548.99,2024-07-26,544.44,5 days,0.8%,Fall by 1.57%,29.9%,
Buy,2024-07-26 - 2024-08-05,6 days,2024-08-07,518.66,2024-08-15,553.07,6 days,6.6%,Rise by 8.68%,36.6%,
Sell,2024-08-19 - 2024-08-22,3 days,2024-08-28,558.3,2024-09-09,546.41,8 days,2.1%,Fall by -1.7%,38.7%,
Sell,2024-10-11 - 2024-10-14,1 days,2024-10-21,583.63,2024-10-24,579.24,3 days,0.8%,Fall by 0.54%,39.5%,
Sell,2024-11-08 - 2024-11-11,1 days,2024-11-14,593.35,2024-11-18,588.15,2 days,0.9%,Fall by 2.17%,40.3%,
Sell,2024-12-04 - 2024-12-06,2 days,2024-12-13,604.21,2024-12-23,594.69,6 days,1.6%,Fall by 3.93%,41.9%,
Buy,2024-12-20 - 2025-01-02,9 days,2025-01-06,595.36,2025-04-04,505.28,64 days,-15.1%,Rise by 2.95%,26.8%,
Sell,2025-02-18 - 2025-02-19,1 days,2025-02-24,597.21,2025-02-26,594.54,2 days,0.4%,Fall by 7.67%,27.2%,
Buy,2025-02-27 - 2025-03-03,2 days,2025-03-05,583.06,2025-04-04,505.28,22 days,-13.3%,Rise by -13.34%,13.9%,
Sell,2025-04-29 - 2025-05-02,3 days,2025-05-21,582.86,2025-06-03,596.09,9 days,-2.3%,Fall by -6.67%,11.6%,
Sell,2025-06-10 - 2025-06-11,1 days,2025-06-18,597.44,2025-06-26,611.87,6 days,-2.4%,Fall by -4.06%,9.2%,
Sell,2025-07-25 - 2025-07-29,2 days,2025-08-21,635.55,2025-08-28,648.92,5 days,-2.1%,Fall by -2.75%,7.1%,
Sell,2025-08-14 - 2025-08-22,6 days,2025-09-02,640.27,2025-09-11,657.63,7 days,-2.7%,Fall by -1.99%,4.4%,
Sell,2025-09-15 - 2025-09-18,3 days,2025-09-25,658.05,2025-10-06,671.61,7 days,-2.1%,Fall by -3.65%,2.3%,
Sell,2025-10-08 - 2025-10-10,2 days,2025-10-17,664.39,2025-10-27,685.24,6 days,-3.1%,Fall by -2.66%,-0.8%,
