Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2019-12-23 - 2020-01-08,12 days,2020-01-13,2190.3501,2020-01-21,2171.05,6 days,0.9%,Fall by 5.08%,0.9%,
Buy,2020-01-31 - 2020-03-02,21 days,2020-03-04,2083.2,2020-03-12,1769.85,6 days,-15.0%,Rise by -19.85%,-14.2%,
Sell,2020-02-18 - 2020-02-19,1 days,2020-02-25,2156.1499,2020-02-26,2123.6001,1 days,1.5%,Fall by 16.23%,-12.7%,
Sell,2020-04-15 - 2020-04-17,2 days,2020-04-22,1769.5,2020-04-23,1878.25,1 days,-6.1%,Fall by -13.94%,-18.8%,
Sell,2020-06-04 - 2020-06-10,4 days,2020-06-23,2035.3,2020-06-26,2118.8501,3 days,-4.1%,Fall by -6.0%,-22.9%,
Sell,2020-07-06 - 2020-07-07,1 days,2020-07-14,2171.95,2020-07-15,2233.8999,1 days,-2.9%,Fall by -3.23%,-25.8%,
Sell,2020-07-07 - 2020-07-16,7 days,2020-07-23,2171.2,2020-07-28,2309.75,3 days,-6.4%,Fall by -3.27%,-32.1%,
Sell,2020-09-07 - 2020-09-08,1 days,2020-09-17,2460.95,2020-09-22,2522.95,3 days,-2.5%,Fall by -5.84%,-34.7%,
Sell,2020-09-15 - 2020-09-22,5 days,2020-09-25,2422.3,2020-09-29,2488.3999,2 days,-2.7%,Fall by -7.53%,-37.4%,
Sell,2020-10-07 - 2020-10-08,1 days,2020-10-15,2740.6001,2020-10-20,2739.0,3 days,0.1%,Fall by 4.96%,-37.3%,
Sell,2020-12-28 - 2020-12-29,1 days,2021-01-07,3032.8,2021-01-08,3120.8999,1 days,-2.9%,Fall by -2.59%,-40.2%,
Sell,2021-01-20 - 2021-01-25,3 days,2021-01-29,3111.3501,2021-02-02,3203.45,2 days,-3.0%,Fall by 6.98%,-43.2%,
Buy,2021-02-24 - 2021-02-26,2 days,2021-03-02,3006.3501,2021-03-30,3158.55,20 days,5.1%,Rise by 10.51%,-38.1%,
Sell,2021-04-08 - 2021-04-09,1 days,2021-04-23,3109.5,2021-05-04,3049.75,7 days,1.9%,Fall by -1.86%,-36.2%,
Sell,2021-06-14 - 2021-06-18,4 days,2021-06-29,3340.8501,2021-07-05,3321.0,4 days,0.6%,Fall by 5.19%,-35.6%,
Sell,2021-08-31 - 2021-09-02,2 days,2021-09-08,3774.1499,2021-09-14,3885.8999,4 days,-3.0%,Fall by 9.97%,-38.6%,
Sell,2021-09-06 - 2021-09-16,8 days,2021-09-28,3779.1499,2021-09-30,3775.55,2 days,0.1%,Fall by 10.09%,-38.5%,
Buy,2021-10-14 - 2021-10-22,6 days,2021-10-26,3482.6001,2021-12-27,3696.1001,44 days,6.1%,Rise by 2.12%,-32.3%,
Sell,2022-01-05 - 2022-01-10,3 days,2022-01-19,3914.6499,2022-01-28,3690.05,7 days,5.7%,Fall by 13.1%,-26.6%,
Sell,2022-03-24 - 2022-03-25,1 days,2022-04-07,3684.1499,2022-04-13,3661.95,4 days,0.6%,Fall by 11.46%,-26.0%,
Buy,2022-05-06 - 2022-05-09,1 days,2022-05-18,3448.8,2022-06-17,3088.8999,22 days,-10.4%,Rise by -10.44%,-36.4%,
Buy,2022-07-13 - 2022-07-15,2 days,2022-07-27,3188.8501,2022-08-04,3354.95,6 days,5.2%,Rise by 8.99%,-31.2%,
Sell,2022-08-01 - 2022-08-04,3 days,2022-08-16,3392.7,2022-08-19,3385.75,3 days,0.2%,Fall by 11.32%,-31.0%,
Buy,2022-09-23 - 2022-09-26,1 days,2022-10-11,3069.55,2022-11-01,3259.7,15 days,6.2%,Rise by 13.23%,-24.8%,
Sell,2022-11-01 - 2022-11-02,1 days,2022-11-22,3314.95,2022-11-23,3308.3,1 days,0.2%,Fall by 3.41%,-24.6%,
Sell,2022-11-28 - 2022-11-29,1 days,2022-12-05,3425.8999,2022-12-13,3332.1001,6 days,2.7%,Fall by 6.26%,-21.9%,
Sell,2023-02-10 - 2023-02-13,1 days,2023-02-20,3487.3,2023-02-23,3413.8,3 days,2.1%,Fall by 10.93%,-19.8%,
Buy,2023-03-15 - 2023-03-20,3 days,2023-03-24,3120.5,2023-05-09,3283.25,32 days,5.2%,Rise by 6.68%,-14.6%,
Buy,2023-03-28 - 2023-04-17,14 days,2023-04-28,3219.25,2023-12-12,3672.1001,162 days,14.1%,Rise by 3.41%,-0.5%,
Sell,2023-05-09 - 2023-05-11,2 days,2023-05-17,3208.7,2023-05-22,3298.7,3 days,-2.8%,Fall by 1.05%,-3.3%,
Sell,2023-05-26 - 2023-05-29,1 days,2023-06-05,3288.8999,2023-06-07,3274.8999,2 days,0.4%,Fall by -2.06%,-2.9%,
Buy,2023-06-12 - 2023-06-16,4 days,2023-06-20,3227.7,2023-07-14,3514.6499,18 days,8.9%,Rise by 8.89%,6.0%,
Sell,2023-07-06 - 2023-07-07,1 days,2023-07-12,3259.8999,2023-07-14,3514.6499,2 days,-7.8%,Fall by -2.97%,-1.8%,
Sell,2023-07-07 - 2023-07-17,6 days,2023-07-20,3463.3,2023-07-24,3394.75,2 days,2.0%,Fall by 3.08%,0.2%,
Buy,2023-08-29 - 2023-08-31,2 days,2023-09-04,3418.5,2023-09-15,3598.3,9 days,5.3%,Rise by 6.43%,5.4%,
Sell,2023-09-20 - 2023-09-22,2 days,2023-09-29,3528.6001,2023-10-06,3621.3999,5 days,-2.6%,Fall by 5.61%,2.8%,
Sell,2023-09-22 - 2023-10-09,11 days,2023-10-13,3570.8501,2023-10-27,3350.95,10 days,6.2%,Fall by 6.73%,9.0%,
Buy,2023-10-26 - 2023-11-01,4 days,2023-11-21,3510.2,2023-12-15,3861.0,18 days,10.0%,Rise by 9.99%,19.0%,
Sell,2023-12-07 - 2023-12-12,3 days,2023-12-27,3811.2,2023-12-28,3799.8999,1 days,0.3%,Fall by -0.78%,19.2%,
Sell,2023-12-18 - 2024-01-15,20 days,2024-01-24,3841.8,2024-01-29,3801.0,3 days,1.1%,Fall by 0.02%,20.3%,
Sell,2024-02-08 - 2024-02-09,1 days,2024-02-20,4030.6499,2024-03-12,4192.25,15 days,-4.0%,Fall by 4.71%,16.3%,
Sell,2024-03-15 - 2024-03-18,1 days,2024-03-21,3972.95,2024-03-26,3877.5,3 days,2.4%,Fall by 3.83%,18.7%,
