Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2019-12-18 - 2019-12-19,1 days,2019-12-31,43.77,2020-01-07,43.65,5 days,0.3%,Fall by 3.18%,0.3%,
Sell,2020-04-27 - 2020-04-29,2 days,2020-05-04,37.95,2020-05-08,37.78,4 days,0.4%,Fall by -40.42%,0.7%,
Sell,2020-06-05 - 2020-06-10,3 days,2020-06-24,45.56,2020-06-30,48.19,4 days,-5.8%,Fall by -16.97%,-5.1%,
Sell,2020-07-03 - 2020-07-06,1 days,2020-07-24,53.55,2020-07-28,55.28,2 days,-3.2%,Fall by 0.49%,-8.3%,
Sell,2020-08-10 - 2020-08-24,10 days,2020-08-28,58.89,2020-09-09,57.32,8 days,2.7%,Fall by 9.51%,-5.6%,
Sell,2020-10-07 - 2020-10-13,4 days,2020-10-28,62.29,2020-11-02,61.14,3 days,1.8%,Fall by -4.77%,-3.8%,
Buy,2020-12-22 - 2021-01-05,10 days,2021-01-18,65.91,2021-01-25,86.08,5 days,30.6%,Rise by 54.26%,26.8%,
Buy,2021-02-26 - 2021-03-01,1 days,2021-03-08,91.2,2021-04-01,96.3,18 days,5.6%,Rise by 5.59%,32.4%,
Sell,2021-05-03 - 2021-05-04,1 days,2021-05-12,106.85,2021-05-17,109.77,3 days,-2.7%,Fall by -1.8%,29.7%,
Sell,2021-05-28 - 2021-05-31,1 days,2021-06-07,108.77,2021-06-08,112.84,1 days,-3.7%,Fall by -26.2%,26.0%,
Sell,2021-06-29 - 2021-06-30,1 days,2021-07-06,113.33,2021-07-07,112.94,1 days,0.3%,Fall by -21.12%,26.3%,
Sell,2021-07-26 - 2021-07-27,1 days,2021-08-05,139.21,2021-08-18,138.95,9 days,0.2%,Fall by 9.58%,26.5%,
Buy,2021-09-27 - 2021-10-04,5 days,2021-10-06,128.81,2021-10-15,136.43,7 days,5.9%,Rise by 15.06%,32.4%,
Sell,2021-10-22 - 2021-10-25,1 days,2021-11-01,132.27,2021-11-03,137.06,2 days,-3.6%,Fall by 4.11%,28.8%,
Sell,2021-11-26 - 2021-11-29,1 days,2021-12-14,130.96,2021-12-15,134.44,1 days,-2.7%,Fall by 10.43%,26.1%,
Buy,2022-01-14 - 2022-01-18,2 days,2022-01-20,125.15,2022-02-08,132.16,13 days,5.6%,Rise by 11.39%,31.7%,
Sell,2022-03-22 - 2022-03-23,1 days,2022-03-28,133.62,2022-03-31,133.15,3 days,0.4%,Fall by 21.1%,32.1%,
Buy,2022-04-06 - 2022-04-14,6 days,2022-04-19,105.06,2022-07-12,112.79,60 days,7.4%,Rise by 1.93%,39.4%,
Sell,2022-08-08 - 2022-08-11,3 days,2022-08-18,133.81,2022-08-25,140.04,5 days,-4.7%,Fall by 7.64%,34.8%,
Sell,2022-10-06 - 2022-10-14,6 days,2022-10-20,124.99,2022-10-24,132.6,2 days,-6.1%,Fall by -10.4%,28.7%,
Sell,2022-11-22 - 2022-12-01,7 days,2022-12-06,137.99,2022-12-09,141.74,3 days,-2.7%,Fall by 2.34%,26.0%,
Sell,2022-12-01 - 2022-12-14,9 days,2022-12-19,139.98,2022-12-23,137.96,4 days,1.4%,Fall by -7.34%,27.4%,
Sell,2023-01-13 - 2023-01-18,3 days,2023-01-25,143.6,2023-01-30,143.48,3 days,0.1%,Fall by -4.63%,27.5%,
Sell,2023-02-16 - 2023-03-07,13 days,2023-03-13,162.0,2023-03-20,161.35,5 days,0.4%,Fall by 7.25%,27.9%,
Buy,2023-03-15 - 2023-03-17,2 days,2023-03-27,156.34,2023-04-26,139.1,22 days,-11.0%,Rise by 3.39%,16.9%,
Buy,2023-04-06 - 2023-04-28,16 days,2023-05-10,143.16,2023-07-26,169.57,55 days,18.4%,Rise by 6.78%,35.3%,
Sell,2023-05-30 - 2023-06-01,2 days,2023-06-06,147.48,2023-06-13,139.48,5 days,5.4%,Fall by -17.41%,40.7%,
