Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2020-04-16 - 2020-04-20,2 days,2020-04-24,43.1467,2020-05-04,41.2333,6 days,4.4%,Fall by 9.04%,4.4%,
Buy,2020-05-04 - 2020-05-08,4 days,2020-05-15,41.98,2020-07-21,44.11,47 days,5.1%,Rise by 5.34%,9.5%,
Sell,2020-08-17 - 2020-08-18,1 days,2020-08-25,43.5433,2020-08-27,45.5433,2 days,-4.6%,Fall by -3.57%,4.9%,
Sell,2020-09-01 - 2020-09-02,1 days,2020-09-08,46.15,2020-09-14,45.7733,4 days,0.8%,Fall by -0.22%,5.7%,
Sell,2020-11-16 - 2020-12-01,11 days,2020-12-04,49.6367,2020-12-09,49.4233,3 days,0.4%,Fall by 3.82%,6.2%,
Buy,2021-02-26 - 2021-03-04,4 days,2021-03-08,42.6267,2021-03-26,45.0433,14 days,5.7%,Rise by 11.14%,11.8%,
Sell,2021-03-29 - 2021-03-30,1 days,2021-04-14,46.44,2021-04-28,45.9633,10 days,1.0%,Fall by 2.43%,12.9%,
Sell,2021-04-20 - 2021-05-03,9 days,2021-05-12,45.3133,2021-05-14,46.5067,2 days,-2.6%,Fall by 0.57%,10.2%,
Buy,2021-04-28 - 2021-05-13,11 days,2021-05-17,46.2967,2022-04-06,51.6633,232 days,11.6%,Rise by 9.04%,21.8%,
Buy,2021-06-09 - 2021-06-18,7 days,2021-06-22,45.6767,2021-08-10,49.56,35 days,8.5%,Rise by 10.52%,30.3%,
Sell,2021-08-11 - 2021-08-18,5 days,2021-08-25,49.6533,2021-08-31,49.3667,4 days,0.6%,Fall by 8.88%,30.9%,
Buy,2021-09-30 - 2021-10-04,2 days,2021-10-14,46.6233,2021-10-22,49.4467,6 days,6.1%,Rise by 8.16%,37.0%,
Sell,2021-11-04 - 2021-11-05,1 days,2021-11-10,49.48,2021-11-19,47.4633,7 days,4.1%,Fall by 8.74%,41.0%,
Sell,2022-01-11 - 2022-01-14,3 days,2022-01-21,46.73,2022-01-27,45.28,4 days,3.1%,Fall by 4.75%,44.1%,
Buy,2022-01-28 - 2022-02-24,19 days,2022-03-10,47.5433,2022-05-18,40.81,49 days,-14.2%,Rise by 12.09%,30.0%,
Sell,2022-03-16 - 2022-03-21,3 days,2022-04-12,51.0767,2022-04-13,52.4067,1 days,-2.6%,Fall by 14.28%,27.4%,
Sell,2022-07-22 - 2022-08-01,6 days,2022-08-04,41.8567,2022-08-09,42.9567,3 days,-2.6%,Fall by -2.38%,24.7%,
Sell,2022-08-16 - 2022-08-17,1 days,2022-08-22,44.8567,2022-08-30,44.16,6 days,1.6%,Fall by 4.47%,26.3%,
Buy,2022-09-27 - 2022-10-03,4 days,2022-10-10,43.1067,2022-10-21,45.6,9 days,5.8%,Rise by 18.71%,32.1%,
Sell,2022-10-31 - 2022-11-02,2 days,2022-11-10,47.4533,2022-11-15,49.1467,3 days,-3.6%,Fall by 0.75%,28.5%,
Sell,2022-11-22 - 2022-11-28,4 days,2022-12-05,50.55,2022-12-12,49.34,5 days,2.4%,Fall by 6.83%,30.9%,
Buy,2022-12-19 - 2022-12-30,9 days,2023-01-05,47.7567,2023-06-14,52.29,114 days,9.5%,Rise by 2.83%,40.4%,
Sell,2023-01-10 - 2023-01-24,10 days,2023-02-03,47.2367,2023-02-08,46.74,3 days,1.1%,Fall by 3.34%,41.4%,
Sell,2023-02-15 - 2023-02-21,4 days,2023-02-24,47.49,2023-02-27,47.1467,1 days,0.7%,Fall by -2.52%,42.2%,
Sell,2023-04-10 - 2023-04-19,7 days,2023-05-16,49.9267,2023-05-26,48.8067,8 days,2.2%,Fall by -2.48%,44.4%,
Sell,2023-06-14 - 2023-06-15,1 days,2023-06-21,51.4867,2023-07-21,52.79,22 days,-2.5%,Fall by -0.8%,41.9%,
Sell,2023-07-26 - 2023-07-28,2 days,2023-08-02,53.0733,2023-08-18,52.6433,12 days,0.8%,Fall by 2.12%,42.7%,
Sell,2023-09-11 - 2023-09-13,2 days,2023-09-18,54.4733,2023-09-22,54.1167,4 days,0.7%,Fall by 4.64%,43.3%,
Sell,2023-11-02 - 2023-11-03,1 days,2023-11-09,54.64,2023-11-15,56.5933,4 days,-3.6%,Fall by 7.97%,39.8%,
Buy,2023-11-20 - 2023-12-01,9 days,2023-12-05,51.91,2024-02-06,56.6033,45 days,9.0%,Rise by 18.38%,48.8%,
Sell,2024-01-30 - 2024-02-02,3 days,2024-02-09,56.4267,2024-02-20,58.62,7 days,-3.9%,Fall by -4.84%,44.9%,
Sell,2024-03-13 - 2024-03-21,6 days,2024-03-26,60.51,2024-04-03,59.43,6 days,1.8%,Fall by 2.74%,46.7%,
Buy,2024-04-02 - 2024-05-02,22 days,2024-05-24,65.38,2024-09-13,80.6,80 days,23.3%,Rise by 8.64%,70.0%,
Sell,2024-05-21 - 2024-05-22,1 days,2024-05-29,64.92,2024-05-30,64.89,1 days,0.0%,Fall by -3.07%,70.0%,
Sell,2024-06-05 - 2024-06-07,2 days,2024-06-12,66.31,2024-06-20,68.01,6 days,-2.6%,Fall by -0.9%,67.5%,
Sell,2024-07-18 - 2024-07-19,1 days,2024-07-26,69.78,2024-07-29,69.62,1 days,0.2%,Fall by -30.84%,67.7%,
Sell,2024-08-30 - 2024-09-03,2 days,2024-09-06,76.64,2024-09-10,78.81,2 days,-2.8%,Fall by -17.43%,64.9%,
Sell,2024-09-13 - 2024-09-16,1 days,2024-09-19,78.04,2024-09-23,80.33,2 days,-2.9%,Fall by -15.33%,61.9%,
Sell,2024-09-16 - 2024-09-25,7 days,2024-10-03,80.43,2024-10-08,79.71,3 days,0.9%,Fall by -11.9%,62.8%,
Sell,2024-10-24 - 2024-11-05,8 days,2024-11-15,84.25,2024-11-19,86.6,2 days,-2.8%,Fall by -6.82%,60.0%,
Sell,2024-12-05 - 2024-12-06,1 days,2024-12-20,92.24,2025-01-03,90.78,10 days,1.6%,Fall by 8.39%,61.6%,
Sell,2025-02-12 - 2025-02-14,2 days,2025-02-21,94.78,2025-02-25,97.69,2 days,-3.1%,Fall by 10.11%,58.5%,
Sell,2025-05-01 - 2025-05-05,2 days,2025-05-22,95.93,2025-05-30,98.72,6 days,-2.9%,Fall by 1.75%,55.6%,
Buy,2025-05-14 - 2025-05-15,1 days,2025-05-27,97.58,2025-08-06,103.36,51 days,5.9%,Rise by 1.81%,61.6%,
Sell,2025-09-15 - 2025-09-17,2 days,2025-09-22,102.82,2025-09-24,102.73,2 days,0.1%,Fall by 1.6%,61.7%,
