Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2024-03-05 - 2024-03-11,4 days,2024-03-14,22146.6504,2024-03-15,22023.3496,1 days,0.6%,Fall by 0.68%,0.6%
Sell,2024-04-10 - 2024-04-30,14 days,2024-05-07,22302.5,2024-05-10,22055.1992,3 days,1.1%,Fall by 1.87%,1.7%
Sell,2024-06-18 - 2024-06-21,3 days,2024-07-08,24320.5508,2024-07-11,24315.9492,3 days,0.0%,Fall by 1.35%,1.7%
Sell,2024-07-18 - 2024-07-19,1 days,2024-07-24,24413.5,2024-07-26,24834.8496,2 days,-1.7%,Fall by 4.36%,-0.0%
Sell,2024-09-25 - 2024-09-27,2 days,2024-10-03,25250.0996,2024-10-08,25013.1504,3 days,0.9%,Fall by 7.53%,0.9%
Buy,2024-10-24 - 2024-11-04,7 days,2024-11-06,24484.0508,2024-11-06,24484.0508,0 days,0.0%,Rise by 1.16%,0.9%
Buy,2024-11-18 - 2024-11-21,3 days,2024-11-29,24131.0996,2025-06-26,25549.0,149 days,5.9%,Rise by -1.62%,6.8%
Buy,2024-12-23 - 2024-12-31,6 days,2025-01-02,24188.6504,2025-10-17,25709.8496,206 days,6.3%,Rise by -1.86%,13.1%
Buy,2025-01-13 - 2025-01-21,6 days,2025-01-23,23205.3496,2025-05-12,24924.6992,77 days,7.4%,Rise by 2.0%,20.5%
Buy,2025-01-28 - 2025-02-17,14 days,2025-02-19,22932.9004,2025-02-19,22932.9004,0 days,0.0%,Rise by 3.21%,20.5%
Sell,2025-03-20 - 2025-03-25,3 days,2025-04-02,23332.3496,2025-04-08,22535.8496,4 days,3.4%,Fall by -2.9%,23.9%
Sell,2025-04-22 - 2025-04-25,3 days,2025-05-06,24379.5996,2025-05-12,24924.6992,4 days,-2.2%,Fall by -0.67%,21.6%
Sell,2025-06-27 - 2025-06-30,1 days,2025-07-04,25461.0,2025-07-15,25195.8008,7 days,1.0%,Fall by 4.31%,22.7%
Buy,2025-07-29 - 2025-08-01,3 days,2025-08-14,24631.3008,2025-10-21,25868.5996,48 days,5.0%,Rise by 3.22%,27.7%
