Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2020-02-27 - 2020-02-28,1 days,2020-03-20,66.04,2020-03-23,61.59,1 days,6.7%,Fall by 29.29%,6.7%,
Sell,2020-03-25 - 2020-03-27,2 days,2020-04-03,46.8,2020-04-07,46.7,2 days,0.2%,Fall by 10.3%,7.0%,
Buy,2020-04-16 - 2020-04-17,1 days,2020-04-29,31.23,2020-04-30,34.15,1 days,9.3%,Rise by -10.37%,16.3%,
Buy,2020-05-11 - 2020-05-12,1 days,2020-05-22,28.16,2020-06-05,24.52,10 days,-12.9%,Rise by 44.85%,3.4%,
Buy,2020-06-04 - 2020-06-05,1 days,2020-06-22,31.77,2020-06-24,33.84,2 days,6.5%,Rise by -14.1%,9.9%,
Sell,2020-06-18 - 2020-06-24,4 days,2020-07-01,28.62,2020-07-07,29.43,4 days,-2.8%,Fall by 14.54%,7.1%,
Buy,2020-07-02 - 2020-07-06,2 days,2020-07-14,29.52,2020-07-17,25.68,3 days,-13.0%,Rise by -16.12%,-5.9%,
Buy,2020-07-29 - 2020-08-06,6 days,2020-08-12,22.28,2020-08-27,24.47,11 days,9.8%,Rise by 50.81%,3.9%,
Sell,2020-09-02 - 2020-09-04,2 days,2020-09-10,29.71,2020-09-17,26.46,5 days,10.9%,Fall by 11.85%,14.8%,
Sell,2020-09-17 - 2020-09-21,2 days,2020-09-28,26.19,2020-10-02,27.63,4 days,-5.5%,Fall by 10.46%,9.3%,
Sell,2020-10-28 - 2020-10-29,1 days,2020-11-03,35.55,2020-11-10,24.8,5 days,30.2%,Fall by 34.99%,39.6%,
Buy,2020-11-17 - 2020-11-18,1 days,2020-11-25,21.25,2020-12-10,22.52,11 days,6.0%,Rise by 26.92%,45.5%,
Sell,2020-12-14 - 2020-12-21,5 days,2020-12-24,21.53,2020-12-29,23.08,3 days,-7.2%,Fall by 0.98%,38.3%,
Buy,2021-02-08 - 2021-02-10,2 days,2021-02-22,23.45,2021-02-25,28.89,3 days,23.2%,Rise by -11.77%,61.5%,
Sell,2021-03-01 - 2021-03-04,3 days,2021-03-09,24.03,2021-03-19,20.95,8 days,12.8%,Fall by 17.56%,74.4%,
Buy,2021-03-17 - 2021-03-18,1 days,2021-03-24,21.2,2021-03-26,18.86,2 days,-11.0%,Rise by -20.24%,63.3%,
Buy,2021-04-09 - 2021-04-14,3 days,2021-04-26,17.64,2021-04-30,18.61,4 days,5.5%,Rise by 56.41%,68.8%,
Sell,2021-05-12 - 2021-05-13,1 days,2021-05-18,21.34,2021-05-19,22.18,1 days,-3.9%,Fall by 23.06%,64.9%,
Buy,2021-05-28 - 2021-06-08,7 days,2021-06-10,16.1,2021-06-16,18.15,4 days,12.7%,Rise by 39.75%,77.6%,
Buy,2021-06-14 - 2021-06-24,8 days,2021-06-30,15.83,2021-07-08,19.0,6 days,20.0%,Rise by 42.14%,97.6%,
Sell,2021-06-18 - 2021-06-21,1 days,2021-06-24,15.97,2021-06-25,15.62,1 days,2.2%,Fall by 3.26%,99.8%,
Buy,2021-10-21 - 2021-10-22,1 days,2021-11-05,16.48,2021-11-09,17.78,2 days,7.9%,Rise by 88.83%,107.7%,
Sell,2021-12-02 - 2021-12-03,1 days,2021-12-08,19.9,2021-12-09,21.58,1 days,-8.4%,Fall by 11.16%,99.3%,
Buy,2021-12-29 - 2021-12-30,1 days,2022-01-05,19.73,2022-01-12,17.62,5 days,-10.7%,Rise by 61.99%,88.6%,
Sell,2022-01-21 - 2022-01-24,1 days,2022-01-27,30.49,2022-02-03,24.35,5 days,20.1%,Fall by 15.71%,108.7%,
Sell,2022-02-23 - 2022-02-24,1 days,2022-03-03,30.48,2022-03-04,31.98,1 days,-4.9%,Fall by 22.8%,103.8%,
Buy,2022-03-28 - 2022-03-29,1 days,2022-04-05,21.03,2022-04-06,22.1,1 days,5.1%,Rise by 65.24%,108.9%,
Sell,2022-04-26 - 2022-05-02,4 days,2022-05-11,32.56,2022-05-12,31.77,1 days,2.4%,Fall by 21.01%,111.3%,
Sell,2022-06-14 - 2022-06-16,2 days,2022-06-24,27.23,2022-06-27,26.95,1 days,1.0%,Fall by 11.02%,112.3%,
Buy,2022-07-08 - 2022-07-19,7 days,2022-07-25,23.36,2022-08-10,19.74,12 days,-15.5%,Rise by -15.5%,96.8%,
Buy,2022-07-29 - 2022-08-05,5 days,2022-08-09,21.77,2022-08-12,19.53,3 days,-10.3%,Rise by 49.75%,86.6%,
Sell,2022-09-27 - 2022-09-28,1 days,2022-10-03,30.1,2022-10-07,31.36,4 days,-4.2%,Fall by 14.45%,82.4%,
Buy,2022-11-01 - 2022-11-04,3 days,2022-11-09,26.09,2022-11-11,22.52,2 days,-13.7%,Rise by -14.87%,68.7%,
Buy,2022-11-23 - 2022-12-02,7 days,2022-12-06,22.17,2022-12-12,25.0,4 days,12.8%,Rise by 3.29%,81.5%,
Sell,2022-12-20 - 2022-12-22,2 days,2023-01-05,22.46,2023-01-09,21.97,2 days,2.2%,Fall by 14.51%,83.6%,
Buy,2022-12-22 - 2023-01-03,8 days,2023-01-05,22.46,2023-01-12,18.83,5 days,-16.2%,Rise by -14.51%,67.5%,
Buy,2023-01-12 - 2023-01-19,5 days,2023-01-23,19.81,2023-02-21,22.87,21 days,15.4%,Rise by 15.45%,82.9%,
Buy,2023-01-18 - 2023-02-02,11 days,2023-02-06,19.43,2023-02-21,22.87,11 days,17.7%,Rise by 36.49%,100.6%,
Buy,2023-01-25 - 2023-01-31,4 days,2023-02-03,18.33,2023-02-06,19.43,1 days,6.0%,Rise by 44.68%,106.6%,
Buy,2023-02-07 - 2023-02-15,6 days,2023-02-17,20.02,2023-02-21,22.87,2 days,14.2%,Rise by 32.47%,120.9%,
Sell,2023-03-30 - 2023-04-05,4 days,2023-04-14,17.07,2023-04-21,16.77,5 days,1.8%,Fall by 14.47%,122.6%,
Buy,2023-04-17 - 2023-05-01,10 days,2023-05-03,18.34,2023-05-18,16.05,11 days,-12.5%,Rise by 9.21%,110.1%,
Sell,2023-04-27 - 2023-05-02,3 days,2023-05-08,16.98,2023-05-09,17.71,1 days,-4.3%,Fall by 14.02%,105.8%,
Buy,2023-05-10 - 2023-05-16,4 days,2023-05-22,17.21,2023-05-23,18.53,1 days,7.7%,Rise by -20.69%,113.5%,
Buy,2023-06-08 - 2023-06-09,1 days,2023-06-20,13.88,2023-07-06,15.44,12 days,11.2%,Rise by 28.89%,124.7%,
Buy,2023-06-21 - 2023-06-22,1 days,2023-07-03,13.57,2023-07-06,15.44,3 days,13.8%,Rise by 31.83%,138.5%,
Buy,2023-07-18 - 2023-07-19,1 days,2023-07-28,13.33,2023-08-02,16.09,3 days,20.7%,Rise by 34.21%,159.2%,
Sell,2023-08-04 - 2023-08-10,4 days,2023-08-22,16.97,2023-09-05,14.01,10 days,17.4%,Fall by 18.44%,176.7%,
Sell,2023-09-22 - 2023-09-27,3 days,2023-10-10,17.03,2023-10-13,19.32,3 days,-13.4%,Fall by 12.45%,163.2%,
Sell,2023-10-20 - 2023-10-23,1 days,2023-10-31,18.14,2023-11-10,14.17,8 days,21.9%,Fall by 21.06%,185.1%,
Buy,2023-11-06 - 2023-11-09,3 days,2023-11-15,14.18,2023-11-24,12.46,7 days,-12.1%,Rise by -12.91%,173.0%,
Buy,2023-11-24 - 2023-12-08,10 days,2023-12-13,12.19,2023-12-20,13.67,5 days,12.1%,Rise by 21.33%,185.1%,
Sell,2023-12-22 - 2024-01-02,7 days,2024-01-09,12.76,2024-01-12,12.7,3 days,0.5%,Fall by -2.74%,185.6%,
Sell,2024-01-05 - 2024-01-17,8 days,2024-01-22,13.19,2024-01-29,13.6,5 days,-3.1%,Fall by 0.61%,182.5%,
