Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2004-01-18,0.2167,2004-02-15,0.2708,Buy,19 Days,56.18,Rise by 24.97%,24.97%,24.97%
2004-03-28,0.2167,2004-04-18,0.2708,Sell,14 Days,-11.11,Fall by 0.0%,-24.97%,0.0%
2004-05-16,0.2708,2004-05-30,0.2167,Sell,9 Days,-10.53,Fall by 0.0%,19.98%,19.98%
2005-03-27,0.1517,2005-04-03,0.1192,Sell,4 Days,-18.71,Fall by 28.61%,21.42%,41.4%
2005-05-29,0.0867,2005-07-10,0.1192,Buy,29 Days,20.72,Rise by 37.49%,37.49%,78.89%
2005-08-21,0.0867,2005-10-09,0.08,Sell,34 Days,-11.11,Fall by 30.8%,7.73%,86.62%
2006-01-08,0.1,2006-01-15,0.08,Sell,4 Days,-10.87,Fall by 20.0%,20.0%,106.62%
2006-04-23,0.08,2006-04-30,0.1,Sell,4 Days,-7.1,Fall by 25.0%,-25.0%,81.62%
2008-03-30,0.13,2008-06-08,0.16,Buy,49 Days,8.0,Rise by 23.08%,23.08%,104.69%
2009-03-22,0.06,2009-03-29,0.09,Buy,4 Days,6.79,Rise by 133.33%,50.0%,154.69%
2011-03-20,0.13,2011-04-10,0.145,Sell,14 Days,-11.63,Fall by -7.69%,-11.54%,143.15%
2012-04-15,0.51,2012-04-22,0.48,Sell,4 Days,-13.42,Fall by 13.73%,5.88%,149.04%
2013-05-12,0.72,2013-06-23,0.61,Buy,29 Days,13.36,Rise by -11.11%,-15.28%,133.76%
2013-08-25,0.72,2013-10-06,0.68,Sell,29 Days,-13.9,Fall by 6.94%,5.56%,139.31%
2015-08-02,0.82,2015-08-23,0.73,Sell,14 Days,-19.6,Fall by 17.07%,10.98%,150.29%
2016-01-17,1.76,2016-01-31,1.87,Sell,9 Days,-27.63,Fall by 1.7%,-6.25%,144.04%
2016-11-20,2.14,2017-03-19,2.68,Buy,84 Days,20.08,Rise by 18.69%,25.23%,169.27%
2018-04-15,12.2,2018-05-06,13.02,Sell,14 Days,-16.67,Fall by 10.33%,-6.72%,162.55%
2021-01-24,10.9,2021-03-21,9.19,Buy,39 Days,8.07,Rise by -11.1%,-15.69%,146.86%
2021-10-03,6.6,2021-10-10,6.31,Sell,4 Days,-12.57,Fall by 5.76%,4.39%,151.26%
2023-06-11,5.74,2023-09-10,4.69,Buy,64 Days,20.25,Rise by -12.2%,-18.29%,132.96%
2025-01-19,6.5,2025-02-23,8.51,Sell,24 Days,-15.14,Fall by -31.38%,-30.92%,102.04%
2025-07-06,8.77,2025-08-31,10.7,Buy,39 Days,11.9,Rise by 22.01%,22.01%,124.05%
