Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2013-01-13,7.1317,2013-12-15,5.68,Buy,239 Days,19.53,Rise by 4.32%,-20.36%,-20.36%,
2013-04-14,7.44,2013-04-21,7.07,Sell,4 Days,-35.17,Fall by 3.63%,4.97%,-15.38%,
2013-05-12,7.9,2013-11-17,6.57,Buy,134 Days,13.36,Rise by -5.06%,-16.84%,-32.22%,
2013-08-25,6.88,2013-11-17,6.57,Sell,59 Days,-13.9,Fall by 17.44%,4.51%,-27.71%,
2015-08-02,4.68,2015-08-23,4.99,Sell,14 Days,-19.6,Fall by -14.1%,-6.62%,-34.34%,
2016-01-17,5.92,2016-02-14,5.5,Sell,19 Days,-27.63,Fall by 8.95%,7.09%,-27.24%,
2016-11-20,5.89,2018-06-17,5.0,Buy,409 Days,20.08,Rise by 6.28%,-15.11%,-42.35%,
2018-04-15,5.75,2018-05-27,5.33,Sell,29 Days,-16.67,Fall by 10.43%,7.3%,-35.05%,
2021-01-24,4.49,2021-06-20,3.63,Buy,104 Days,8.07,Rise by 14.48%,-19.15%,-54.2%,
2021-10-03,4.0,2021-11-14,3.87,Sell,29 Days,-12.57,Fall by 11.25%,3.25%,-50.95%,
2023-06-11,3.54,2023-10-08,3.0,Buy,84 Days,20.25,Rise by 9.04%,-15.25%,-66.21%,
2025-01-19,4.83,2025-02-23,5.35,Sell,24 Days,-15.14,Fall by -45.96%,-10.77%,-76.97%,
2025-07-06,6.65,2025-10-05,8.15,Buy,64 Days,11.9,Rise by 10.83%,22.56%,-54.42%,
