Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2000-11-19,88.0625,2000-12-31,106.9375,Buy,29 Days,29.16,Rise by 30.23%,21.43%,21.43%,
2000-12-24,98.8125,2000-12-31,106.9375,Sell,4 Days,-20.0,Fall by 11.95%,-8.22%,13.21%,
2001-03-25,89.81,2001-04-01,85.1,Sell,4 Days,-19.44,Fall by 7.64%,5.24%,18.46%,
2001-09-23,67.69,2001-10-07,76.25,Sell,9 Days,-13.51,Fall by -16.71%,-12.65%,5.81%,
2001-11-11,86.86,2001-12-23,92.31,Sell,29 Days,-7.69,Fall by 9.05%,-6.27%,-0.46%,
2002-05-12,76.75,2002-06-09,73.95,Sell,19 Days,-10.53,Fall by 8.08%,3.65%,3.18%,
2003-01-12,74.92,2003-01-19,72.58,Sell,4 Days,-4.76,Fall by 10.97%,3.12%,6.31%,
2004-03-28,103.75,2004-04-25,100.41,Sell,19 Days,-11.11,Fall by 10.32%,3.22%,9.53%,
2004-05-16,94.01,2004-06-20,89.18,Sell,24 Days,-10.53,Fall by 5.14%,5.14%,14.66%,
2005-03-27,108.4,2005-04-24,104.19,Sell,19 Days,-18.71,Fall by 11.9%,3.88%,18.55%,
2005-05-29,95.5,2005-09-11,116.17,Buy,74 Days,20.72,Rise by 19.01%,21.64%,40.19%,
2005-08-21,111.27,2005-09-18,118.4,Sell,19 Days,-11.11,Fall by -2.95%,-6.41%,33.78%,
2006-01-08,128.84,2006-01-29,138.94,Sell,14 Days,-10.87,Fall by -15.97%,-7.84%,25.94%,
2006-04-23,165.89,2006-04-30,160.29,Sell,4 Days,-7.1,Fall by 13.2%,3.38%,29.32%,
2008-03-30,164.45,2008-05-04,200.27,Buy,24 Days,8.0,Rise by 21.78%,21.78%,51.1%,
2009-03-22,97.32,2009-04-05,119.4,Buy,9 Days,6.79,Rise by 43.43%,22.69%,73.79%,
2011-03-20,159.96,2011-04-17,155.13,Sell,19 Days,-11.63,Fall by 11.57%,3.02%,76.81%,
2012-04-15,115.09,2012-05-06,108.99,Sell,14 Days,-13.42,Fall by 17.03%,5.3%,82.11%,
2013-05-12,149.1,2014-08-31,179.11,Buy,339 Days,13.36,Rise by 12.42%,20.13%,102.24%,
2013-08-25,158.65,2013-09-01,152.13,Sell,4 Days,-13.9,Fall by -2.07%,4.11%,106.35%,
2015-08-02,205.07,2015-08-23,187.74,Sell,14 Days,-19.6,Fall by 12.04%,8.45%,114.8%,
2016-01-17,155.61,2016-02-14,146.13,Sell,19 Days,-27.63,Fall by 3.43%,6.09%,120.89%,
2016-11-20,210.35,2017-03-05,252.89,Buy,74 Days,20.08,Rise by 16.43%,20.22%,141.11%,
2018-04-15,255.92,2018-04-29,239.8,Sell,9 Days,-16.67,Fall by 10.77%,6.3%,147.41%,
2021-01-24,289.39,2021-03-14,348.81,Buy,34 Days,8.07,Rise by 20.53%,20.53%,167.94%,
2021-10-03,380.0,2021-10-17,406.07,Sell,9 Days,-12.57,Fall by -0.47%,-6.86%,161.08%,
2023-06-11,336.02,2024-03-24,406.82,Buy,204 Days,20.25,Rise by 5.12%,21.07%,182.15%,
2025-01-19,625.94,2025-03-09,559.67,Sell,34 Days,-15.14,Fall by 10.59%,10.59%,192.74%,
2025-07-06,723.68,2025-07-06,723.68,Buy,0 Days,11.9,Rise by 0%,0.0%,192.74%,
