Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2007-04-22,104.47,2008-09-28,86.2,Buy,374 Days,17.35,Rise by 1.52%,-17.49%,-17.49%
2007-05-06,105.43,2007-07-01,101.81,Sell,39 Days,-25.72,Fall by 8.93%,3.43%,-14.05%
2008-03-30,96.24,2008-10-12,68.14,Buy,139 Days,8.0,Rise by 3.7%,-29.2%,-43.25%
2009-03-22,67.77,2009-07-26,81.9,Buy,89 Days,6.79,Rise by 17.66%,20.85%,-22.4%
2011-03-20,91.18,2011-08-07,86.86,Sell,99 Days,-11.63,Fall by 2.56%,4.74%,-17.66%
2012-04-15,89.85,2012-06-03,86.47,Sell,34 Days,-13.42,Fall by 3.76%,3.76%,-13.9%
2013-05-12,95.51,2015-12-13,79.52,Buy,674 Days,13.36,Rise by -1.69%,-16.74%,-30.64%
2013-08-25,91.3,2014-12-14,87.25,Sell,339 Days,-13.9,Fall by -1.58%,4.44%,-26.21%
2015-08-02,87.97,2015-09-27,84.07,Sell,39 Days,-19.6,Fall by 6.29%,4.43%,-21.78%
2016-01-17,77.91,2016-04-24,83.4,Sell,69 Days,-27.63,Fall by -9.79%,-7.05%,-28.82%
2016-11-20,84.63,2020-03-22,69.75,Buy,869 Days,20.08,Rise by 3.52%,-17.58%,-46.4%
2018-04-15,86.29,2018-11-18,83.27,Sell,154 Days,-16.67,Fall by 1.27%,3.5%,-42.9%
2021-01-24,87.3,2022-06-19,74.05,Buy,364 Days,8.07,Rise by 0.16%,-15.18%,-58.08%
2021-10-03,87.41,2022-01-30,84.68,Sell,84 Days,-12.57,Fall by 2.22%,3.12%,-54.96%
2023-06-11,74.72,2023-06-11,74.72,Buy,0 Days,20.25,Rise by 0%,0.0%,-54.96%
2025-01-19,79.46,2025-04-06,76.76,Sell,54 Days,-15.14,Fall by 3.42%,3.4%,-51.56%
2025-07-06,80.37,2025-07-06,80.37,Buy,0 Days,11.9,Rise by 0%,0.0%,-51.56%
