Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2014-06-15,27.79,2014-11-30,23.52,Buy,119 Days,23.44,Rise by 4.46%,-15.37%,-15.37%
2015-08-02,33.03,2015-08-16,28.12,Sell,9 Days,-19.6,Fall by 30.94%,14.87%,-0.5%
2016-01-17,26.99,2016-01-31,26.03,Sell,9 Days,-27.63,Fall by 16.12%,3.56%,3.06%
2016-11-20,26.45,2017-04-09,32.01,Buy,99 Days,20.08,Rise by 19.32%,21.02%,24.08%
2018-04-15,39.8,2018-04-22,37.44,Sell,4 Days,-16.67,Fall by 10.28%,5.93%,30.01%
2021-01-24,94.91,2021-04-11,80.41,Buy,54 Days,8.07,Rise by -11.47%,-15.28%,14.73%
2021-10-03,70.02,2021-10-10,78.61,Sell,4 Days,-12.57,Fall by 2.54%,-12.27%,2.46%
2023-06-11,36.58,2023-09-24,30.41,Buy,74 Days,20.25,Rise by 10.8%,-16.87%,-14.41%
2025-01-19,39.0,2025-02-16,41.38,Sell,19 Days,-15.14,Fall by 10.97%,-6.1%,-20.51%
2025-07-06,32.07,2025-07-06,32.07,Buy,0 Days,11.9,Rise by 0%,0.0%,-20.51%
