Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2000-11-19,39.625,2001-01-07,48.9375,Buy,34 Days,29.16,Rise by 37.89%,23.5%,23.5%,
2000-12-24,45.625,2001-01-07,48.9375,Sell,9 Days,-20.0,Fall by 11.47%,-7.26%,16.24%,
2001-03-25,41.71,2001-04-01,44.9,Sell,4 Days,-19.44,Fall by -5.97%,-7.65%,8.59%,
2001-09-23,30.82,2001-09-30,34.15,Sell,4 Days,-13.51,Fall by -16.0%,-10.8%,-2.21%,
2001-11-11,39.05,2001-12-02,37.72,Sell,14 Days,-7.69,Fall by 8.45%,3.41%,1.19%,
2002-05-12,35.08,2002-05-19,38.1,Sell,4 Days,-10.53,Fall by 13.88%,-8.61%,-7.41%,
2003-01-12,27.09,2003-01-19,26.19,Sell,4 Days,-4.76,Fall by 19.34%,3.32%,-4.09%,
2004-03-28,41.25,2004-04-18,39.26,Sell,14 Days,-11.11,Fall by 11.56%,4.82%,0.73%,
2004-05-16,35.66,2004-06-13,37.8,Sell,19 Days,-10.53,Fall by -0.59%,-6.0%,-5.27%,
2005-03-27,34.93,2005-08-28,33.65,Sell,109 Days,-18.71,Fall by 0.34%,3.66%,-1.6%,
2005-05-29,35.8,2006-04-30,45.38,Buy,239 Days,20.72,Rise by -2.26%,26.76%,25.16%,
2005-08-21,34.54,2005-11-06,37.31,Sell,54 Days,-11.11,Fall by 1.85%,-8.02%,17.14%,
2006-01-08,40.02,2006-01-22,38.05,Sell,9 Days,-10.87,Fall by -0.35%,4.92%,22.06%,
2006-04-23,42.5,2006-04-30,45.38,Sell,4 Days,-7.1,Fall by 5.51%,-6.78%,15.28%,
2008-03-30,42.71,2008-06-29,35.05,Buy,64 Days,8.0,Rise by 13.93%,-17.93%,-2.65%,
2009-03-22,23.15,2009-04-05,29.28,Buy,9 Days,6.79,Rise by 68.21%,26.48%,23.83%,
2011-03-20,45.74,2011-05-15,43.15,Sell,39 Days,-11.63,Fall by 2.32%,5.66%,29.49%,
2012-04-15,43.21,2012-05-06,41.75,Sell,14 Days,-13.42,Fall by 22.49%,3.38%,32.87%,
2013-05-12,48.96,2014-03-09,59.4,Buy,214 Days,13.36,Rise by 15.38%,21.32%,54.19%,
2013-08-25,52.32,2013-09-01,50.53,Sell,4 Days,-13.9,Fall by -5.29%,3.42%,57.61%,
2015-08-02,68.53,2015-08-23,63.6,Sell,14 Days,-19.6,Fall by 10.26%,7.19%,64.81%,
2016-01-17,57.04,2016-03-20,60.48,Sell,44 Days,-27.63,Fall by -1.23%,-6.03%,58.78%,
2016-11-20,77.71,2017-07-09,93.85,Buy,164 Days,20.08,Rise by 12.02%,20.77%,79.54%,
2018-04-15,110.3,2018-06-24,105.75,Sell,49 Days,-16.67,Fall by 5.66%,4.13%,83.67%,
2021-01-24,133.79,2021-05-09,161.24,Buy,74 Days,8.07,Rise by 16.71%,20.52%,104.19%,
2021-10-03,167.13,2021-11-21,160.92,Sell,34 Days,-12.57,Fall by 6.2%,3.72%,107.9%,
2023-06-11,141.01,2023-12-31,170.1,Buy,144 Days,20.25,Rise by 11.28%,20.63%,128.53%,
2025-01-19,259.16,2025-02-09,275.8,Sell,14 Days,-15.14,Fall by 10.31%,-6.42%,122.11%,
2025-07-06,296.0,2025-07-06,296.0,Buy,0 Days,11.9,Rise by 0%,0.0%,122.11%,
