Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2013-05-26,2.375,2013-12-08,1.9135,Buy,139 Days,27.4,Rise by -10.12%,-19.43%,-19.43%
2013-08-25,2.0962,2013-12-01,2.0192,Sell,69 Days,-13.9,Fall by 0.46%,3.67%,-15.76%
2015-08-02,2.76,2015-08-09,2.66,Sell,4 Days,-19.6,Fall by 12.32%,3.62%,-12.14%
2016-01-17,2.83,2016-01-24,2.62,Sell,4 Days,-27.63,Fall by 7.77%,7.42%,-4.71%
2016-11-20,3.035,2019-02-10,3.65,Buy,579 Days,20.08,Rise by 0.82%,20.26%,15.55%
2018-04-15,3.26,2018-04-22,3.13,Sell,4 Days,-16.67,Fall by -1.38%,3.99%,19.54%
2021-01-24,7.3,2021-02-28,6.05,Buy,24 Days,8.07,Rise by -17.12%,-17.12%,2.41%
2021-10-03,6.51,2021-10-17,6.2,Sell,9 Days,-12.57,Fall by 11.21%,4.76%,7.18%
2023-06-11,6.22,2023-06-11,6.22,Buy,0 Days,20.25,Rise by 0%,0.0%,7.18%
2025-01-19,6.0,2025-02-16,6.425,Sell,19 Days,-15.14,Fall by 7.33%,-7.08%,0.09%
2025-07-06,6.12,2025-07-06,6.12,Buy,0 Days,11.9,Rise by 0%,0.0%,0.09%
