Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2008-01-13,42.5,2008-01-20,40.78,Sell,4 Days,-39.25,Fall by 10.28%,4.05%,4.05%
2008-03-30,36.66,2008-10-12,27.59,Buy,139 Days,8.0,Rise by 6.93%,-24.74%,-20.69%
2009-03-22,20.61,2009-05-10,25.26,Buy,34 Days,6.79,Rise by 22.56%,22.56%,1.87%
2011-03-20,28.16,2011-04-03,29.855,Sell,9 Days,-11.63,Fall by 15.8%,-6.02%,-4.15%
2012-04-15,23.025,2012-05-20,21.945,Sell,24 Days,-13.42,Fall by 7.45%,4.69%,0.54%
2013-05-12,28.38,2015-02-15,34.37,Buy,459 Days,13.36,Rise by 0.53%,21.11%,21.65%
2013-08-25,28.275,2013-09-01,27.23,Sell,4 Days,-13.9,Fall by -3.22%,3.7%,25.34%
2015-08-02,35.525,2015-08-23,32.035,Sell,14 Days,-19.6,Fall by 11.67%,9.82%,35.17%
2016-01-17,29.105,2016-02-14,27.19,Sell,19 Days,-27.63,Fall by 1.15%,6.58%,41.75%
2016-11-20,29.69,2017-05-07,36.19,Buy,119 Days,20.08,Rise by 9.48%,21.89%,63.64%
2018-04-15,33.73,2018-09-09,32.025,Sell,104 Days,-16.67,Fall by -1.99%,5.05%,68.69%
2021-01-24,34.94,2021-10-31,42.11,Buy,199 Days,8.07,Rise by 12.36%,20.52%,89.21%
2021-10-03,39.935,2021-11-07,43.245,Sell,24 Days,-12.57,Fall by -1.35%,-8.29%,80.93%
2023-06-11,44.895,2024-05-12,54.39,Buy,239 Days,20.25,Rise by 4.4%,21.15%,102.07%
2025-01-19,55.85,2025-02-16,59.72,Sell,19 Days,-15.14,Fall by 6.66%,-6.93%,95.15%
2025-07-06,58.64,2025-07-06,58.64,Buy,0 Days,11.9,Rise by 0%,0.0%,95.15%
