Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2000-11-19,5.2109,2000-12-24,6.3984,Buy,24 Days,29.16,Rise by 35.38%,22.79%,22.79%
2000-12-24,6.3984,2000-12-31,6.9766,Sell,4 Days,-20.0,Fall by 26.58%,-9.04%,13.75%
2001-03-25,5.0375,2001-04-15,4.6825,Sell,14 Days,-19.44,Fall by -8.39%,7.05%,20.8%
2001-09-23,5.46,2001-09-30,5.8513,Sell,4 Days,-13.51,Fall by -33.24%,-7.17%,13.63%
2001-11-11,6.1937,2001-11-18,6.6188,Sell,4 Days,-7.69,Fall by -17.46%,-6.86%,6.77%
2002-05-12,6.6125,2002-06-09,6.2675,Sell,19 Days,-10.53,Fall by 5.95%,5.22%,11.99%
2003-01-12,5.9412,2003-01-19,5.6312,Sell,4 Days,-4.76,Fall by -9.07%,5.22%,17.2%
2004-03-28,9.5312,2004-05-02,8.9937,Sell,24 Days,-11.11,Fall by 12.7%,5.64%,22.84%
2004-05-16,8.4613,2004-06-27,9.4137,Sell,29 Days,-10.53,Fall by -2.39%,-11.26%,11.59%
2005-03-27,10.4525,2005-04-17,9.4825,Sell,14 Days,-18.71,Fall by 7.89%,9.28%,20.87%
2005-05-29,10.3038,2006-12-24,12.4925,Buy,409 Days,20.72,Rise by 6.51%,21.24%,42.11%
2005-08-21,10.0425,2005-09-04,9.6275,Sell,9 Days,-11.11,Fall by -6.92%,4.13%,46.24%
2006-01-08,10.725,2006-01-29,10.3938,Sell,14 Days,-10.87,Fall by 8.28%,3.09%,49.33%
2006-04-23,10.3775,2006-05-21,9.8375,Sell,19 Days,-7.1,Fall by 5.35%,5.2%,54.53%
2008-03-30,16.465,2008-10-12,13.6325,Buy,139 Days,8.0,Rise by 4.75%,-17.2%,37.33%
2009-03-22,11.255,2009-04-19,13.6525,Buy,19 Days,6.79,Rise by 21.57%,21.3%,58.63%
2011-03-20,19.3975,2011-05-01,20.58,Sell,29 Days,-11.63,Fall by -2.67%,-6.1%,52.54%
2012-04-15,27.2925,2012-05-20,26.36,Sell,24 Days,-13.42,Fall by 19.59%,3.42%,55.95%
2013-05-12,32.38,2013-11-17,39.61,Buy,134 Days,13.36,Rise by -1.67%,22.33%,78.28%
2013-08-25,32.105,2013-09-22,34.685,Sell,19 Days,-13.9,Fall by -18.98%,-8.04%,70.25%
2015-08-02,57.61,2015-08-23,53.435,Sell,14 Days,-19.6,Fall by -5.76%,7.25%,77.49%
2016-01-17,57.56,2016-01-31,62.01,Sell,9 Days,-27.63,Fall by -3.23%,-7.73%,69.76%
2016-11-20,51.1,2017-12-17,64.79,Buy,279 Days,20.08,Rise by 5.5%,26.79%,96.55%
2018-04-15,67.25,2018-05-20,71.32,Sell,24 Days,-16.67,Fall by -13.87%,-6.05%,90.5%
2021-01-24,139.35,2021-08-01,167.51,Buy,134 Days,8.07,Rise by -1.11%,20.21%,110.71%
2021-10-03,147.06,2021-10-17,158.01,Sell,9 Days,-12.57,Fall by -9.72%,-7.45%,103.26%
2023-06-11,105.86,2024-04-07,88.84,Buy,214 Days,20.25,Rise by -14.18%,-16.08%,87.18%
2025-01-19,70.84,2025-02-02,76.9,Sell,9 Days,-15.14,Fall by 10.66%,-8.55%,78.63%
2025-07-06,76.39,2025-11-02,64.59,Buy,84 Days,11.9,Rise by 2.61%,-15.45%,63.18%
