Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2011-11-13,1.39,2012-04-29,1.68,Buy,119 Days,20.17,Rise by 4.32%,20.86%,20.86%
2012-04-15,1.59,2012-05-06,1.69,Sell,14 Days,-13.42,Fall by -3.77%,-6.29%,14.57%
2013-05-12,3.05,2015-06-21,3.66,Buy,549 Days,13.36,Rise by 1.31%,20.0%,34.57%
2013-08-25,3.07,2013-09-08,2.97,Sell,9 Days,-13.9,Fall by -3.58%,3.26%,37.83%
2015-08-02,4.18,2015-08-16,4.01,Sell,9 Days,-19.6,Fall by 10.53%,4.07%,41.9%
2016-01-17,3.95,2016-03-13,4.28,Sell,39 Days,-27.63,Fall by -7.59%,-8.35%,33.54%
2016-11-20,4.9,2018-02-25,6.06,Buy,329 Days,20.08,Rise by -0.2%,23.67%,57.22%
2018-04-15,7.05,2018-04-29,6.82,Sell,9 Days,-16.67,Fall by -6.38%,3.26%,60.48%
2021-01-24,12.4,2021-08-29,15.34,Buy,154 Days,8.07,Rise by 5.08%,23.71%,84.19%
2021-10-03,15.15,2021-10-24,14.66,Sell,14 Days,-12.57,Fall by 13.0%,3.23%,87.42%
2023-06-11,8.99,2024-01-14,11.18,Buy,154 Days,20.25,Rise by 16.24%,24.36%,111.78%
2025-01-19,13.19,2025-03-02,12.34,Sell,29 Days,-15.14,Fall by 11.45%,6.44%,118.23%
2025-07-06,11.5,2025-07-06,11.5,Buy,0 Days,11.9,Rise by 0%,0.0%,118.23%
