Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2000-11-19,13.1125,2001-04-08,10.9125,Buy,99 Days,29.16,Rise by 4.67%,-16.78%,-16.78%
2000-12-24,13.0875,2001-02-18,12.175,Sell,39 Days,-20.0,Fall by 10.51%,6.97%,-9.81%
2001-03-25,11.225,2001-05-20,11.975,Sell,39 Days,-19.44,Fall by 2.9%,-6.68%,-16.49%
2001-09-23,9.475,2001-10-14,10.1625,Sell,14 Days,-13.51,Fall by -12.01%,-7.26%,-23.74%
2001-11-11,10.5625,2002-01-06,11.3,Sell,39 Days,-7.69,Fall by -0.47%,-6.98%,-30.73%
2002-05-12,10.775,2002-06-16,10.225,Sell,24 Days,-10.53,Fall by 6.84%,5.1%,-25.62%
2003-01-12,9.685,2003-02-02,9.3,Sell,14 Days,-4.76,Fall by 6.43%,3.98%,-21.65%
2004-03-28,11.8,2004-05-02,11.4,Sell,24 Days,-11.11,Fall by 3.39%,3.39%,-18.26%
2004-05-16,11.4025,2004-10-03,12.2125,Sell,99 Days,-10.53,Fall by -1.51%,-7.1%,-25.36%
2005-03-27,13.2525,2005-06-26,14.1225,Sell,64 Days,-18.71,Fall by -11.96%,-6.56%,-31.92%
2005-05-29,13.5275,2006-01-08,16.4225,Buy,159 Days,20.72,Rise by 11.4%,21.4%,-10.52%
2005-08-21,14.835,2005-12-11,15.775,Sell,79 Days,-11.11,Fall by 1.92%,-6.34%,-16.86%
2006-01-08,16.4225,2006-04-23,17.535,Sell,74 Days,-10.87,Fall by 0.35%,-6.77%,-23.63%
2006-04-23,17.535,2006-05-14,16.9875,Sell,14 Days,-7.1,Fall by 9.42%,3.12%,-20.51%
2008-03-30,19.495,2008-10-05,16.29,Buy,134 Days,8.0,Rise by 15.35%,-16.44%,-36.95%
2009-03-22,13.11,2009-05-31,16.03,Buy,49 Days,6.79,Rise by 19.3%,22.27%,-14.68%
2011-03-20,20.07,2011-05-15,19.18,Sell,39 Days,-11.63,Fall by 4.43%,4.43%,-10.24%
2012-04-15,17.19,2012-05-20,16.12,Sell,24 Days,-13.42,Fall by 6.22%,6.22%,-4.02%
2013-05-12,18.13,2014-07-06,21.91,Buy,299 Days,13.36,Rise by 0.99%,20.85%,16.83%
2013-08-25,18.45,2013-11-24,19.58,Sell,64 Days,-13.9,Fall by -2.82%,-6.12%,10.7%
2015-08-02,21.5,2015-08-23,20.04,Sell,14 Days,-19.6,Fall by 6.88%,6.79%,17.5%
2016-01-17,17.85,2016-02-07,18.96,Sell,14 Days,-27.63,Fall by -13.78%,-6.22%,11.28%
2016-11-20,22.15,2020-02-16,26.91,Buy,844 Days,20.08,Rise by 6.37%,21.49%,32.77%
2018-04-15,22.65,2018-05-20,24.16,Sell,24 Days,-16.67,Fall by -5.21%,-6.67%,26.1%
2021-01-24,26.75,2021-10-24,32.23,Buy,194 Days,8.07,Rise by 9.08%,20.49%,46.59%
2021-10-03,30.52,2021-11-07,32.65,Sell,24 Days,-12.57,Fall by -3.31%,-6.98%,39.61%
2023-06-11,30.19,2024-09-29,36.36,Buy,339 Days,20.25,Rise by 3.58%,20.44%,60.04%
2025-01-19,38.08,2025-04-06,35.35,Sell,54 Days,-15.14,Fall by 2.21%,7.17%,67.21%
2025-07-06,40.72,2025-07-06,40.72,Buy,0 Days,11.9,Rise by 0%,0.0%,67.21%
