Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2000-11-19,10629.8701,2001-09-23,8235.8096,Buy,219 Days,29.16,Rise by 1.49%,-22.52%,-22.52%,
2000-12-24,10635.5596,2001-03-18,9823.4102,Sell,59 Days,-20.0,Fall by 1.82%,7.64%,-14.89%,
2001-03-25,9504.7803,2001-04-15,10126.9404,Sell,14 Days,-19.44,Fall by -7.87%,-6.55%,-21.43%,
2001-09-23,8235.8096,2001-09-30,8847.5596,Sell,4 Days,-13.51,Fall by -18.65%,-7.43%,-28.86%,
2001-11-11,9608.0,2002-01-06,10259.7402,Sell,39 Days,-7.69,Fall by -1.71%,-6.78%,-35.64%,
2002-05-12,9939.9199,2002-06-09,9589.6699,Sell,19 Days,-10.53,Fall by 12.63%,3.52%,-32.12%,
2003-01-12,8784.8896,2003-01-26,8131.0098,Sell,9 Days,-4.76,Fall by 10.17%,7.44%,-24.68%,
2004-03-28,10212.9697,2004-08-08,9815.3301,Sell,94 Days,-11.11,Fall by 2.41%,3.89%,-20.78%,
2004-05-16,10012.8701,2004-12-19,10649.9199,Sell,154 Days,-10.53,Fall by 1.97%,-6.36%,-27.14%,
2005-03-27,10442.8701,2005-04-17,10087.5098,Sell,14 Days,-18.71,Fall by 1.39%,3.4%,-23.74%,
2005-05-29,10542.5498,2007-02-04,12653.4902,Buy,439 Days,20.72,Rise by 1.03%,20.02%,-3.72%,
2005-08-21,10559.2305,2005-10-23,10215.2197,Sell,44 Days,-11.11,Fall by 3.26%,3.26%,-0.46%,
2006-01-08,10959.3096,2006-10-01,11679.0703,Sell,189 Days,-10.87,Fall by 0.61%,-6.57%,-7.03%,
2006-04-23,11347.4502,2006-06-11,10891.9199,Sell,34 Days,-7.1,Fall by 4.01%,4.01%,-3.01%,
2008-03-30,12216.4004,2008-10-05,10325.3799,Buy,134 Days,8.0,Rise by 6.89%,-15.48%,-18.49%,
2009-03-22,7278.3799,2009-06-07,8763.1299,Buy,54 Days,6.79,Rise by 17.81%,20.4%,1.91%,
2011-03-20,11858.5195,2011-05-01,12810.54,Sell,29 Days,-11.63,Fall by -0.64%,-8.03%,-6.12%,
2012-04-15,12849.5898,2012-05-20,12369.3799,Sell,24 Days,-13.42,Fall by 5.69%,3.74%,-2.38%,
2013-05-12,15118.4902,2015-05-10,18191.1094,Buy,519 Days,13.36,Rise by 3.57%,20.32%,17.94%,
2013-08-25,15010.5098,2013-11-17,15961.7002,Sell,59 Days,-13.9,Fall by -4.96%,-6.34%,11.6%,
2015-08-02,17689.8594,2015-08-23,16459.75,Sell,14 Days,-19.6,Fall by 8.97%,6.95%,18.56%,
2016-01-17,15988.0801,2016-03-06,17006.7695,Sell,34 Days,-27.63,Fall by -9.46%,-6.37%,12.18%,
2016-11-20,18867.9297,2017-10-08,22773.6699,Buy,229 Days,20.08,Rise by 5.81%,20.7%,32.88%,
2018-04-15,24360.1406,2018-09-02,25964.8203,Sell,99 Days,-16.67,Fall by 0.36%,-6.59%,26.3%,
2021-01-24,30996.9805,2023-12-17,37305.1602,Buy,754 Days,8.07,Rise by 10.34%,20.35%,46.65%,
2021-10-03,34326.4609,2022-03-13,32944.1914,Sell,114 Days,-12.57,Fall by -0.74%,4.03%,50.67%,
2023-06-11,33876.7812,2024-08-18,40659.7617,Buy,309 Days,20.25,Rise by 4.67%,20.02%,70.7%,
2025-01-19,43487.8281,2025-03-16,41488.1914,Sell,39 Days,-15.14,Fall by 4.6%,4.6%,75.3%,
2025-07-06,44828.5312,2025-07-06,44828.5312,Buy,0 Days,11.9,Rise by 0%,0.0%,75.3%,
