Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2020-12-01,264.01,2022-07-13,109.1,Buy,421 Days,-6.78,Rise by -15.91%,-58.68%,-58.68%
2021-01-07,226.9,2021-07-01,221.87,Buy,125 Days,-3.59,Rise by 17.01%,-2.22%,-60.89%
2021-03-04,230.5,2021-10-25,176.17,Buy,167 Days,-4.19,Rise by 4.47%,-23.57%,-84.46%
2021-04-05,225.3,2021-07-01,221.87,Buy,63 Days,-3.79,Rise by 8.3%,-1.52%,-85.99%
2021-08-20,157.96,2021-10-25,176.17,Buy,46 Days,-3.08,Rise by 9.7%,11.53%,-74.46%
2021-10-04,139.63,2022-06-13,98.52,Buy,180 Days,-3.66,Rise by 27.26%,-29.44%,-103.9%
2021-12-03,111.96,2023-01-19,116.58,Buy,294 Days,-12.48,Rise by 13.06%,4.13%,-99.77%
2021-12-22,117.81,2022-06-13,98.52,Buy,123 Days,-3.21,Rise by 4.4%,-16.37%,-116.15%
2022-03-11,86.71,2022-06-13,98.52,Buy,66 Days,-3.35,Rise by 35.21%,13.62%,-102.53%
2022-04-01,110.2,2022-06-30,113.68,Buy,64 Days,-5.09,Rise by -13.35%,3.16%,-99.37%
2022-08-18,90.74,2022-11-22,75.99,Buy,68 Days,-3.35,Rise by 10.08%,-16.26%,-115.62%
2022-09-01,93.71,2022-12-16,86.79,Buy,76 Days,-4.87,Rise by 1.05%,-7.38%,-123.01%
2022-10-24,63.15,2022-12-16,86.79,Buy,39 Days,-3.26,Rise by 10.55%,37.43%,-85.57%
2022-11-03,65.21,2023-01-19,116.58,Buy,55 Days,-6.15,Rise by 29.21%,78.78%,-6.8%
2023-03-01,89.95,2023-08-03,97.58,Buy,111 Days,-9.96,Rise by 14.93%,8.48%,1.68%
2023-12-01,73.99,2024-02-09,72.02,Buy,50 Days,-4.16,Rise by 3.07%,-2.66%,-0.98%
2024-07-01,72.18,2024-10-10,109.28,Buy,73 Days,-7.83,Rise by 10.35%,51.4%,50.42%
2024-12-04,84.93,2025-02-04,102.35,Buy,44 Days,-4.14,Rise by 1.35%,20.51%,70.93%
2025-04-04,116.54,2025-07-29,119.36,Buy,82 Days,-4.86,Rise by -2.21%,2.42%,73.35%
2025-07-01,113.97,2025-08-18,121.4,Buy,34 Days,-3.48,Rise by 7.55%,6.52%,79.87%
