Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2022-05-02,81.66,2023-02-17,72.95,Buy,209 Days,-7.01,Rise by 1.22%,-10.67%,-10.67%
2022-09-01,71.38,2022-12-01,70.16,Buy,65 Days,-3.83,Rise by 3.12%,-1.71%,-12.38%
2022-09-26,67.3,2022-11-15,69.55,Buy,36 Days,-3.08,Rise by -0.28%,3.34%,-9.03%
2022-10-06,65.33,2022-12-01,70.16,Buy,40 Days,-4.88,Rise by 1.85%,7.39%,-1.64%
2022-11-03,64.81,2023-02-17,72.95,Buy,76 Days,-4.53,Rise by 6.53%,12.56%,10.92%
2023-01-03,65.19,2023-02-17,72.95,Buy,33 Days,-3.11,Rise by 6.84%,11.9%,22.82%
2023-06-01,65.57,2023-07-27,65.81,Buy,40 Days,-4.0,Rise by 1.71%,0.37%,23.19%
2023-10-03,58.15,2023-12-20,62.35,Buy,56 Days,-3.66,Rise by 4.09%,7.22%,30.41%
2024-05-01,63.68,2024-10-01,73.53,Buy,109 Days,-4.22,Rise by 3.63%,15.47%,45.88%
2024-07-03,62.24,2024-10-01,73.53,Buy,64 Days,-3.48,Rise by 5.37%,18.14%,64.02%
2025-02-03,72.07,2025-05-23,71.69,Buy,79 Days,-3.75,Rise by 1.19%,-0.53%,63.49%
2025-04-01,67.09,2025-06-19,74.5,Buy,57 Days,-5.99,Rise by 3.76%,11.04%,74.54%
