Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-03-01,9.4583,2021-06-24,9.7617,Buy,83 Days,-6.67,Rise by -21.29%,3.21%,3.21%
2022-03-03,9.67,2022-04-08,10.015,Buy,26 Days,-3.2,Rise by -15.53%,3.57%,6.78%
2022-09-02,9.1417,2023-01-18,9.345,Buy,98 Days,-8.12,Rise by 5.2%,2.22%,9.0%
2022-10-03,8.3583,2023-01-18,9.345,Buy,77 Days,-8.22,Rise by 3.51%,11.81%,20.8%
2022-11-02,7.9467,2022-12-16,8.8017,Buy,32 Days,-4.28,Rise by 9.06%,10.76%,31.56%
2023-12-04,8.9117,2024-03-01,8.3117,Buy,64 Days,-3.41,Rise by 3.37%,-6.73%,24.83%
2024-02-01,7.55,2024-05-07,9.67,Buy,68 Days,-7.63,Rise by 6.38%,28.08%,52.91%
2024-08-01,9.5433,2024-10-10,12.735,Buy,50 Days,-3.23,Rise by 6.46%,33.44%,86.35%
2025-04-04,14.6933,2025-05-27,17.8883,Buy,37 Days,-3.1,Rise by 11.59%,21.74%,108.1%
2025-05-01,15.8567,2025-05-01,15.8567,Buy,0 Days,-7.63,Rise by 0%,0.0%,108.1%
2025-07-01,15.64,2025-07-01,15.64,Buy,0 Days,-9.78,Rise by 0%,0.0%,108.1%
2025-08-01,14.25,2025-08-01,14.25,Buy,0 Days,-7.41,Rise by 0%,0.0%,108.1%
2025-09-02,14.04,2025-09-02,14.04,Buy,0 Days,-4.77,Rise by 0%,0.0%,108.1%
