Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-03-01,64.0,2021-09-10,63.37,Buy,139 Days,-8.23,Rise by 2.25%,-0.98%,-0.98%
2021-12-02,59.08,2022-12-16,48.75,Buy,271 Days,-9.6,Rise by -0.58%,-17.48%,-18.47%
2022-01-03,58.03,2022-03-25,55.65,Buy,59 Days,-4.41,Rise by -11.25%,-4.1%,-22.57%
2022-02-01,53.18,2022-12-16,48.75,Buy,228 Days,-10.17,Rise by 3.99%,-8.33%,-30.9%
2022-02-11,53.53,2022-08-09,48.87,Buy,127 Days,-3.5,Rise by 2.17%,-8.71%,-39.61%
2022-05-03,49.33,2022-12-16,48.75,Buy,163 Days,-10.5,Rise by -2.15%,-1.18%,-40.78%
2022-05-13,46.28,2022-08-09,48.87,Buy,62 Days,-5.21,Rise by 4.3%,5.6%,-35.19%
2022-06-10,45.69,2022-08-09,48.87,Buy,42 Days,-3.7,Rise by -0.72%,6.96%,-28.23%
2022-10-03,41.88,2023-02-07,51.62,Buy,91 Days,-10.79,Rise by 4.73%,23.26%,-4.97%
2022-10-13,40.81,2022-12-07,49.29,Buy,39 Days,-3.97,Rise by 7.47%,20.78%,15.81%
2023-03-01,49.53,2023-05-15,50.18,Buy,53 Days,-5.6,Rise by -1.64%,1.31%,17.12%
2023-09-05,44.8,2023-11-24,45.03,Buy,58 Days,-5.55,Rise by 0.18%,0.51%,17.64%
2023-10-02,43.82,2023-11-24,45.03,Buy,39 Days,-3.96,Rise by 3.19%,2.76%,20.4%
2024-02-02,46.29,2024-06-10,45.99,Buy,91 Days,-5.09,Rise by -0.89%,-0.65%,19.75%
2024-03-01,45.57,2024-05-08,45.07,Buy,48 Days,-3.11,Rise by 1.38%,-1.1%,18.65%
2024-05-01,44.06,2024-07-29,45.06,Buy,63 Days,-3.43,Rise by 4.15%,2.27%,20.92%
2024-11-01,47.13,2025-05-16,45.41,Buy,140 Days,-6.81,Rise by 3.9%,-3.65%,17.27%
2025-01-02,45.4,2025-04-23,42.82,Buy,79 Days,-4.4,Rise by 1.43%,-5.68%,11.59%
2025-02-03,44.26,2025-04-08,39.48,Buy,46 Days,-3.11,Rise by 3.19%,-10.8%,0.79%
2025-03-03,42.18,2025-05-16,45.41,Buy,54 Days,-5.08,Rise by 1.4%,7.66%,8.45%
2025-04-01,42.39,2025-09-22,46.29,Buy,124 Days,-9.69,Rise by 1.67%,9.2%,17.65%
