Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-04-01,1.1729,2022-11-18,1.0362,Buy,426 Days,-7.62,Rise by 1.59%,-11.65%,-11.65%,
2021-07-01,1.1857,2022-11-18,1.0362,Buy,361 Days,-7.53,Rise by 0.13%,-12.61%,-24.26%,
2021-11-01,1.1557,2022-01-19,1.133,Buy,57 Days,-4.3,Rise by -1.96%,-1.96%,-26.23%,
2022-03-01,1.1216,2022-11-18,1.0362,Buy,188 Days,-5.04,Rise by -1.03%,-7.61%,-33.84%,
2022-04-06,1.0906,2022-11-01,0.9886,Buy,149 Days,-3.02,Rise by -2.6%,-9.35%,-43.19%,
2022-05-02,1.0536,2022-11-18,1.0362,Buy,144 Days,-8.03,Rise by 1.91%,-1.65%,-44.85%,
2022-05-12,1.0512,2022-11-18,1.0362,Buy,136 Days,-3.49,Rise by 2.14%,-1.43%,-46.27%,
2022-06-02,1.0654,2022-08-15,1.0256,Buy,52 Days,-3.17,Rise by -0.69%,-3.74%,-50.01%,
2022-07-06,1.0258,2022-11-18,1.0362,Buy,97 Days,-3.61,Rise by -0.26%,1.01%,-48.99%,
2022-11-01,0.9886,2023-01-31,1.0851,Buy,65 Days,-4.31,Rise by 5.15%,9.76%,-39.23%,
2023-03-01,1.0577,2023-05-01,1.1011,Buy,43 Days,-6.08,Rise by 1.43%,4.1%,-35.13%,
2023-09-04,1.0776,2023-11-09,1.071,Buy,48 Days,-3.49,Rise by -0.21%,-0.61%,-35.74%,
2023-10-02,1.0565,2023-12-04,1.0888,Buy,45 Days,-5.0,Rise by 0.56%,3.06%,-32.69%,
2024-02-01,1.0804,2024-05-21,1.0861,Buy,78 Days,-4.02,Rise by -0.06%,0.53%,-32.16%,
2024-05-01,1.0667,2024-07-22,1.0899,Buy,58 Days,-5.66,Rise by 2.09%,2.17%,-29.98%,
2025-01-02,1.0352,2025-03-17,1.0881,Buy,52 Days,-4.31,Rise by 0.67%,5.11%,-24.87%,
