Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2020-12-04,32.3,2021-04-14,33.33,Buy,93 Days,-3.99,Rise by 2.88%,3.19%,3.19%
2021-03-01,29.71,2021-08-12,30.9,Buy,118 Days,-4.53,Rise by 5.02%,4.01%,7.19%
2021-06-01,30.1,2021-11-30,33.33,Buy,130 Days,-8.08,Rise by 6.64%,10.73%,17.93%
2021-07-01,30.71,2021-09-13,32.69,Buy,52 Days,-4.21,Rise by 6.32%,6.45%,24.37%
2021-10-01,31.72,2022-07-27,20.9,Buy,213 Days,-4.56,Rise by -2.59%,-34.11%,-9.74%
2022-02-01,29.0,2022-12-06,24.0,Buy,220 Days,-7.95,Rise by 4.79%,-17.24%,-26.98%
2022-03-01,28.07,2022-12-06,24.0,Buy,200 Days,-8.24,Rise by -0.5%,-14.5%,-41.48%
2022-04-06,24.64,2022-07-13,21.13,Buy,70 Days,-3.88,Rise by -11.08%,-14.25%,-55.72%
2023-06-02,23.96,2023-11-10,21.72,Buy,115 Days,-6.25,Rise by 2.59%,-9.35%,-65.07%
2023-09-08,21.45,2023-10-11,21.91,Buy,23 Days,-3.19,Rise by 2.14%,2.14%,-62.93%
2024-11-01,36.07,2025-01-06,38.18,Buy,46 Days,-3.14,Rise by 5.32%,5.85%,-57.08%
2025-02-03,35.1,2025-04-07,33.45,Buy,45 Days,-4.2,Rise by 1.94%,-4.7%,-61.78%
2025-03-03,33.91,2025-05-20,35.31,Buy,56 Days,-6.44,Rise by 3.3%,4.13%,-57.65%
