Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-03-04,53.055,2021-04-28,60.2033,Buy,39 Days,-3.42,Rise by 3.06%,13.47%,13.47%
2021-06-01,56.065,2021-08-09,63.43,Buy,49 Days,-3.64,Rise by 10.43%,13.14%,26.61%
2021-12-03,61.87,2022-04-05,60.93,Buy,87 Days,-3.07,Rise by 7.19%,-1.52%,25.09%
2022-02-11,59.1,2022-04-05,60.93,Buy,37 Days,-3.1,Rise by 0.91%,3.1%,28.19%
2022-05-06,53.76,2022-08-05,54.3,Buy,65 Days,-3.97,Rise by 0.84%,1.0%,29.19%
2022-06-01,53.13,2022-12-16,51.7,Buy,142 Days,-10.76,Rise by -10.31%,-2.69%,26.5%
2022-09-01,50.9,2022-11-04,49.04,Buy,46 Days,-3.59,Rise by 6.39%,-3.65%,22.85%
2022-09-27,47.07,2022-10-31,50.21,Buy,24 Days,-3.01,Rise by 6.78%,6.67%,29.52%
2023-03-01,51.77,2023-04-27,56.19,Buy,41 Days,-4.41,Rise by 1.06%,8.54%,38.05%
2023-06-01,53.54,2023-12-07,50.62,Buy,135 Days,-5.09,Rise by 4.56%,-5.45%,32.6%
2023-09-05,51.57,2023-12-07,50.62,Buy,67 Days,-5.04,Rise by -4.93%,-1.84%,30.76%
2023-10-02,48.27,2023-12-07,50.62,Buy,48 Days,-4.44,Rise by 0.77%,4.87%,35.63%
2023-10-12,44.83,2023-12-19,53.48,Buy,48 Days,-4.33,Rise by 5.4%,19.3%,54.92%
2024-05-01,55.02,2024-07-22,56.91,Buy,58 Days,-3.88,Rise by 3.14%,3.44%,58.36%
2025-04-01,59.96,2025-08-27,62.09,Buy,106 Days,-6.01,Rise by 0.85%,3.55%,61.91%
2025-10-01,59.53,2025-10-01,59.53,Buy,0 Days,-3.47,Rise by 0%,0.0%,61.91%
