Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-07-01,24.62,2021-09-30,23.63,Buy,65 Days,-3.58,Rise by -12.39%,-4.02%,-4.02%,
2021-12-01,19.38,2022-12-16,17.45,Buy,272 Days,-8.19,Rise by 11.46%,-9.96%,-13.98%,
2022-03-01,20.39,2022-04-26,21.32,Buy,40 Days,-4.12,Rise by -13.14%,4.56%,-9.42%,
2022-06-16,16.05,2022-08-19,18.1,Buy,46 Days,-3.55,Rise by 8.54%,12.77%,3.35%,
2022-07-01,16.83,2022-12-16,17.45,Buy,120 Days,-6.72,Rise by 1.49%,3.68%,7.04%,
2023-10-03,16.39,2023-11-28,16.67,Buy,40 Days,-5.29,Rise by -10.07%,1.71%,8.75%,
2024-07-01,19.4,2024-09-24,20.11,Buy,61 Days,-3.97,Rise by 2.53%,3.66%,12.41%,
2024-08-01,18.18,2024-09-24,20.11,Buy,38 Days,-3.98,Rise by -3.85%,10.62%,23.02%,
2025-03-10,21.95,2025-05-19,22.77,Buy,50 Days,-3.07,Rise by 1.32%,3.74%,26.76%,
2025-04-02,20.94,2025-07-15,24.77,Buy,74 Days,-8.11,Rise by -11.22%,18.29%,45.05%,
