Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2022-10-10,229.25,2022-12-06,245.12,Buy,41 Days,-3.02,Rise by 4.03%,6.92%,6.92%,
2022-11-03,214.25,2023-02-13,271.32,Buy,72 Days,-4.39,Rise by 15.34%,26.64%,33.56%,
2024-05-01,394.94,2024-06-21,449.78,Buy,37 Days,-3.81,Rise by 7.13%,13.89%,47.45%,
2024-08-01,417.11,2024-09-20,435.27,Buy,36 Days,-3.98,Rise by 1.84%,4.35%,51.8%,
2024-09-03,409.44,2024-11-04,408.46,Buy,44 Days,-3.03,Rise by 7.14%,-0.24%,51.56%,
2024-11-01,410.37,2024-12-17,454.46,Buy,32 Days,-3.49,Rise by 4.03%,10.74%,62.3%,
2025-02-03,410.92,2025-06-02,461.97,Buy,85 Days,-3.84,Rise by 1.27%,12.42%,74.73%,
2025-03-03,388.49,2025-06-02,461.97,Buy,65 Days,-3.41,Rise by 0.05%,18.91%,93.64%,
2025-03-13,378.77,2025-06-02,461.97,Buy,57 Days,-3.01,Rise by 4.33%,21.97%,115.61%,
2025-04-01,382.19,2025-06-02,461.97,Buy,44 Days,-4.07,Rise by 2.17%,20.87%,136.48%,
