Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-06-03,0.8707,2021-09-14,0.8993,Buy,73 Days,-3.99,Rise by -0.07%,3.28%,3.28%,
2022-02-01,0.8364,2022-12-16,0.8661,Buy,228 Days,-7.67,Rise by 1.47%,3.55%,6.84%,
2022-05-04,0.8256,2022-12-16,0.8661,Buy,162 Days,-5.85,Rise by 0.68%,4.91%,11.74%,
2022-05-16,0.8115,2022-08-17,0.8146,Buy,67 Days,-3.02,Rise by 2.43%,0.38%,12.12%,
2022-06-01,0.8237,2022-12-16,0.8661,Buy,142 Days,-6.55,Rise by 0.0%,5.15%,17.27%,
2022-07-01,0.8032,2022-08-17,0.8146,Buy,33 Days,-3.76,Rise by 0.24%,1.42%,18.69%,
2022-08-01,0.8045,2022-12-16,0.8661,Buy,99 Days,-4.54,Rise by 2.44%,7.66%,26.35%,
2022-10-03,0.7745,2022-12-16,0.8661,Buy,54 Days,-4.37,Rise by 0.9%,11.83%,38.17%,
2023-06-01,0.8172,2023-07-20,0.8242,Buy,35 Days,-3.25,Rise by 1.04%,0.86%,39.03%,
2024-02-01,0.821,2024-05-31,0.8368,Buy,86 Days,-3.74,Rise by 0.76%,1.92%,40.95%,
2024-04-01,0.8094,2024-06-11,0.8432,Buy,51 Days,-4.67,Rise by 1.67%,4.18%,45.13%,
2025-01-02,0.8046,2025-03-13,0.8237,Buy,50 Days,-3.95,Rise by 1.75%,2.37%,47.5%,
2025-05-01,0.8187,2025-07-07,0.823,Buy,47 Days,-3.72,Rise by 1.09%,0.53%,48.03%,
