Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-07-01,0.6997,2021-09-08,0.7098,Buy,49 Days,-4.45,Rise by 0.6%,1.44%,1.44%,
2021-12-02,0.6814,2022-03-10,0.6838,Buy,70 Days,-6.6,Rise by -0.26%,0.35%,1.8%,
2022-02-01,0.6578,2022-04-04,0.6908,Buy,44 Days,-3.93,Rise by 1.54%,5.02%,6.81%,
2022-05-04,0.6434,2022-11-29,0.6164,Buy,149 Days,-6.52,Rise by 1.93%,-4.2%,2.62%,
2022-05-16,0.6289,2022-08-17,0.6343,Buy,67 Days,-3.46,Rise by 4.28%,0.86%,3.47%,
2022-07-01,0.624,2022-11-29,0.6164,Buy,107 Days,-4.37,Rise by 1.47%,-1.22%,2.26%,
2022-09-01,0.6111,2022-11-29,0.6164,Buy,63 Days,-3.64,Rise by 0.59%,0.87%,3.12%,
2022-09-27,0.5665,2022-11-29,0.6164,Buy,45 Days,-3.06,Rise by 1.96%,8.81%,11.93%,
2022-10-07,0.5661,2022-12-16,0.6343,Buy,50 Days,-5.24,Rise by 0.6%,12.05%,23.98%,
2023-03-01,0.6187,2023-07-19,0.6297,Buy,100 Days,-7.72,Rise by 0.71%,1.78%,25.76%,
2023-06-01,0.6025,2023-10-16,0.5907,Buy,97 Days,-4.51,Rise by 3.49%,-1.96%,23.8%,
2023-09-06,0.5884,2023-12-07,0.6141,Buy,66 Days,-3.42,Rise by 0.61%,4.37%,28.17%,
2023-11-01,0.5807,2024-05-31,0.6117,Buy,152 Days,-4.96,Rise by 3.82%,5.34%,33.51%,
2024-04-01,0.5987,2024-06-11,0.6128,Buy,51 Days,-5.05,Rise by 1.35%,2.36%,35.86%,
2024-05-01,0.588,2024-09-03,0.623,Buy,89 Days,-5.83,Rise by 2.65%,5.95%,41.81%,
2024-11-01,0.5972,2025-04-25,0.5988,Buy,125 Days,-8.97,Rise by 0.84%,0.27%,42.08%,
2025-01-02,0.5598,2025-03-21,0.5762,Buy,56 Days,-6.98,Rise by 0.54%,2.93%,45.01%,
2025-08-01,0.5889,2025-08-01,0.5889,Buy,0 Days,-3.98,Rise by 0%,0.0%,45.01%,
2025-10-01,0.5796,2025-10-01,0.5796,Buy,0 Days,-3.71,Rise by 0%,0.0%,45.01%,
