Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-10-04,42.42,2021-12-23,58.71,Buy,58 Days,-5.18,Rise by 2.69%,38.4%,38.4%
2022-02-04,53.0,2022-04-14,53.12,Buy,49 Days,-4.4,Rise by -10.32%,0.23%,38.63%
2022-03-01,45.75,2022-12-19,51.36,Buy,209 Days,-11.7,Rise by 19.15%,12.26%,50.89%
2022-09-01,46.63,2022-12-07,50.24,Buy,69 Days,-6.18,Rise by 2.59%,7.74%,58.63%
2023-02-15,43.32,2023-04-11,41.79,Buy,39 Days,-3.24,Rise by -5.79%,-3.53%,55.1%
2023-03-02,40.62,2023-06-16,40.06,Buy,76 Days,-5.15,Rise by 0.47%,-1.38%,53.72%
2023-06-01,38.02,2024-03-18,27.72,Buy,207 Days,-3.95,Rise by 5.94%,-27.09%,26.63%
2023-08-01,35.61,2024-05-21,28.56,Buy,210 Days,-7.83,Rise by 1.29%,-19.8%,6.83%
2023-09-01,35.78,2024-01-05,29.47,Buy,90 Days,-3.13,Rise by -10.29%,-17.64%,-10.8%
2023-12-01,28.91,2024-03-18,27.72,Buy,76 Days,-5.22,Rise by 2.84%,-4.12%,-14.92%
2024-12-03,25.56,2025-03-13,25.6,Buy,72 Days,-5.52,Rise by 3.4%,0.16%,-14.76%
2025-04-03,24.29,2025-06-18,23.88,Buy,54 Days,-3.01,Rise by -11.12%,-1.69%,-16.45%
2025-05-06,22.88,2025-07-15,24.61,Buy,50 Days,-3.93,Rise by 2.8%,7.56%,-8.89%
