Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-03-03,67.22,2021-05-06,69.85,Buy,46 Days,-3.41,Rise by 3.72%,3.91%,3.91%
2021-10-04,72.46,2022-01-04,76.19,Buy,66 Days,-3.09,Rise by 2.94%,5.15%,9.06%
2021-12-02,71.47,2022-03-24,79.24,Buy,80 Days,-3.04,Rise by 6.58%,10.87%,19.93%
2022-09-01,71.11,2022-12-19,76.86,Buy,77 Days,-6.54,Rise by 2.95%,8.09%,28.02%
2023-03-01,75.84,2023-07-27,80.07,Buy,106 Days,-4.45,Rise by -0.37%,5.58%,33.6%
2023-06-01,75.7,2023-08-15,82.73,Buy,53 Days,-3.89,Rise by 1.9%,9.29%,42.88%
2023-10-02,79.16,2023-11-30,78.51,Buy,43 Days,-3.0,Rise by 2.0%,-0.82%,42.06%
2023-11-01,75.43,2024-02-29,88.8,Buy,86 Days,-8.46,Rise by 2.82%,17.73%,59.79%
2024-10-03,93.26,2025-01-31,88.92,Buy,86 Days,-3.19,Rise by 1.65%,-4.65%,55.13%
2024-11-01,91.39,2025-02-28,93.65,Buy,85 Days,-5.35,Rise by -1.0%,2.47%,57.61%
2025-04-04,83.89,2025-06-17,88.19,Buy,52 Days,-4.52,Rise by -0.73%,5.13%,62.73%
2025-04-16,82.16,2025-08-27,88.86,Buy,95 Days,-3.95,Rise by 8.89%,8.15%,70.89%
2025-05-06,86.01,2025-06-17,88.19,Buy,30 Days,-3.41,Rise by 1.28%,2.53%,73.42%
2025-08-01,84.52,2025-10-08,93.4,Buy,48 Days,-3.83,Rise by 5.79%,10.51%,83.93%
