Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-11-05,225.78,2022-08-08,96.26,Buy,196 Days,-5.35,Rise by -4.48%,-57.37%,-57.37%,
2021-11-18,200.5,2022-04-08,111.21,Buy,101 Days,-3.69,Rise by -10.56%,-44.53%,-101.9%,
2021-12-02,187.15,2024-04-02,64.66,Buy,608 Days,-12.38,Rise by 2.6%,-65.45%,-167.35%,
2021-12-16,188.75,2022-04-04,121.86,Buy,77 Days,-3.15,Rise by 1.73%,-35.44%,-202.79%,
2022-02-02,132.57,2022-08-19,96.56,Buy,142 Days,-7.44,Rise by -10.22%,-27.16%,-229.95%,
2022-05-09,79.53,2022-08-08,96.26,Buy,65 Days,-4.76,Rise by 2.2%,21.04%,-208.91%,
2022-07-01,71.4,2023-01-23,79.5,Buy,146 Days,-4.33,Rise by 15.9%,11.34%,-197.57%,
2023-03-01,73.82,2023-07-24,73.69,Buy,103 Days,-4.67,Rise by 3.93%,-0.18%,-197.75%,
2024-07-01,57.81,2024-09-04,72.61,Buy,47 Days,-5.83,Rise by 6.92%,25.6%,-172.15%,
2025-03-03,69.75,2025-05-15,71.57,Buy,53 Days,-4.9,Rise by 1.75%,2.61%,-169.54%,
2025-03-13,66.91,2025-05-15,71.57,Buy,45 Days,-3.3,Rise by 6.07%,6.96%,-162.57%,
2025-04-01,66.1,2025-07-09,74.83,Buy,71 Days,-9.57,Rise by -13.15%,13.21%,-149.36%,
