Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-11-01,132.27,2022-02-14,135.98,Buy,75 Days,-3.51,Rise by 8.07%,2.8%,2.8%
2021-12-01,128.35,2022-03-28,133.62,Buy,83 Days,-3.54,Rise by 11.95%,4.11%,6.91%
2022-04-05,113.97,2022-07-15,111.54,Buy,73 Days,-3.24,Rise by -10.09%,-2.13%,4.78%
2022-05-10,104.25,2022-07-15,111.54,Buy,48 Days,-4.25,Rise by 3.76%,6.99%,11.77%
2023-05-01,146.81,2023-07-06,148.33,Buy,48 Days,-3.37,Rise by -1.21%,1.04%,12.81%
2023-06-01,145.15,2023-07-25,162.52,Buy,38 Days,-3.69,Rise by 5.32%,11.97%,24.77%
2024-05-02,181.14,2024-07-31,214.91,Buy,64 Days,-5.62,Rise by 4.1%,18.64%,43.42%
2024-06-03,179.25,2024-07-19,211.08,Buy,34 Days,-3.33,Rise by 10.13%,17.76%,61.17%
2024-10-01,182.61,2024-12-16,217.0,Buy,54 Days,-3.87,Rise by 5.91%,18.83%,80.01%
2024-11-01,184.3,2024-12-16,217.0,Buy,31 Days,-3.99,Rise by 16.39%,17.74%,97.75%
2025-02-03,184.96,2025-05-21,121.38,Buy,77 Days,-4.32,Rise by -22.26%,-34.38%,63.37%
2025-03-27,117.43,2025-05-21,121.38,Buy,39 Days,-4.25,Rise by -10.52%,3.36%,66.74%
2025-04-08,105.08,2025-07-08,125.91,Buy,65 Days,-4.32,Rise by 11.29%,19.82%,86.56%
