Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2012-01-29,39.31,2012-03-04,41.19,Buy,24 days,Rise by 5.550000%,4.78,
2012-05-20,35.8,2012-06-17,36.7,Sell,19 days,Fall by -7.790000%,-2.51,
2012-08-12,38.59,2012-10-07,40.25,Buy,39 days,Rise by 12.700000%,4.3,
2012-11-18,38.59,2012-12-02,40.59,Sell,9 days,Fall by -10.340000%,-5.18,
2013-06-09,42.92,2013-07-21,42.89,Sell,29 days,Fall by 2.420000%,0.07,
2013-06-23,40.84,2013-07-21,42.89,Sell,19 days,Fall by -2.550000%,-5.02,
2013-09-22,45.35,2014-01-19,45.97,Buy,84 days,Rise by 8.200000%,1.37,
2013-12-22,45.27,2014-02-23,46.02,Sell,44 days,Fall by -2.870000%,-1.66,
2014-01-26,44.53,2014-02-23,46.02,Sell,19 days,Fall by -4.580000%,-3.35,
2014-04-06,46.69,2014-06-01,48.15,Buy,39 days,Rise by 5.100000%,3.13,
2014-05-11,47.32,2014-06-22,49.07,Buy,29 days,Rise by -3.850000%,3.7,
2014-08-31,47.78,2015-05-31,46.31,Buy,194 days,Rise by -4.770000%,-3.08,
2014-10-05,44.59,2014-11-02,45.38,Sell,19 days,Fall by 5.250000%,-1.77,
2014-10-12,43.13,2014-11-02,45.38,Sell,14 days,Fall by 2.040000%,-5.22,
2015-03-01,45.25,2015-05-03,47.23,Buy,44 days,Rise by 5.550000%,4.38,
2016-03-13,39.3,2016-08-14,41.37,Buy,109 days,Rise by 6.030000%,5.27,
2016-06-26,37.45,2016-07-17,39.98,Sell,14 days,Fall by -7.820000%,-6.76,
2016-07-24,40.05,2016-09-04,41.67,Buy,29 days,Rise by 8.910000%,4.04,
2016-12-25,40.09,2017-02-05,42.15,Sell,29 days,Fall by -13.220000%,-5.14,
2017-02-05,42.15,2017-04-09,43.43,Buy,44 days,Rise by 3.490000%,3.04,
2017-04-30,44.56,2017-05-28,46.06,Buy,19 days,Rise by 12.410000%,3.37,
2018-01-14,52.2,2019-12-08,48.29,Buy,494 days,Rise by -2.910000%,-7.49,
2018-06-24,47.82,2018-11-04,44.79,Sell,94 days,Fall by 3.700000%,6.34,
2019-11-03,47.99,2020-01-05,49.08,Buy,44 days,Rise by 4.190000%,2.27,
2020-03-08,44.02,2020-03-29,37.02,Sell,14 days,Fall by 11.380000%,15.9,
2020-03-22,33.42,2020-03-29,37.02,Sell,4 days,Fall by -35.730000%,-10.77,
2021-07-18,56.59,2021-12-26,55.47,Sell,114 days,Fall by 1.610000%,1.98,
2022-03-13,48.97,2022-03-20,52.39,Sell,4 days,Fall by 10.410000%,-6.98,
2022-04-24,49.72,2022-05-29,49.63,Sell,24 days,Fall by 10.780000%,0.18,
2022-05-08,47.66,2022-05-29,49.63,Sell,14 days,Fall by 7.950000%,-4.13,
2023-01-22,49.39,2024-01-14,50.43,Buy,254 days,Rise by 1.090000%,2.11,
2023-07-23,50.35,2024-03-17,52.8,Buy,169 days,Rise by -10.670000%,4.87,
2023-08-20,47.62,2023-11-05,47.6,Sell,54 days,Fall by 5.540000%,0.04,
2024-03-10,52.99,2024-06-02,54.15,Buy,59 days,Rise by 4.000000%,2.19,
2024-07-28,53.62,2024-08-25,55.86,Sell,19 days,Fall by 0.500000%,-4.18,
2025-05-25,59.45,2025-07-27,62.09,Buy,44 days,Rise by 11.610000%,4.44,
2025-10-26,66.54,2025-10-26,66.54,Buy,0 days,Rise by -0.290000%,0.0,
