Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-06-30,29.71,2020-07-07,33.88,Buy,4 days,Rise by 18.580000%,14.04,
2020-07-02,31.14,2020-07-09,34.94,Buy,4 days,Rise by 13.130000%,12.2,
2020-09-02,35.9,2020-10-15,36.21,Buy,30 days,Rise by -1.590000%,0.86,
2021-02-17,46.4,2021-06-03,41.18,Buy,75 days,Rise by -10.020000%,-11.25,
2021-03-05,40.27,2021-03-11,40.06,Sell,3 days,Fall by 6.630000%,0.52,
2021-07-06,39.17,2021-07-15,40.2,Sell,6 days,Fall by 7.330000%,-2.63,
2021-07-12,40.05,2021-12-17,38.99,Buy,113 days,Rise by -2.300000%,-2.65,
2021-07-23,39.55,2021-07-28,38.13,Sell,2 days,Fall by 5.440000%,3.59,
2021-09-23,38.05,2021-10-13,39.06,Buy,13 days,Rise by 3.840000%,2.65,
2021-12-07,39.41,2021-12-13,40.4,Buy,3 days,Rise by -13.370000%,2.51,
2022-01-05,38.13,2022-01-19,37.76,Sell,9 days,Fall by 5.660000%,0.97,
2022-02-28,36.64,2022-07-07,33.89,Buy,92 days,Rise by -12.470000%,-7.51,
2022-06-21,32.79,2022-06-29,33.42,Buy,5 days,Rise by -3.320000%,1.92,
2022-06-24,33.48,2023-02-01,31.64,Buy,157 days,Rise by -5.320000%,-5.5,
2022-11-11,27.42,2022-12-05,28.68,Buy,15 days,Rise by 5.940000%,4.6,
2023-04-04,30.01,2024-03-15,24.61,Buy,247 days,Rise by -2.200000%,-17.99,
2023-07-31,28.64,2024-03-15,24.61,Buy,163 days,Rise by -6.600000%,-14.07,
2023-09-08,25.79,2023-09-22,26.19,Sell,9 days,Fall by 1.740000%,-1.55,
2024-04-02,24.51,2024-05-02,25.33,Buy,21 days,Rise by 3.550000%,3.35,
2024-04-29,24.93,2024-05-07,25.16,Buy,5 days,Rise by 2.090000%,0.92,
2024-06-21,23.77,2024-06-28,23.57,Sell,4 days,Fall by 2.190000%,0.84,
2024-08-19,23.7,2024-09-27,27.33,Buy,28 days,Rise by 49.540000%,15.32,
2024-09-24,24.94,2024-10-01,29.38,Buy,4 days,Rise by 19.050000%,17.8,
2025-01-03,25.42,2025-01-14,25.72,Sell,6 days,Fall by -1.770000%,-1.18,
2025-02-04,26.35,2025-02-12,26.75,Buy,5 days,Rise by 3.870000%,1.52,
2025-04-10,25.25,2025-04-16,25.59,Buy,3 days,Rise by 7.960000%,1.35,
